curie	label	envo_native	obsolete	legacy_pv	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	nmdc_scoped_count	gold_scoped_count	ncbi_scoped_count
ENVO:2018051509		False	False	False	False	False	False	False	False	False			
CHEBI:28938	ammonium	False	False	False	False	False	False	False	False	False			1.0
ENVO:01000817	biosphere	True	False	False	True	False	False	False	False	False			21.0
ENVO:01000368	anchialine pool	True	False	False	True	False	False	False	False	False			
ENVO:00000029	watercourse	True	False	False	True	False	False	False	False	False			2.0
ENVO:01000464	non-hydraulic cement	True	False	False	False	False	False	False	False	True			
ENVO:01000654	undersea trough	True	False	False	True	False	False	False	False	False			
ENVO:03000033	marine sediment	True	False	False	False	False	False	False	False	True			13.0
ENVO:01000060	particulate environmental material	True	False	False	False	False	False	False	False	True			
ENVO:01000663	pumice	True	False	False	False	False	False	False	False	True			
ENVO:03600071	cyanobacterial bloom	True	False	False	True	False	False	False	False	False			1.0
BFO:0000029	site	False	False	False	False	False	False	False	False	False			16.0
ENVO:01000362	inflationary cave	True	False	False	True	False	False	False	False	False			
ENVO:01000148	marine coral reef buttress zone	True	False	False	True	False	False	False	False	False			
ENVO:01000358	acidic water	True	False	False	False	False	False	False	False	True			
ENVO:01000061	marine wind mixed layer	True	False	False	True	False	False	False	False	False			
ENVO:00000454	turlough	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000111	forested area	True	False	False	True	False	False	False	False	False			126.0
ENVO:01000357	alkaline water	True	False	False	False	False	False	False	False	True			
ENVO:00000045	estuary	True	False	False	True	False	False	False	False	False			1675.0
ENVO:01000602	truck	True	False	False	False	False	False	False	False	False			
ENVO:2017111512		False	False	False	False	False	False	False	False	False			
ENVO:01000623	boiling	True	False	False	False	False	False	False	False	False			
ENVO:01000691	avalanche	True	False	False	False	False	False	False	False	False			
ENVO:02000091	coal	True	False	False	False	False	False	False	False	True			10.0
ENVO:01000188	tropical savanna biome	True	False	False	True	True	True	True	False	False			
ENVO:01000634	volcanic eruption	True	False	False	False	False	False	False	False	False			
ENVO:01000489	concrete building floor	True	False	False	True	False	False	False	False	False			
ENVO:01000026	marine bathyal zone biome	True	False	False	True	True	True	False	True	False			
ENVO:01000214	tropical shrubland biome	True	False	False	True	True	True	True	False	False			3.0
ENVO:01000394	tropical freshwater swamp forest	True	False	False	True	True	False	False	False	False			
ENVO:01000275	structural basin	True	False	False	True	False	False	False	False	False			
ENVO:01000473	thatch	True	False	False	False	False	False	False	False	True			
ENVO:01000476	plaster	True	False	False	False	False	False	False	False	True			
ENVO:01000397	temperate broadleaf evergreen forest	True	False	False	True	True	False	False	False	False			
ENVO:01001230	tropical marginal sea biome	True	False	False	True	True	True	False	True	False			
