curie	label	envo_native	obsolete	legacy_pv	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	nmdc_scoped_count	gold_scoped_count	ncbi_scoped_count
ENVO:01000118	sandy sediment	True	False	False	False	False	False	False	False	True			38.0
FOODON:00002663	pork food product	False	False	False	False	False	False	False	False	True			
FOODON:00001220	sausage (smoked)	False	False	False	False	False	False	False	False	True			
ENVO:01001652	atmospheric aerosol	True	False	False	False	False	False	False	False	True			
ENVO:00012408	aquifer	True	False	False	False	False	False	False	False	False			12.0
ENVO:01000060	particulate environmental material	True	False	False	False	False	False	False	False	True			
ENVO:01000151	manganese-reducing sediment	True	False	False	False	False	False	False	False	True			
FOODON:00001166	plant inflorescence food product	False	False	False	False	False	False	False	False	True			
FOODON:00001098	fermented apple beverage	False	False	False	False	False	False	False	False	True			
ENVO:00002141	leachate	True	False	False	False	False	False	False	False	True			
ENVO:02000090	ash	True	False	False	False	False	False	False	False	True			
FOODON:00002364	wine or wine-like food product	False	False	False	False	False	False	False	False	True			
FOODON:00001071	grape must	False	False	False	False	False	False	False	False	True			
ENVO:00003082	enriched soil	True	False	False	True	False	False	False	False	True			
FOODON:00001219	sausage (cooked, smoked)	False	False	False	False	False	False	False	False	True			
FOODON:00001102	fermented grain beverage	False	False	False	False	False	False	False	False	True			
FOODON:00001086	kefir food product	False	False	False	False	False	False	False	False	True			
ENVO:02000099	coal dust	True	False	False	False	False	False	False	False	True			
FOODON:00002131	plant based refined or partially-refined food product	False	False	False	False	False	False	False	False	True			
FOODON:00001176	invertebrate animal food product	False	False	False	False	False	False	False	False	True			
PATO:0000982	permeable	False	False	False	False	False	False	False	False	False			17.0
ENVO:00003978	potato silage	True	False	False	False	False	False	False	False	True			
ENVO:02000023	bile material	True	False	False	False	False	False	False	False	True			
FOODON:00001275	hen egg food product	False	False	False	False	False	False	False	False	True			
FOODON:00001037	vacherin mont dor cheese food product	False	False	False	False	False	False	False	False	True			
ENVO:00002034	biofilm	True	False	False	False	False	False	False	False	False			38.0
ENVO:01001141	carbon monoxide ice	True	False	False	False	False	False	False	False	True			
ENVO:01000557	liquefied natural gas	True	False	False	False	False	False	False	False	True			
ENVO:00005757	bacteria enriched soil	True	False	False	True	False	False	False	False	True			
ENVO:01001515	freshwater congelation ice	True	False	False	False	False	False	False	False	True			
ENVO:00003092	salicylate enriched soil	True	False	False	True	False	False	False	False	True			
FOODON:00001100	orange fruit beverage	False	False	False	False	False	False	False	False	True			
FOODON:00002141	plant fruit as vegetable food product	False	False	False	False	False	False	False	False	True			
ENVO:03500018	solder	True	False	False	False	False	False	False	False	True			
FOODON:03400289	USA agency food product type	False	False	False	False	False	False	False	False	True			
ENVO:0000207		False	False	False	False	False	False	False	False	False			34.0
FOODON:00001640	berry food product	False	False	False	False	False	False	False	False	True			
ENVO:00003094	L-(+)-tartrate enriched soil	True	False	False	True	False	False	False	False	True			
ENVO:2000045	hydrocarbon-based environmental material	True	False	False	False	False	False	False	False	True			
ENVO:01000853	marl	True	False	False	False	False	False	False	False	True			
ENVO:00005789	bluegrass field soil	True	False	False	True	False	False	False	False	True			
ENVO:01001854	hydrothermal field	True	False	False	True	False	False	False	False	False			3.0
ENVO:00002178	iron-reducing zone of petroleum contaminated sediment	True	False	False	False	False	False	False	False	False			
ENVO:03000073	multiyear ice	True	False	False	False	False	False	False	False	True			
FOODON:00001193	fonio food product	False	False	False	False	False	False	False	False	True			
ENVO:03510038	volume of cyanoacrylate	True	False	False	False	False	False	False	False	True			
ENVO:01001821	hydrothermally-influenced sediment	True	False	False	False	False	False	False	False	True			3.0
FOODON:00001130	sheep milk cheese food product	False	False	False	False	False	False	False	False	True			
ENVO:00002154	radioactive sediment	True	False	False	False	False	False	False	False	True			
ENVO:00002147	coal mine lake sediment	True	False	False	False	False	False	False	False	True			
FOODON:00001169	cruciferous food product	False	False	False	False	False	False	False	False	True			
ENVO:00002201	cis-dichloroethane contaminated sediment	True	False	False	False	False	False	False	False	True			
FOODON:00001276	apple cider (alcoholic)	False	False	False	False	False	False	False	False	True			
ENVO:01000621	microcosm	True	False	False	False	False	False	False	False	False			30.0
ENVO:01001616	bare soil	True	False	False	True	False	False	False	False	True			
FOODON:00001184	algal food product	False	False	False	False	False	False	False	False	True			
FOODON:03302082	beef (dehydrated)	False	False	False	False	False	False	False	False	True			
FOODON:00001093	cereal grain food product	False	False	False	False	False	False	False	False	True			
ENVO:01001088	aerosolised liquids	True	False	False	False	False	False	False	False	True			
ENVO:06105112	synthetic plastic	True	False	False	False	False	False	False	False	True			
ENVO:00002071		False	False	False	False	False	False	False	False	False			1.0
ENVO:00003091	threonine enriched soil	True	False	False	True	False	False	False	False	True			
FOODON:00003341	brassica food product	False	False	False	False	False	False	False	False	True			
ENVO:01001038	moderately saline water	True	False	False	False	False	False	False	False	True			
ENVO:00002046	activated sludge	True	False	False	False	False	False	False	False	True			1.0
ENVO:00003032	fresh animal manure	True	False	False	False	False	False	False	False	True			
ENVO:02000008	cell culture	True	False	False	False	False	False	False	False	True			4.0
FOODON:00001232	vinaigrette dressing food product	False	False	False	False	False	False	False	False	True			
ENVO:01000846	water ice crystal	True	False	False	False	False	False	False	False	True			
FOODON:03420108	sugar	False	False	False	False	False	False	False	False	True			
ENVO:06105277	clay loam	True	False	False	True	False	False	False	False	True			
ENVO:00000426	ocean floor	True	False	False	True	False	False	False	False	False			1.0
ENVO:01001650	light fraction material	True	False	False	False	False	False	False	False	True			
FOODON:00002373	food product by meal type	False	False	False	False	False	False	False	False	True			
FOODON:00001632	barley flour food product	False	False	False	False	False	False	False	False	True			
ENVO:00002048	chondrite	True	False	False	False	False	False	False	False	False			1.0
ENVO:01001527	plastic-frozen soil	True	False	False	True	False	False	False	False	True			
FOODON:00001062	fermented millet food product	False	False	False	False	False	False	False	False	True			
ENVO:01001562	hydrogel	True	False	False	False	False	False	False	False	True			
FOODON:00002219	salad food product	False	False	False	False	False	False	False	False	True			
ENVO:00000039	fjord	True	False	False	True	False	False	False	False	False			1.0
FOODON:03460177	plant seed or nut food product	False	False	False	False	False	False	False	False	True			
ENVO:03000007	blue ice	True	False	False	False	False	False	False	False	True			
ENVO:00002007	sediment	True	False	False	False	False	False	False	False	True		88.0	10411.0
FOODON:00001054	fermented fish or seafood food product	False	False	False	False	False	False	False	False	True			
FOODON:00001118	cattle dairy food product	False	False	False	False	False	False	False	False	True			
ENVO:00005777	steppe soil	True	False	False	True	False	False	False	False	True			
FOODON:00001016	cabbage food product	False	False	False	False	False	False	False	False	True			
ENVO:01000115	cobble sediment	True	False	False	False	False	False	False	False	True			
ENVO:00005802	bulk soil	True	False	False	True	False	False	False	False	True			
FOODON:00001172	nut food product	False	False	False	False	False	False	False	False	True			
ENVO:00002133	anaerobic mud	True	False	False	False	False	False	False	False	True			
ENVO:02000019	bodily fluid material	True	False	False	False	False	False	False	False	True			
ENVO:00002243	histosol	True	False	False	True	False	False	False	False	True			
ENVO:00002257	podzol	True	False	False	True	False	False	False	False	True			
ENVO:01001117	poultry manure	True	False	False	False	False	False	False	False	True			
ENVO:03000059	young ice formation process	True	False	False	False	False	False	False	False	False			
ENVO:00003860	pig manure	True	False	False	False	False	False	False	False	True			
FOODON:00002071	orange food product	False	False	False	False	False	False	False	False	True			
ENVO:01000406	snow	True	False	False	False	False	False	False	False	True			10.0
ENVO:01001121	plant matter	True	False	False	False	False	False	False	False	True			6.0
PATO:0000165	time	False	False	False	False	False	False	False	False	False			108.0
ENVO:02000027	blood plasma material	True	False	False	False	False	False	False	False	True			
