serial_number	content	sample_count	content_list
65	lake water [ENVO:04000007]	141	['lake water [ENVO:04000007]']
66	Drinking Water	137	['Drinking Water']
67	Diatom and attached bacterial community	134	['Diatom and attached bacterial community']
68	0.2um-filtered groundwater	133	['0.2um-filtered groundwater']
69	irrigation water	133	['irrigation water']
70	Liquid water	132	['Liquid water']
71	ENVO:00002042|ENVO:01000599|ENVO:00002011	132	['ENVO:00002042', 'ENVO:01000599', 'ENVO:00002011']
72	eDNA	131	['eDNA']
73	mesotrophic water [ENVO:00002225]	119	['mesotrophic water [ENVO:00002225]']
74	water column	119	['water column']
75	agricultural environmental material	117	['agricultural environmental material']
76	estuarine water [ENVO:01000301]|estuarine open water surface layer [ENVO:01001315]|estuarine open water upper water column [ENVO:01001316]|planktonic material [ENVO_01000063]	115	['estuarine water [ENVO:01000301]', 'estuarine open water surface layer [ENVO:01001315]', 'estuarine open water upper water column [ENVO:01001316]', 'planktonic material [ENVO_01000063]']
77	artificial medium	114	['artificial medium']
78	aquaculture water	114	['aquaculture water']
79	DNA	113	['DNA']
80	fresh water [ENVO:00002011]	111	['fresh water [ENVO:00002011]']
81	sea water environment	110	['sea water environment']
82	Environmental materials	108	['Environmental materials']
83	Appalachian headwater stream	103	['Appalachian headwater stream']
84	Saline water [ENVO_00002010]	103	['Saline water [ENVO_00002010]']
85	ENVO:01000599	102	['ENVO:01000599']
86	RO MEMBRANE	101	['RO MEMBRANE']
87	Spring water	101	['Spring water']
88	snow	100	['snow']
89	coastal sea water [ENVO: 00002150]	99	['coastal sea water [ENVO: 00002150]']
90	Groundwater	99	['Groundwater']
91	coastal sea water[ENVO_00002150]	99	['coastal sea water[ENVO_00002150]']
92	drinking water	99	['drinking water']
93	incubated water	98	['incubated water']
94	ENVO:01000023	97	['ENVO:01000023']
95	Single cell	96	['Single cell']
96	coal	95	['coal']
97	Missing	93	['Missing']
98	ENVO:01000686	91	['ENVO:01000686']
99	coastal sea water [ENVO:00002150]	90	['coastal sea water [ENVO:00002150]']
100	ENVO:01000317	90	['ENVO:01000317']
101	Chloraminated water	90	['Chloraminated water']
102	lake sediment	89	['lake sediment']
103	Pond water [ENVO:00002228]	86	['Pond water [ENVO:00002228]']
104	H2CO2ssC	86	['H2CO2ssC']
105	Sediment	84	['Sediment']
106	surface water isolated from pond	84	['surface water isolated from pond']
107	Coastal seawater	84	['Coastal seawater']
108	sea water environment[ENVO_01000321]	83	['sea water environment[ENVO_01000321]']
109	coastal seawater [ENVO:00002150]	80	['coastal seawater [ENVO:00002150]']
