serial_number	content	sample_count	content_list
548	coastal sea water [ENVO:00002420]	2	['coastal sea water [ENVO:00002420]']
549	coastal sea water [ENVO:00002422]	2	['coastal sea water [ENVO:00002422]']
550	coastal sea water [ENVO:00002425]	2	['coastal sea water [ENVO:00002425]']
551	coastal sea water [ENVO:00002437]	2	['coastal sea water [ENVO:00002437]']
552	coastal sea water [ENVO:00002449]	2	['coastal sea water [ENVO:00002449]']
553	coastal sea water [ENVO:00002461]	2	['coastal sea water [ENVO:00002461]']
554	coastal sea water [ENVO:00002483]	2	['coastal sea water [ENVO:00002483]']
555	coastal sea water [ENVO:00002488]	2	['coastal sea water [ENVO:00002488]']
556	river water [ENVO_01000599]	2	['river water [ENVO_01000599]']
557	Fresh water [ENVO:00002011]	2	['Fresh water [ENVO:00002011]']
558	ENVO:00002156	2	['ENVO:00002156']
559	coastal sea water [ENVO:00002157]	2	['coastal sea water [ENVO:00002157]']
560	coastal sea water [ENVO:00002160]	2	['coastal sea water [ENVO:00002160]']
561	coastal sea water [ENVO:00002165]	2	['coastal sea water [ENVO:00002165]']
562	coastal sea water [ENVO:00002174]	2	['coastal sea water [ENVO:00002174]']
563	coastal sea water [ENVO:00002180]	2	['coastal sea water [ENVO:00002180]']
564	coastal sea water [ENVO:00002181]	2	['coastal sea water [ENVO:00002181]']
565	coastal sea water [ENVO:00002194]	2	['coastal sea water [ENVO:00002194]']
566	coastal sea water [ENVO:00002206]	2	['coastal sea water [ENVO:00002206]']
567	coastal sea water [ENVO:00002227]	2	['coastal sea water [ENVO:00002227]']
568	coastal sea water [ENVO:00002231]	2	['coastal sea water [ENVO:00002231]']
569	coastal sea water [ENVO:00002237]	2	['coastal sea water [ENVO:00002237]']
570	coastal sea water [ENVO:00002240]	2	['coastal sea water [ENVO:00002240]']
571	coastal sea water [ENVO:00002251]	2	['coastal sea water [ENVO:00002251]']
572	coastal sea water [ENVO:00002260]	2	['coastal sea water [ENVO:00002260]']
573	coastal sea water [ENVO:00002266]	2	['coastal sea water [ENVO:00002266]']
574	coastal sea water [ENVO:00002273]	2	['coastal sea water [ENVO:00002273]']
575	coastal sea water [ENVO:00002276]	2	['coastal sea water [ENVO:00002276]']
576	coastal sea water [ENVO:00002280]	2	['coastal sea water [ENVO:00002280]']
577	coastal sea water [ENVO:00002285]	2	['coastal sea water [ENVO:00002285]']
578	coastal sea water [ENVO:00002297]	2	['coastal sea water [ENVO:00002297]']
579	coastal sea water [ENVO:00002300]	2	['coastal sea water [ENVO:00002300]']
580	coastal sea water [ENVO:00002301]	2	['coastal sea water [ENVO:00002301]']
581	coastal sea water [ENVO:00002307]	2	['coastal sea water [ENVO:00002307]']
582	coastal sea water [ENVO:00002315]	2	['coastal sea water [ENVO:00002315]']
583	coastal sea water [ENVO:00002348]	2	['coastal sea water [ENVO:00002348]']
584	coastal sea water [ENVO:00002351]	2	['coastal sea water [ENVO:00002351]']
585	coastal sea water [ENVO:00002353]	2	['coastal sea water [ENVO:00002353]']
586	coastal sea water [ENVO:00002357]	2	['coastal sea water [ENVO:00002357]']
587	coastal sea water [ENVO:00002364]	2	['coastal sea water [ENVO:00002364]']
588	coastal sea water [ENVO:00002373]	2	['coastal sea water [ENVO:00002373]']
589	coastal sea water [ENVO:00002387]	2	['coastal sea water [ENVO:00002387]']
590	coastal sea water [ENVO:00002394]	2	['coastal sea water [ENVO:00002394]']
591	coastal sea water [ENVO:00002409]	2	['coastal sea water [ENVO:00002409]']
592	coastal sea water [ENVO:00002413]	2	['coastal sea water [ENVO:00002413]']
593	coastal sea water [ENVO:00002418]	2	['coastal sea water [ENVO:00002418]']
594	coastal sea water [ENVO:00002430]	2	['coastal sea water [ENVO:00002430]']
595	coastal sea water [ENVO:00002431]	2	['coastal sea water [ENVO:00002431]']
596	coastal sea water [ENVO:00002433]	2	['coastal sea water [ENVO:00002433]']
597	coastal sea water [ENVO:00002451]	2	['coastal sea water [ENVO:00002451]']
598	coastal sea water [ENVO:00002459]	2	['coastal sea water [ENVO:00002459]']
599	coastal sea water [ENVO:00002463]	2	['coastal sea water [ENVO:00002463]']
600	coastal sea water [ENVO:00002466]	2	['coastal sea water [ENVO:00002466]']
601	coastal sea water [ENVO:00002473]	2	['coastal sea water [ENVO:00002473]']
602	coastal sea water [ENVO:00002475]	2	['coastal sea water [ENVO:00002475]']
603	coastal sea water [ENVO:00002476]	2	['coastal sea water [ENVO:00002476]']
604	coastal sea water [ENVO:00002480]	2	['coastal sea water [ENVO:00002480]']
605	coastal sea water [ENVO:00002485]	2	['coastal sea water [ENVO:00002485]']
606	coastal sea water [ENVO:00002497]	2	['coastal sea water [ENVO:00002497]']
607	coastal sea water [ENVO:00002500]	2	['coastal sea water [ENVO:00002500]']
608	coastal sea water [ENVO:00002508]	2	['coastal sea water [ENVO:00002508]']
609	coastal sea water [ENVO:00002516]	2	['coastal sea water [ENVO:00002516]']
610	coastal sea water [ENVO:00002517]	2	['coastal sea water [ENVO:00002517]']
611	coastal sea water [ENVO:00002520]	2	['coastal sea water [ENVO:00002520]']
612	coastal sea water [ENVO:00002522]	2	['coastal sea water [ENVO:00002522]']
613	coastal sea water [ENVO:00002539]	2	['coastal sea water [ENVO:00002539]']
614	coastal sea water [ENVO:00002542]	2	['coastal sea water [ENVO:00002542]']
615	coastal sea water [ENVO:00002546]	2	['coastal sea water [ENVO:00002546]']
616	coastal sea water [ENVO:00002563]	2	['coastal sea water [ENVO:00002563]']
617	coastal sea water [ENVO:00002565]	2	['coastal sea water [ENVO:00002565]']
618	coastal sea water [ENVO:00002570]	2	['coastal sea water [ENVO:00002570]']
619	coastal sea water [ENVO:00002572]	2	['coastal sea water [ENVO:00002572]']
620	sewage influent	2	['sewage influent']
621	mineral water	2	['mineral water']
622	saline lake sediment	2	['saline lake sediment']
623	ENVO:00002158	2	['ENVO:00002158']
624	coastal sea water [ENVO:00002158]	2	['coastal sea water [ENVO:00002158]']
625	coastal sea water [ENVO:00002162]	2	['coastal sea water [ENVO:00002162]']
626	coastal sea water [ENVO:00002169]	2	['coastal sea water [ENVO:00002169]']
627	coastal sea water [ENVO:00002171]	2	['coastal sea water [ENVO:00002171]']
628	coastal sea water [ENVO:00002177]	2	['coastal sea water [ENVO:00002177]']
629	coastal sea water [ENVO:00002196]	2	['coastal sea water [ENVO:00002196]']
630	coastal sea water [ENVO:00002197]	2	['coastal sea water [ENVO:00002197]']
631	coastal sea water [ENVO:00002205]	2	['coastal sea water [ENVO:00002205]']
632	coastal sea water [ENVO:00002211]	2	['coastal sea water [ENVO:00002211]']
633	coastal sea water [ENVO:00002222]	2	['coastal sea water [ENVO:00002222]']
634	coastal sea water [ENVO:00002236]	2	['coastal sea water [ENVO:00002236]']
635	coastal sea water [ENVO:00002238]	2	['coastal sea water [ENVO:00002238]']
636	coastal sea water [ENVO:00002243]	2	['coastal sea water [ENVO:00002243]']
637	coastal sea water [ENVO:00002247]	2	['coastal sea water [ENVO:00002247]']
638	coastal sea water [ENVO:00002252]	2	['coastal sea water [ENVO:00002252]']
639	coastal sea water [ENVO:00002253]	2	['coastal sea water [ENVO:00002253]']
640	coastal sea water [ENVO:00002255]	2	['coastal sea water [ENVO:00002255]']
641	coastal sea water [ENVO:00002261]	2	['coastal sea water [ENVO:00002261]']
642	coastal sea water [ENVO:00002264]	2	['coastal sea water [ENVO:00002264]']
643	coastal sea water [ENVO:00002267]	2	['coastal sea water [ENVO:00002267]']
644	coastal sea water [ENVO:00002278]	2	['coastal sea water [ENVO:00002278]']
645	coastal sea water [ENVO:00002287]	2	['coastal sea water [ENVO:00002287]']
646	coastal sea water [ENVO:00002295]	2	['coastal sea water [ENVO:00002295]']
647	coastal sea water [ENVO:00002304]	2	['coastal sea water [ENVO:00002304]']
648	coastal sea water [ENVO:00002306]	2	['coastal sea water [ENVO:00002306]']
649	coastal sea water [ENVO:00002319]	2	['coastal sea water [ENVO:00002319]']
650	coastal sea water [ENVO:00002327]	2	['coastal sea water [ENVO:00002327]']
651	coastal sea water [ENVO:00002342]	2	['coastal sea water [ENVO:00002342]']
652	coastal sea water [ENVO:00002349]	2	['coastal sea water [ENVO:00002349]']
653	coastal sea water [ENVO:00002375]	2	['coastal sea water [ENVO:00002375]']
654	coastal sea water [ENVO:00002376]	2	['coastal sea water [ENVO:00002376]']
655	coastal sea water [ENVO:00002383]	2	['coastal sea water [ENVO:00002383]']
656	coastal sea water [ENVO:00002388]	2	['coastal sea water [ENVO:00002388]']
657	coastal sea water [ENVO:00002391]	2	['coastal sea water [ENVO:00002391]']
658	coastal sea water [ENVO:00002393]	2	['coastal sea water [ENVO:00002393]']
659	coastal sea water [ENVO:00002421]	2	['coastal sea water [ENVO:00002421]']
660	coastal sea water [ENVO:00002435]	2	['coastal sea water [ENVO:00002435]']
661	coastal sea water [ENVO:00002452]	2	['coastal sea water [ENVO:00002452]']
662	coastal sea water [ENVO:00002454]	2	['coastal sea water [ENVO:00002454]']
663	coastal sea water [ENVO:00002481]	2	['coastal sea water [ENVO:00002481]']
664	coastal sea water [ENVO:00002490]	2	['coastal sea water [ENVO:00002490]']
665	coastal sea water [ENVO:00002494]	2	['coastal sea water [ENVO:00002494]']
666	coastal sea water [ENVO:00002496]	2	['coastal sea water [ENVO:00002496]']
667	coastal sea water [ENVO:00002503]	2	['coastal sea water [ENVO:00002503]']
668	coastal sea water [ENVO:00002504]	2	['coastal sea water [ENVO:00002504]']
669	coastal sea water [ENVO:00002505]	2	['coastal sea water [ENVO:00002505]']
670	coastal sea water [ENVO:00002512]	2	['coastal sea water [ENVO:00002512]']
671	coastal sea water [ENVO:00002514]	2	['coastal sea water [ENVO:00002514]']
672	coastal sea water [ENVO:00002518]	2	['coastal sea water [ENVO:00002518]']
673	coastal sea water [ENVO:00002527]	2	['coastal sea water [ENVO:00002527]']
674	coastal sea water [ENVO:00002528]	2	['coastal sea water [ENVO:00002528]']
675	coastal sea water [ENVO:00002530]	2	['coastal sea water [ENVO:00002530]']
676	coastal sea water [ENVO:00002533]	2	['coastal sea water [ENVO:00002533]']
677	coastal sea water [ENVO:00002544]	2	['coastal sea water [ENVO:00002544]']
678	coastal sea water [ENVO:00002550]	2	['coastal sea water [ENVO:00002550]']
679	coastal sea water [ENVO:00002555]	2	['coastal sea water [ENVO:00002555]']
680	coastal sea water [ENVO:00002558]	2	['coastal sea water [ENVO:00002558]']
681	coastal sea water [ENVO:00002560]	2	['coastal sea water [ENVO:00002560]']
682	coastal sea water [ENVO:00002574]	2	['coastal sea water [ENVO:00002574]']
683	coastal sea water [ENVO:00002581]	2	['coastal sea water [ENVO:00002581]']
684	coastal sea water [ENVO:00002586]	2	['coastal sea water [ENVO:00002586]']
685	sand filter	2	['sand filter']
686	Water sample	2	['Water sample']
687	ENVO:00001999	2	['ENVO:00001999']
688	clay sediment	2	['clay sediment']
689	ENVO:00002152	2	['ENVO:00002152']
690	Feb ice	2	['Feb ice']
691	Channel Water	2	['Channel Water']
692	coastal sea water [ENVO:00002154]	2	['coastal sea water [ENVO:00002154]']
693	coastal sea water [ENVO:00002168]	2	['coastal sea water [ENVO:00002168]']
694	coastal sea water [ENVO:00002191]	2	['coastal sea water [ENVO:00002191]']
695	coastal sea water [ENVO:00002198]	2	['coastal sea water [ENVO:00002198]']
696	coastal sea water [ENVO:00002200]	2	['coastal sea water [ENVO:00002200]']
697	coastal sea water [ENVO:00002201]	2	['coastal sea water [ENVO:00002201]']
698	coastal sea water [ENVO:00002207]	2	['coastal sea water [ENVO:00002207]']
699	coastal sea water [ENVO:00002208]	2	['coastal sea water [ENVO:00002208]']
700	coastal sea water [ENVO:00002212]	2	['coastal sea water [ENVO:00002212]']
701	coastal sea water [ENVO:00002224]	2	['coastal sea water [ENVO:00002224]']
702	coastal sea water [ENVO:00002246]	2	['coastal sea water [ENVO:00002246]']
703	coastal sea water [ENVO:00002272]	2	['coastal sea water [ENVO:00002272]']
704	coastal sea water [ENVO:00002282]	2	['coastal sea water [ENVO:00002282]']
705	coastal sea water [ENVO:00002284]	2	['coastal sea water [ENVO:00002284]']
706	coastal sea water [ENVO:00002290]	2	['coastal sea water [ENVO:00002290]']
707	coastal sea water [ENVO:00002291]	2	['coastal sea water [ENVO:00002291]']
708	coastal sea water [ENVO:00002293]	2	['coastal sea water [ENVO:00002293]']
709	coastal sea water [ENVO:00002350]	2	['coastal sea water [ENVO:00002350]']
710	coastal sea water [ENVO:00002355]	2	['coastal sea water [ENVO:00002355]']
711	coastal sea water [ENVO:00002359]	2	['coastal sea water [ENVO:00002359]']
712	coastal sea water [ENVO:00002363]	2	['coastal sea water [ENVO:00002363]']
713	coastal sea water [ENVO:00002368]	2	['coastal sea water [ENVO:00002368]']
714	coastal sea water [ENVO:00002370]	2	['coastal sea water [ENVO:00002370]']
715	coastal sea water [ENVO:00002372]	2	['coastal sea water [ENVO:00002372]']
716	coastal sea water [ENVO:00002378]	2	['coastal sea water [ENVO:00002378]']
717	coastal sea water [ENVO:00002385]	2	['coastal sea water [ENVO:00002385]']
718	coastal sea water [ENVO:00002400]	2	['coastal sea water [ENVO:00002400]']
719	coastal sea water [ENVO:00002401]	2	['coastal sea water [ENVO:00002401]']
720	coastal sea water [ENVO:00002403]	2	['coastal sea water [ENVO:00002403]']
721	coastal sea water [ENVO:00002412]	2	['coastal sea water [ENVO:00002412]']
722	coastal sea water [ENVO:00002426]	2	['coastal sea water [ENVO:00002426]']
723	coastal sea water [ENVO:00002428]	2	['coastal sea water [ENVO:00002428]']
724	coastal sea water [ENVO:00002434]	2	['coastal sea water [ENVO:00002434]']
725	coastal sea water [ENVO:00002436]	2	['coastal sea water [ENVO:00002436]']
726	coastal sea water [ENVO:00002442]	2	['coastal sea water [ENVO:00002442]']
727	coastal sea water [ENVO:00002445]	2	['coastal sea water [ENVO:00002445]']
728	coastal sea water [ENVO:00002456]	2	['coastal sea water [ENVO:00002456]']
729	coastal sea water [ENVO:00002462]	2	['coastal sea water [ENVO:00002462]']
730	coastal sea water [ENVO:00002468]	2	['coastal sea water [ENVO:00002468]']
731	coastal sea water [ENVO:00002470]	2	['coastal sea water [ENVO:00002470]']
732	coastal sea water [ENVO:00002492]	2	['coastal sea water [ENVO:00002492]']
733	coastal sea water [ENVO:00002495]	2	['coastal sea water [ENVO:00002495]']
734	coastal sea water [ENVO:00002525]	2	['coastal sea water [ENVO:00002525]']
735	coastal sea water [ENVO:00002547]	2	['coastal sea water [ENVO:00002547]']
736	coastal sea water [ENVO:00002549]	2	['coastal sea water [ENVO:00002549]']
737	coastal sea water [ENVO:00002553]	2	['coastal sea water [ENVO:00002553]']
738	coastal sea water [ENVO:00002559]	2	['coastal sea water [ENVO:00002559]']
739	coastal sea water [ENVO:00002562]	2	['coastal sea water [ENVO:00002562]']
740	coastal sea water [ENVO:00002564]	2	['coastal sea water [ENVO:00002564]']
741	coastal sea water [ENVO:00002571]	2	['coastal sea water [ENVO:00002571]']
742	coastal sea water [ENVO:00002604]	2	['coastal sea water [ENVO:00002604]']
743	organic material	2	['organic material']
744	ENVO:01000982	2	['ENVO:01000982']
745	coastal sea water [ENVO:00002587]	2	['coastal sea water [ENVO:00002587]']
746	coastal sea water [ENVO:00002598]	2	['coastal sea water [ENVO:00002598]']
747	coastal sea water [ENVO:00002599]	2	['coastal sea water [ENVO:00002599]']
748	Freshwater and sediment	2	['Freshwater and sediment']
749	leachate [ENVO:00002141] | anthropogenic environmental material [ENVO:0010001]	2	['leachate [ENVO:00002141] ', ' anthropogenic environmental material [ENVO:0010001]']
750	suspended solids	2	['suspended solids']
751	Hot Spring water	2	['Hot Spring water']
752	creek water	2	['creek water']
753	ENVO:00000211	2	['ENVO:00000211']
754	sponge in outer	2	['sponge in outer']
755	channel water up stream	2	['channel water up stream']
756	Aquarium water	2	['Aquarium water']
757	marine hydrothermal vent chimney [ENVO_01000129]	2	['marine hydrothermal vent chimney [ENVO_01000129]']
758	coastal sea water [ENVO:00002152]	2	['coastal sea water [ENVO:00002152]']
759	coastal sea water [ENVO:00002159]	2	['coastal sea water [ENVO:00002159]']
760	coastal sea water [ENVO:00002161]	2	['coastal sea water [ENVO:00002161]']
761	coastal sea water [ENVO:00002164]	2	['coastal sea water [ENVO:00002164]']
762	coastal sea water [ENVO:00002175]	2	['coastal sea water [ENVO:00002175]']
763	coastal sea water [ENVO:00002178]	2	['coastal sea water [ENVO:00002178]']
764	coastal sea water [ENVO:00002182]	2	['coastal sea water [ENVO:00002182]']
765	coastal sea water [ENVO:00002187]	2	['coastal sea water [ENVO:00002187]']
766	coastal sea water [ENVO:00002195]	2	['coastal sea water [ENVO:00002195]']
767	coastal sea water [ENVO:00002213]	2	['coastal sea water [ENVO:00002213]']
768	coastal sea water [ENVO:00002214]	2	['coastal sea water [ENVO:00002214]']
769	coastal sea water [ENVO:00002215]	2	['coastal sea water [ENVO:00002215]']
770	coastal sea water [ENVO:00002219]	2	['coastal sea water [ENVO:00002219]']
771	coastal sea water [ENVO:00002226]	2	['coastal sea water [ENVO:00002226]']
772	coastal sea water [ENVO:00002232]	2	['coastal sea water [ENVO:00002232]']
773	coastal sea water [ENVO:00002233]	2	['coastal sea water [ENVO:00002233]']
774	coastal sea water [ENVO:00002234]	2	['coastal sea water [ENVO:00002234]']
775	coastal sea water [ENVO:00002248]	2	['coastal sea water [ENVO:00002248]']
776	coastal sea water [ENVO:00002257]	2	['coastal sea water [ENVO:00002257]']
777	coastal sea water [ENVO:00002259]	2	['coastal sea water [ENVO:00002259]']
778	coastal sea water [ENVO:00002262]	2	['coastal sea water [ENVO:00002262]']
779	coastal sea water [ENVO:00002270]	2	['coastal sea water [ENVO:00002270]']
780	coastal sea water [ENVO:00002277]	2	['coastal sea water [ENVO:00002277]']
781	coastal sea water [ENVO:00002288]	2	['coastal sea water [ENVO:00002288]']
782	coastal sea water [ENVO:00002289]	2	['coastal sea water [ENVO:00002289]']
783	coastal sea water [ENVO:00002294]	2	['coastal sea water [ENVO:00002294]']
784	coastal sea water [ENVO:00002296]	2	['coastal sea water [ENVO:00002296]']
785	coastal sea water [ENVO:00002299]	2	['coastal sea water [ENVO:00002299]']
786	coastal sea water [ENVO:00002305]	2	['coastal sea water [ENVO:00002305]']
787	coastal sea water [ENVO:00002312]	2	['coastal sea water [ENVO:00002312]']
788	coastal sea water [ENVO:00002314]	2	['coastal sea water [ENVO:00002314]']
789	coastal sea water [ENVO:00002330]	2	['coastal sea water [ENVO:00002330]']
790	coastal sea water [ENVO:00002331]	2	['coastal sea water [ENVO:00002331]']
791	coastal sea water [ENVO:00002338]	2	['coastal sea water [ENVO:00002338]']
792	coastal sea water [ENVO:00002344]	2	['coastal sea water [ENVO:00002344]']
793	coastal sea water [ENVO:00002346]	2	['coastal sea water [ENVO:00002346]']
794	coastal sea water [ENVO:00002347]	2	['coastal sea water [ENVO:00002347]']
795	coastal sea water [ENVO:00002356]	2	['coastal sea water [ENVO:00002356]']
796	coastal sea water [ENVO:00002382]	2	['coastal sea water [ENVO:00002382]']
797	coastal sea water [ENVO:00002396]	2	['coastal sea water [ENVO:00002396]']
798	coastal sea water [ENVO:00002398]	2	['coastal sea water [ENVO:00002398]']
799	coastal sea water [ENVO:00002407]	2	['coastal sea water [ENVO:00002407]']
800	coastal sea water [ENVO:00002411]	2	['coastal sea water [ENVO:00002411]']
801	coastal sea water [ENVO:00002414]	2	['coastal sea water [ENVO:00002414]']
802	coastal sea water [ENVO:00002416]	2	['coastal sea water [ENVO:00002416]']
803	coastal sea water [ENVO:00002427]	2	['coastal sea water [ENVO:00002427]']
804	coastal sea water [ENVO:00002440]	2	['coastal sea water [ENVO:00002440]']
805	coastal sea water [ENVO:00002441]	2	['coastal sea water [ENVO:00002441]']
806	coastal sea water [ENVO:00002453]	2	['coastal sea water [ENVO:00002453]']
807	coastal sea water [ENVO:00002460]	2	['coastal sea water [ENVO:00002460]']
808	coastal sea water [ENVO:00002467]	2	['coastal sea water [ENVO:00002467]']
809	coastal sea water [ENVO:00002471]	2	['coastal sea water [ENVO:00002471]']
810	coastal sea water [ENVO:00002482]	2	['coastal sea water [ENVO:00002482]']
811	coastal sea water [ENVO:00002487]	2	['coastal sea water [ENVO:00002487]']
812	coastal sea water [ENVO:00002489]	2	['coastal sea water [ENVO:00002489]']
813	coastal sea water [ENVO:00002491]	2	['coastal sea water [ENVO:00002491]']
814	coastal sea water [ENVO:00002502]	2	['coastal sea water [ENVO:00002502]']
815	coastal sea water [ENVO:00002511]	2	['coastal sea water [ENVO:00002511]']
816	coastal sea water [ENVO:00002526]	2	['coastal sea water [ENVO:00002526]']
817	coastal sea water [ENVO:00002529]	2	['coastal sea water [ENVO:00002529]']
818	coastal sea water [ENVO:00002531]	2	['coastal sea water [ENVO:00002531]']
819	coastal sea water [ENVO:00002540]	2	['coastal sea water [ENVO:00002540]']
820	coastal sea water [ENVO:00002554]	2	['coastal sea water [ENVO:00002554]']
821	coastal sea water [ENVO:00002567]	2	['coastal sea water [ENVO:00002567]']
822	coastal sea water [ENVO:00002575]	2	['coastal sea water [ENVO:00002575]']
823	coastal sea water [ENVO:00002577]	2	['coastal sea water [ENVO:00002577]']
824	coastal sea water [ENVO:00002590]	2	['coastal sea water [ENVO:00002590]']
825	wastewater treatment plant [ENVO_00002043]	2	['wastewater treatment plant [ENVO_00002043]']
826	accretion ice	2	['accretion ice']
827	sponge in upper	2	['sponge in upper']
828	channel water down stream	2	['channel water down stream']
829	river water [ENVO:01000599]|sea water [ENVO:00002149]	2	['river water [ENVO:01000599]', 'sea water [ENVO:00002149]']
830	coastal sea water [ENVO:00002151]	2	['coastal sea water [ENVO:00002151]']
831	coastal sea water [ENVO:00002170]	2	['coastal sea water [ENVO:00002170]']
832	coastal sea water [ENVO:00002173]	2	['coastal sea water [ENVO:00002173]']
833	coastal sea water [ENVO:00002176]	2	['coastal sea water [ENVO:00002176]']
834	coastal sea water [ENVO:00002179]	2	['coastal sea water [ENVO:00002179]']
835	coastal sea water [ENVO:00002183]	2	['coastal sea water [ENVO:00002183]']
836	coastal sea water [ENVO:00002188]	2	['coastal sea water [ENVO:00002188]']
837	coastal sea water [ENVO:00002190]	2	['coastal sea water [ENVO:00002190]']
838	coastal sea water [ENVO:00002193]	2	['coastal sea water [ENVO:00002193]']
839	coastal sea water [ENVO:00002202]	2	['coastal sea water [ENVO:00002202]']
840	coastal sea water [ENVO:00002218]	2	['coastal sea water [ENVO:00002218]']
841	coastal sea water [ENVO:00002228]	2	['coastal sea water [ENVO:00002228]']
842	coastal sea water [ENVO:00002245]	2	['coastal sea water [ENVO:00002245]']
843	coastal sea water [ENVO:00002250]	2	['coastal sea water [ENVO:00002250]']
844	coastal sea water [ENVO:00002254]	2	['coastal sea water [ENVO:00002254]']
845	coastal sea water [ENVO:00002263]	2	['coastal sea water [ENVO:00002263]']
846	coastal sea water [ENVO:00002265]	2	['coastal sea water [ENVO:00002265]']
847	coastal sea water [ENVO:00002279]	2	['coastal sea water [ENVO:00002279]']
848	coastal sea water [ENVO:00002303]	2	['coastal sea water [ENVO:00002303]']
849	coastal sea water [ENVO:00002309]	2	['coastal sea water [ENVO:00002309]']
850	coastal sea water [ENVO:00002325]	2	['coastal sea water [ENVO:00002325]']
851	coastal sea water [ENVO:00002328]	2	['coastal sea water [ENVO:00002328]']
852	coastal sea water [ENVO:00002329]	2	['coastal sea water [ENVO:00002329]']
853	coastal sea water [ENVO:00002333]	2	['coastal sea water [ENVO:00002333]']
854	coastal sea water [ENVO:00002337]	2	['coastal sea water [ENVO:00002337]']
855	coastal sea water [ENVO:00002352]	2	['coastal sea water [ENVO:00002352]']
856	coastal sea water [ENVO:00002369]	2	['coastal sea water [ENVO:00002369]']
857	coastal sea water [ENVO:00002374]	2	['coastal sea water [ENVO:00002374]']
858	coastal sea water [ENVO:00002379]	2	['coastal sea water [ENVO:00002379]']
859	coastal sea water [ENVO:00002395]	2	['coastal sea water [ENVO:00002395]']
860	coastal sea water [ENVO:00002415]	2	['coastal sea water [ENVO:00002415]']
861	coastal sea water [ENVO:00002429]	2	['coastal sea water [ENVO:00002429]']
862	coastal sea water [ENVO:00002438]	2	['coastal sea water [ENVO:00002438]']
863	coastal sea water [ENVO:00002444]	2	['coastal sea water [ENVO:00002444]']
864	coastal sea water [ENVO:00002447]	2	['coastal sea water [ENVO:00002447]']
865	coastal sea water [ENVO:00002450]	2	['coastal sea water [ENVO:00002450]']
866	coastal sea water [ENVO:00002455]	2	['coastal sea water [ENVO:00002455]']
867	coastal sea water [ENVO:00002469]	2	['coastal sea water [ENVO:00002469]']
868	coastal sea water [ENVO:00002478]	2	['coastal sea water [ENVO:00002478]']
869	coastal sea water [ENVO:00002486]	2	['coastal sea water [ENVO:00002486]']
870	coastal sea water [ENVO:00002507]	2	['coastal sea water [ENVO:00002507]']
871	coastal sea water [ENVO:00002538]	2	['coastal sea water [ENVO:00002538]']
872	coastal sea water [ENVO:00002541]	2	['coastal sea water [ENVO:00002541]']
873	coastal sea water [ENVO:00002543]	2	['coastal sea water [ENVO:00002543]']
874	coastal sea water [ENVO:00002545]	2	['coastal sea water [ENVO:00002545]']
875	coastal sea water [ENVO:00002556]	2	['coastal sea water [ENVO:00002556]']
876	coastal sea water [ENVO:00002568]	2	['coastal sea water [ENVO:00002568]']
877	coastal sea water [ENVO:00002588]	2	['coastal sea water [ENVO:00002588]']
878	ENVO:00002042	2	['ENVO:00002042']
879	sand	2	['sand']
880	ENVO:00002153	2	['ENVO:00002153']
881	ENVO:00002155	2	['ENVO:00002155']
882	waste water [ENVO:00002001]| biological waste material [ENVO:01000373]	2	['waste water [ENVO:00002001]', ' biological waste material [ENVO:01000373]']
883	river water [ENVO:01000599]|brackish water [ENVO:00002019]	2	['river water [ENVO:01000599]', 'brackish water [ENVO:00002019]']
884	coastal sea water [ENVO:00002155]	2	['coastal sea water [ENVO:00002155]']
885	coastal sea water [ENVO:00002167]	2	['coastal sea water [ENVO:00002167]']
886	coastal sea water [ENVO:00002185]	2	['coastal sea water [ENVO:00002185]']
887	coastal sea water [ENVO:00002186]	2	['coastal sea water [ENVO:00002186]']
888	coastal sea water [ENVO:00002192]	2	['coastal sea water [ENVO:00002192]']
889	coastal sea water [ENVO:00002217]	2	['coastal sea water [ENVO:00002217]']
890	coastal sea water [ENVO:00002221]	2	['coastal sea water [ENVO:00002221]']
891	coastal sea water [ENVO:00002242]	2	['coastal sea water [ENVO:00002242]']
892	coastal sea water [ENVO:00002283]	2	['coastal sea water [ENVO:00002283]']
893	coastal sea water [ENVO:00002286]	2	['coastal sea water [ENVO:00002286]']
894	coastal sea water [ENVO:00002298]	2	['coastal sea water [ENVO:00002298]']
895	coastal sea water [ENVO:00002308]	2	['coastal sea water [ENVO:00002308]']
896	coastal sea water [ENVO:00002316]	2	['coastal sea water [ENVO:00002316]']
897	coastal sea water [ENVO:00002317]	2	['coastal sea water [ENVO:00002317]']
898	coastal sea water [ENVO:00002318]	2	['coastal sea water [ENVO:00002318]']
899	coastal sea water [ENVO:00002321]	2	['coastal sea water [ENVO:00002321]']
900	coastal sea water [ENVO:00002335]	2	['coastal sea water [ENVO:00002335]']
901	coastal sea water [ENVO:00002336]	2	['coastal sea water [ENVO:00002336]']
902	coastal sea water [ENVO:00002339]	2	['coastal sea water [ENVO:00002339]']
903	coastal sea water [ENVO:00002340]	2	['coastal sea water [ENVO:00002340]']
904	coastal sea water [ENVO:00002341]	2	['coastal sea water [ENVO:00002341]']
905	coastal sea water [ENVO:00002354]	2	['coastal sea water [ENVO:00002354]']
906	coastal sea water [ENVO:00002360]	2	['coastal sea water [ENVO:00002360]']
907	coastal sea water [ENVO:00002361]	2	['coastal sea water [ENVO:00002361]']
