curie	label	envo_native	obsolete	legacy_pv	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	nmdc_scoped_count	gold_scoped_count	ncbi_scoped_count
ENVO:00000660		False	False	False	False	False	False	False	False	False			
ENVO:01001792	tropical broadleaf forest	True	False	False	True	True	False	False	False	False			
ENVO:00001119		False	False	False	False	False	False	False	False	False			
ENVO:00000334	syngenetic karst	True	False	False	True	False	False	False	False	False			1.0
ENVO:06105211	runoff	True	False	False	False	False	False	False	False	True			4.0
ENVO:00000363	area designated as a nature reserve	True	False	False	False	False	False	False	False	False			1.0
ENVO:01001104	rift zone	True	False	False	True	False	False	False	False	False			
ENVO:03600078	oil refinery	True	False	False	True	False	False	False	False	False			
ENVO:00001092		False	False	False	False	False	False	False	False	False			
ENVO:01001625	polar tundra ecosystem	True	False	False	True	True	False	False	False	False			
ENVO:01001385	Bathymodiolus-dominated oceanic mussel reef	True	False	False	True	False	False	False	False	False			
ENVO:01000641	planetary core	True	False	False	True	False	False	False	False	False			
ENVO:00001000		False	False	False	False	False	False	False	False	False			
ENVO:00000699		False	False	False	False	False	False	False	False	False			
ENVO:03501295	processing plant	True	False	False	True	False	False	False	False	False			
ENVO:03501152	intensive care unit facility	True	False	False	True	False	False	False	False	False			
ENVO:00000914		False	False	False	False	False	False	False	False	False			
ENVO:00000972		False	False	False	False	False	False	False	False	False			
ENVO:00000412	tidal watercourse	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000477	mount	True	False	False	True	False	False	False	False	False			2.0
PATO:0002068	stratified	False	False	False	False	False	False	False	False	False			439.0
ENVO:00000588		False	False	False	False	False	False	False	False	False			
ENVO:01001527	plastic-frozen soil	True	False	False	True	False	False	False	False	True			
ENVO:00000164	rubber plantation	True	False	False	True	True	False	False	False	False			1.0
ENVO:03501174	high dependency unit facility	True	False	False	True	False	False	False	False	False			
ENVO:01000936	dedicated campground	True	False	False	True	False	False	False	False	False			
ENVO:00001091		False	False	False	False	False	False	False	False	False			
ENVO:01000775	mesotrophic lake	True	False	False	True	False	False	False	False	False			59.0
ENVO:01000645	solid planetary core	True	False	False	True	False	False	False	False	False			
RO:0002220	adjacent to	False	False	False	False	False	False	False	False	False			6.0
ENVO:00000076	mine	True	False	False	True	False	False	False	False	False		3.0	12.0
ENVO:00000159	sugar plantation	True	False	False	True	True	False	False	False	False			1.0
PATO:0001430	alkaline	False	False	False	False	False	False	False	False	False			12.0
