curie	label	envo_native	obsolete	legacy_pv	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	nmdc_scoped_count	gold_scoped_count	ncbi_scoped_count
ENVO:00002161	obsolete fermented agave juice	True	True	False	False	False	False	False	False	False			1.0
ENVO:00002160	estuarine mud	True	False	False	True	False	False	False	False	True			1.0
ENVO:00002088		False	False	False	False	False	False	False	False	False			1.0
ENVO:01000270	claystone	True	False	False	False	False	False	False	False	True			
ENVO:00002328		False	False	False	False	False	False	False	False	False			1.0
ENVO:00002294		False	False	False	False	False	False	False	False	False			1.0
ENVO:01000223	montane savanna biome	True	False	True	True	True	True	True	False	False			
ENVO:01000033	oceanic pelagic zone biome	True	False	False	True	True	True	False	True	False			
ENVO:01000023	marine pelagic biome	True	False	False	True	True	True	False	True	False			
ENVO:01000043	neritic mesopelagic zone biome	True	False	False	True	True	True	False	True	False			
ENVO:00002082		False	False	False	False	False	False	False	False	False			1.0
ENVO:02000059	surface soil	True	False	False	True	False	False	False	False	True			51.0
ENVO:00012408	aquifer	True	False	False	False	False	False	False	False	False			1.0
ENVO:00002043	wastewater treatment plant	True	False	False	True	False	False	False	False	False			1.0
ENVO:00002178	iron-reducing zone of petroleum contaminated sediment	True	False	False	False	False	False	False	False	False			1.0
ENVO:00002331		False	False	False	False	False	False	False	False	False			1.0
ENVO:00002081		False	False	False	False	False	False	False	False	False			1.0
ENVO:01000859	tropical marine upwelling biome	True	False	False	True	True	True	False	True	False			
ENVO:01000244	pinyon juniper woodland	True	False	False	True	True	False	False	False	False			
ENVO:00002019	brackish water	True	False	False	False	False	False	False	False	True			1.0
ENVO:00005817		False	False	False	False	False	False	False	False	False			
ENVO:00002267	industrial waste material	True	False	False	False	False	False	False	False	True			77.0
ENVO:00002368		False	False	False	False	False	False	False	False	False			1.0
ENVO:00002295		False	False	False	False	False	False	False	False	False			1.0
ENVO:00000435	proglacial lake	True	False	False	True	False	False	False	False	False			1.0
ENVO:00002279		False	False	False	False	False	False	False	False	False			1.0
ENVO:00000255	flood plain	True	False	False	True	False	False	False	False	False			96.0
ENVO:00002056	shale	True	False	False	False	False	False	False	False	True			1.0
ENVO:00002208		False	False	False	False	False	False	False	False	False			1.0
ENVO:00005808		False	False	False	False	False	False	False	False	False			
ENVO:00002165	obsolete meat food product	True	True	False	False	False	False	False	False	False			1.0
ENVO:01000251	subpolar	True	False	False	False	False	False	False	False	False			
ENVO:00000465	natural harbor	True	False	False	True	False	False	False	False	False			1.0
ENVO:00002347		False	False	False	False	False	False	False	False	False			1.0
ENVO:01000042	neritic epipelagic zone biome	True	False	False	True	True	True	False	True	False			
ENVO:01000250	subpolar coniferous forest biome	True	False	False	True	True	True	True	False	False	31.0		1810.0
ENVO:01000010	obsolete abiotic mesoscopic physical object	True	True	False	False	False	False	False	False	False			
ENVO:00002020	obsolete extreme habitat	True	True	False	False	False	False	False	False	False			1.0
ENVO:00002062	obsolete oil	True	True	False	False	False	False	False	False	False			1.0
ENVO:01000236	basalt	True	False	False	False	False	False	False	False	True			
ENVO:00005790	red soil	True	False	False	True	False	False	False	False	True			
ENVO:00002319		False	False	False	False	False	False	False	False	False			1.0
ENVO:00002203	inorganically enriched sediment	True	False	False	False	False	False	False	False	True			1.0
ENVO:00002157	stromatolite mat	True	False	False	False	False	False	False	False	False			1.0
ENVO:00000446	terrestrial biome	True	False	True	True	True	True	True	False	False	5400.0		2210.0
ENVO:00002192	poultry litter	True	False	False	False	False	False	False	False	True			1.0
ENVO:00002015	volcanic rock	True	False	False	False	False	False	False	False	True			1.0
ENVO:01000052	marine white smoker biome	True	False	False	True	True	True	False	True	False			
ENVO:00002158	ditch water	True	False	False	True	False	False	False	False	True			1.0
ENVO:00002318		False	False	False	False	False	False	False	False	False			1.0
ENVO:01001246	agricultural process	True	False	False	False	False	False	False	False	False			723.0
ENVO:00002189	obsolete cheese product	True	True	False	False	False	False	False	False	False			1.0
ENVO:00002362		False	False	False	False	False	False	False	False	False			1.0
ENVO:01000260	nutricline within a water body	True	False	False	True	False	False	False	False	False			
ENVO:00000090	coastal plain	True	False	False	True	False	False	False	False	False			
ENVO:00002285		False	False	False	False	False	False	False	False	False			1.0
ENVO:00002232	andosol	True	False	False	True	False	False	False	False	True			1.0
ENVO:01000687	coast	True	False	False	True	False	False	False	False	False			199.0
ENVO:01000431	mixed forest	True	False	False	True	True	False	False	False	False			18.0
ENVO:01000191	subtropical grassland biome	True	False	False	True	True	True	True	False	False			
ENVO:00005751	jungle soil	True	False	False	True	False	False	False	False	True			7.0
ENVO:01001017	halo	True	False	False	False	False	False	False	False	False			2.0
PATO:0000057	occurrence	False	False	False	False	False	False	False	False	False			1.0
ENVO:00000035	marsh	True	False	False	False	True	False	False	False	False			710.0
ENVO:00002214	power plant	True	False	False	True	False	False	False	False	False			1.0
ENVO:00005801	rhizosphere	True	False	False	True	True	False	False	False	False			605.0
ENVO:00000440	rock shelter	True	False	False	True	False	False	False	False	False			1.0
ENVO:00005767	manured soil	True	False	False	True	False	False	False	False	True			
ENVO:00002298		False	False	False	False	False	False	False	False	False			1.0
ENVO:00005753	urea enriched soil	True	False	False	True	False	False	False	False	True			
ENVO:00002310		False	False	False	False	False	False	False	False	False			1.0
ENVO:00002272	waste treatment plant	True	False	False	True	False	False	False	False	False			5.0
ENVO:00000297	paddy field	True	False	False	True	False	False	False	False	False			375.0
ENVO:01000001	mud	True	False	False	False	False	False	False	False	True			
ENVO:00002133	anaerobic mud	True	False	False	False	False	False	False	False	True			1.0
ENVO:00000507	wadi mouth	True	False	False	True	False	False	False	False	False			1.0
ENVO:00005777	steppe soil	True	False	False	True	False	False	False	False	True			
ENVO:00002175	obsolete processed meat product	True	True	False	False	False	False	False	False	False			1.0
ENVO:00000016	sea	True	False	False	True	False	False	False	False	False			13.0
UBERON:0002416	integumental system	False	False	False	False	False	False	False	False	False			6.0
ENVO:00002079		False	False	False	False	False	False	False	False	False			1.0
ENVO:00005795	marine mud	True	False	False	True	False	False	False	False	True			
ENVO:00002046	activated sludge	True	False	False	False	False	False	False	False	True			3.0
ENVO:01000128	dilution basin mediterranean sea biome	True	False	False	True	True	True	False	True	False			
ENVO:00000891	large freshwater lake biome	True	False	False	True	True	True	False	True	False			
ENVO:00002250	plinthosol	True	False	False	True	False	False	False	False	True			1.0
ENVO:01000199	mediterranean forest biome	True	False	False	True	True	True	True	False	False			
