curie	label	envo_native	obsolete	legacy_pv	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	nmdc_scoped_count	gold_scoped_count	ncbi_scoped_count
ENVO:00006079		False	False	False	False	False	False	False	False	False			1.0
ENVO:00002281		False	False	False	False	False	False	False	False	False			
ENVO:00005871		False	False	False	False	False	False	False	False	False			2.0
ENVO:01001526	frozen soil	True	False	False	True	False	False	False	False	True			
FOODON:00001002	food product	False	False	False	False	False	False	False	False	True			
FOODON:00002012	lupine bean food product	False	False	False	False	False	False	False	False	True			
ENVO:01000440	dacitic volcano	True	False	False	True	False	False	False	False	False			
FOODON:00001025	camembert cheese food product	False	False	False	False	False	False	False	False	True			
ENVO:02000109	dust from plant parts	True	False	False	False	False	False	False	False	True			
ENVO:00005747	compost soil	True	False	False	True	False	False	False	False	True			3.0
ENVO:00005793	muddy water	True	False	False	False	False	False	False	False	True			1.0
ENVO:01001113	forage material	True	False	False	False	False	False	False	False	True			
ENVO:02000138	mangrove biome soil	True	False	False	True	False	False	False	False	True		72.0	3.0
ENVO:00003045	bacon curing brine	True	False	False	False	False	False	False	False	True			
ENVO:00003982	travertine	True	False	False	False	False	False	False	False	True			
ENVO:00000038	lagoon	True	False	False	False	False	False	False	False	False			1.0
ENVO:00005810		False	False	False	False	False	False	False	False	False			1.0
FOODON:00001098	fermented apple beverage	False	False	False	False	False	False	False	False	True			
ENVO:01000432	swamp forest	True	False	False	True	True	False	False	False	False			
FOODON:00001092	vertebrate animal food product	False	False	False	False	False	False	False	False	True			
ENVO:00005838		False	False	False	False	False	False	False	False	False			2.0
ENVO:00005841		False	False	False	False	False	False	False	False	False			2.0
PATO:0001901	back	False	False	False	False	False	False	False	False	False			1.0
ENVO:01000399	tropical needleleaf forest	True	False	False	True	True	False	False	False	False			
FOODON:00001003	fermented agave juice	False	False	False	False	False	False	False	False	True			
NCBITaxon:1	root	False	False	False	False	False	False	False	False	False			712.0
ENVO:00002006	liquid water	True	False	False	False	False	False	False	False	True			
ENVO:01001562	hydrogel	True	False	False	False	False	False	False	False	True			
ENVO:00010506	emulsion	True	False	False	False	False	False	False	False	True			
ENVO:00005775	salt contaminated soil	True	False	False	True	False	False	False	False	True			1.0
ENVO:00002984	petroleum	True	False	False	False	False	False	False	False	True			42.0
ENVO:02000096	iron ore	True	False	False	False	False	False	False	False	True			
FOODON:00001048	meshanger cheese food product	False	False	False	False	False	False	False	False	True			
ENVO:00005933		False	False	False	False	False	False	False	False	False			1.0
FOODON:00001141	wheat food product	False	False	False	False	False	False	False	False	True			
ENVO:00006044		False	False	False	False	False	False	False	False	False			1.0
ENVO:01000119	silty sediment	True	False	False	False	False	False	False	False	True			
FOODON:03316079	herbal infusion	False	False	False	False	False	False	False	False	True			
ENVO:00005971		False	False	False	False	False	False	False	False	False			1.0
CHEBI:18248	iron atom	False	False	False	False	False	False	False	False	False			1.0
FOODON:00001635	bean food product	False	False	False	False	False	False	False	False	True			
FOODON:00001286	turkey meat food product	False	False	False	False	False	False	False	False	True			
ENVO:00005968		False	False	False	False	False	False	False	False	False			1.0
ENVO:00002264	waste material	True	False	False	False	False	False	False	False	True			
ENVO:01000134	hydrothermal fluid	True	False	False	False	False	False	False	False	True			
ENVO:01000350	autoclaved sand	True	False	False	False	False	False	False	False	True			
FOODON:00001245	tea beverage (liquid)	False	False	False	False	False	False	False	False	True			
ENVO:00000486	shoreline	True	False	False	False	False	False	False	False	False			138.0
FOODON:03315173	fish product (unspecified species)	False	False	False	False	False	False	False	False	True			
ENVO:01000359	limestone cave	True	False	False	True	False	False	False	False	False			
ENVO:00000114	agricultural field	True	False	False	True	False	False	False	False	False			293.0
ENVO:00010504	surface layer	True	False	False	False	False	False	False	False	False			4.0
ENVO:02000120	zinc chloride fume	True	False	False	False	False	False	False	False	True			
ENVO:00002273	fluvisol	True	False	False	True	False	False	False	False	True			
ENVO:00002224	eutrophic water	True	False	False	False	False	False	False	False	True			
FOODON:00001187	sorghum food product	False	False	False	False	False	False	False	False	True			
ENVO:06105274	sandy loam	True	False	False	True	False	False	False	False	True			125.0
ENVO:00005981		False	False	False	False	False	False	False	False	False			1.0
ENVO:00006032		False	False	False	False	False	False	False	False	False			1.0
ENVO:00006049		False	False	False	False	False	False	False	False	False			1.0
ENVO:01000001	mud	True	False	False	False	False	False	False	False	True			5.0
ENVO:01000110	hydrogenous sediment	True	False	False	False	False	False	False	False	True			
