ENVO:00000081	mountain	mountain
ENVO:01001304	oasis	oasis
ENVO:00000015	ocean	ocean
ENVO:01000302	outcrop	outcrop
ENVO:00000117	plantation	plantation
ENVO:00000182	plateau	plateau
ENVO:00000033	pond	pond
ENVO:00000260	prairie	prairie
ENVO:03500002	public park	public park
ENVO:00000469	research facility	research facility
ENVO:00000143	river bank	river bank
ENVO:00000171	river valley	river valley
ENVO:00000064	road	road
ENVO:01000059	sea grass bed	sea grass bed
ENVO:00000304	shore	shore
ENVO:01000336	shrub layer	shrub layer
ENVO:00000501	submerged bed	submerged bed
ENVO:01000335	understory	understory
ENVO:00000100	valley	valley
ENVO:01001240	woodland canopy	woodland canopy
ENVO:01001505	alpine tundra biome	alpine tundra biome
ENVO:01000219	anthropogenic terrestrial biome	anthropogenic terrestrial biome
ENVO:00002030	aquatic biome	aquatic biome
ENVO:01000197	broadleaf forest biome	broadleaf forest biome
ENVO:01000196	coniferous forest biome	coniferous forest biome
ENVO:01000245	cropland biome	cropland biome
ENVO:01000020	estuarine biome	estuarine biome
ENVO:01000195	flooded grassland biome	flooded grassland biome
ENVO:01000190	flooded savanna biome	flooded savanna biome
ENVO:01000174	forest biome	forest biome
ENVO:00000873	freshwater biome	freshwater biome
ENVO:01000252	freshwater lake biome	freshwater lake biome
ENVO:01000253	freshwater river biome	freshwater river biome
ENVO:03605008	freshwater stream biome	freshwater stream biome
ENVO:01000177	grassland biome	grassland biome
ENVO:00000891	large freshwater lake biome	large freshwater lake biome
ENVO:00000887	large river biome	large river biome
ENVO:00000889	large river delta biome	large river delta biome
ENVO:00000888	large river headwater biome	large river headwater biome
ENVO:01000181	mangrove biome	mangrove biome
ENVO:00000447	marine biome	marine biome
ENVO:01000025	marine neritic benthic zone biome	marine neritic benthic zone biome
ENVO:01000022	marine salt marsh biome	marine salt marsh biome
ENVO:01000199	mediterranean forest biome	mediterranean forest biome
ENVO:01000224	mediterranean grassland biome	mediterranean grassland biome
ENVO:01000229	mediterranean savanna biome	mediterranean savanna biome
ENVO:01000217	mediterranean shrubland biome	mediterranean shrubland biome
ENVO:01000208	mediterranean woodland biome	mediterranean woodland biome
ENVO:01000198	mixed forest biome	mixed forest biome
ENVO:01000194	montane grassland biome	montane grassland biome
ENVO:01000223	montane savanna biome	montane savanna biome
ENVO:01000216	montane shrubland biome	montane shrubland biome
ENVO:01000042	neritic epipelagic zone biome	neritic epipelagic zone biome
