curie	label	envo_native	obsolete	no_comparison_enum	ancestors_in_enum_count	descendants_in_enum_count	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	soil	liquid water	water ice	human_construction	building	building_part	goldterms_mappings	nmdc_scoped_count	gold_hybrid_count	ncbi_scoped_count
ENVO:000002150		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:02000036	saliva material	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
FOODON:00001212	pastry food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00000364	national wildlife refuge	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
CHEBI:24866	salt	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			243.0
ENVO:00005792	underground water	True	False	False	0	0	False	False	False	False	False	True	False	True	False	False	False	False	False			859.0
ENVO:00002022	obsolete alkaline habitat	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			2.0
FOODON:00001632	barley flour food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:01000402	tropical mixed broadleaf forest	True	False	False	0	0	True	True	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:01001382	area of attached mussel assemblages	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			5.0
ENVO:00005781	heat stressed soil	True	False	False	0	0	True	False	False	False	False	True	True	False	False	False	False	False	False			
ENVO:00002092		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
CHEBI:33292	fuel	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:01000529	chemical toilet fixture	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00002257	podzol	True	False	False	0	0	True	False	False	False	False	True	True	False	False	False	False	False	False			
ENVO:00002306		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002537		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000405	obsolete submarine volcano	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00002752		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:01000722	meltwater	True	False	False	0	0	False	False	False	False	False	True	False	True	False	False	False	False	False			24.0
ENVO:00002682		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000563	pier	True	False	False	0	0	True	False	False	False	False	False	False	False	False	True	False	False	False			6.0
PATO:0001630	dispersed	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
PATO:0001472	decreased depth	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:00002199	sandy beach	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:03000075	shuga	True	False	False	0	0	False	False	False	False	False	True	False	False	True	False	False	False	False			
ENVO:00002621		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002440		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:03400289	USA agency food product type	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002107		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002675		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000379	inundation disposition	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00002463		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000568	obsolete aerial habitat	True	True	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00002708		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00005777	steppe soil	True	False	False	0	0	True	False	False	False	False	True	True	False	False	False	False	False	False			
ENVO:00002132	metalimnion	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002052	iron meteorite	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			3.0
FOODON:00002132	plant based salad food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002384		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000429	arete	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00005752	sawah soil	True	False	False	0	0	True	False	False	False	False	True	True	False	False	False	False	False	False			
ENVO:00002292		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:00001009	hot dog	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00000353	island arc	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:01001644	material primarily composed of biogenic carbonates	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002266	chicken breeding waste material	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:02000153	marine salt marsh sediment	True	False	False	0	0	True	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002473		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000390	mountain spur	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00002118	sea sand	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			1.0
ENVO:01000555	compressed natural gas	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:01000241	juniper woodland	True	False	False	0	0	True	True	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00000013	cave system	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:00001073	vinegar food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:01001156	refractory astrogeological material	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:02000090	ash	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:02000094	ore	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00000407	subglacial volcano	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00002445		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002395		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:06105276	sandy clay loam	True	False	False	0	0	True	False	False	False	False	True	True	False	False	False	False	False	False			
ENVO:00005764	pond soil	True	False	False	0	0	True	False	False	False	False	True	True	False	False	False	False	False	False			1.0
FOODON:00001204	yam bean food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002695		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002441		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:2017111512		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002454		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
BFO:0000030	object	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			129.0
ENVO:01000253	freshwater river biome	True	False	False	0	0	True	True	True	False	True	False	False	False	False	False	False	False	False			66.0
FOODON:00002165	organ meat product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002344		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:03501252	chicken manure	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00002056	shale	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			2.0
ENVO:03510036	rock dust	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			1.0
ENVO:00002721		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00003861	industrial building	True	False	False	0	0	True	False	False	False	False	False	False	False	False	True	True	False	False			3.0
ENVO:00002540		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:00001234	mayonnaise food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:01000336	shrub layer	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00002644		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
FOODON:03302082	beef (dehydrated)	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00005795	marine mud	True	False	False	0	0	True	False	False	False	False	True	False	False	False	False	False	False	False			4.0
ENVO:2017081502		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000091	beach	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
FOODON:00001259	non-fruit wine food product	False	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			
ENVO:00000244	abyssal plain	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:01000324	planetary surface	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:03600036	pathogen-suppressive soil	True	False	False	0	0	True	False	False	False	False	True	True	False	False	False	False	False	False			
ENVO:00002221	shop	True	False	False	0	0	True	False	False	False	False	False	False	False	False	True	True	False	False			
ENVO:00000355	monogenetic volcanic field	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:00002692		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000523	cutoff	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00002363		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002665		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000465	natural harbor	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00000416	coastal dune	True	False	False	0	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
