curie	label	envo_native	obsolete	EnvBroadScaleSoilEnum_11_1	ancestors_in_enum_count	descendants_in_enum_count	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	goldterms_mappings	nmdc_scoped_count	gold_hybrid_count	ncbi_scoped_count
ENVO:01000041	neritic sea surface microlayer biome	True	False	False	0	0	True	True	True	False	True	False	False			
ENVO:00000339	piece of rock	True	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:00002007	sediment	True	False	False	0	0	False	False	False	False	False	True	False			5.0
PATO:0000952	brown	False	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:01000425	indoor toilet	True	False	False	0	0	True	False	False	False	False	False	False			2.0
ENVO:01000501	burnt brick	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:00000296	rice field	True	False	False	0	0	True	True	False	False	False	False	False			429.0
ENVO:00000109	woodland area	True	False	False	0	0	True	False	False	False	False	False	False			2245.0
ENVO:00000138	cove	True	False	False	0	0	True	False	False	False	False	False	False			12.0
ENVO:01000404	obsolete manufactured plastic	True	True	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:01000530	ventilated improved pit latrine	True	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:01001304	oasis	True	False	False	0	0	True	False	False	False	False	False	False			106.0
PATO:0000146	temperature	False	False	False	0	0	False	False	False	False	False	False	False			6.0
ENVO:00003885	brewery	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000423	living room	True	False	False	0	0	True	False	False	False	False	False	False			2.0
ENVO:01000341	subalpine	True	False	False	0	0	False	False	False	False	False	False	False			452.0
ENVO:00000392	ice tongue	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:00000440	rock shelter	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:00000272	confluence	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:00000299	ice field	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000043	neritic mesopelagic zone biome	True	False	False	0	0	True	True	True	False	True	False	False			
ENVO:01000020	estuarine biome	True	False	False	0	0	True	True	True	False	True	False	False			497.0
ENVO:00000251	ground moraine	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000032	neritic pelagic zone biome	True	False	False	0	0	True	True	True	False	True	False	False			
ENVO:01000190	flooded savanna biome	True	False	True	4	1	True	True	True	True	False	False	False			
ENVO:00000311	kettle	True	False	False	0	0	True	False	False	False	False	False	False			1.0
PATO:0002107	peripheral	False	False	False	0	0	False	False	False	False	False	False	False			4.0
ENVO:01001808	montane grassland	True	False	False	0	1	True	True	False	False	False	False	False			2.0
ENVO:03600087	greenhouse	True	False	False	0	0	True	False	False	False	False	False	False			6325.0
ENVO:01000342	montane	True	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:00002044	sludge	True	False	False	0	0	False	False	False	False	False	True	False			3.0
ENVO:01000628	plant litter	True	False	False	0	0	False	False	False	False	False	True	False			27.0
ENVO:00000215	hydrothermal vent	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:00000113	obsolete cultivated habitat	True	True	False	0	0	False	False	False	False	False	False	False			6.0
ENVO:00000223	continental shelf	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000594	cabinet	True	False	False	0	0	False	False	False	False	False	False	False			66.0
ENVO:00000039	fjord	True	False	False	0	0	True	False	False	False	False	False	False			5.0
ENVO:01001044	soil environment	True	False	False	0	0	True	True	False	False	False	False	False			1319.0
ENVO:01001069	metallic material	True	False	False	0	0	False	False	False	False	False	True	False			31.0
ENVO:01000987	market	True	False	False	0	0	True	False	False	False	False	False	False			19.0
ENVO:01000180	tundra biome	True	False	True	2	2	True	True	True	True	False	False	False			612.0
