curie	label	envo_native	obsolete	EnvLocalSoilEnum_10_7	ancestors_in_enum_count	descendants_in_enum_count	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	soil	liquid water	water ice	human_construction	building	building_part	goldterms_mappings	nmdc_scoped_count	gold_hybrid_count	ncbi_scoped_count
ENVO:01000869	area of scrub	True	False	False	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False	614.0		
ENVO:00000502	container of an intermittent saline lake	True	False	False	5	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00003088	pantothenate enriched soil	True	False	False	1	0	True	False	False	False	False	True	True	False	False	False	False	False	False			
ENVO:00006073		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:01001459	high-elevation mountain	True	False	False	6	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:03501141	coronary care unit facility	True	False	False	1	0	True	False	False	False	False	False	False	False	False	True	False	False	False			
ENVO:00000034	rapids	True	False	False	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000372	pyroclastic shield volcano	True	False	False	4	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00006123		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00005930		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:0000473		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			3.0
ENVO:00000324	outflow cave	True	False	False	5	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:0000511		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:00000503	container of an intermittent oxbow lake	True	False	False	5	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:03000065	ice floe	True	False	False	2	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
NCBITaxon:3193	Embryophyta	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1239.0
ENVO:00005847		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00002267	industrial waste material	True	False	False	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False			2.0
ENVO:01000224	mediterranean grassland biome	True	False	False	1	0	True	True	True	True	False	False	False	False	False	False	False	False	False			740.0
ENVO:0000569		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:00000379	inundation disposition	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000070	human construction	True	False	False	1	4	True	False	False	False	False	False	False	False	False	True	False	False	False			3.0
ENVO:01001301	aquatic estuarine layer	True	False	False	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00005886		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:01000533	covered pit latrine with slab floor	True	False	False	1	0	True	False	False	False	False	False	False	False	False	True	True	False	False			
ENVO:00000060	underground stream	True	False	False	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:01001829	human settlement	True	False	False	1	0	True	True	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00000532	intermittent saline evaporation pond	True	False	False	5	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002286		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00000439	dell	True	False	False	6	0	True	False	False	False	False	False	False	False	False	False	False	False	False			2.0
ENVO:01000332	gravelly slope	True	False	False	4	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:01000827	closed eaves	True	False	False	1	0	True	False	False	False	False	False	False	False	False	True	False	True	False			
ENVO:00002291		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:01000985	fairground	True	False	False	3	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:01000080	pelagic isothermal surface	True	False	False	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002184	subsurface landform	True	False	False	3	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00002149	sea water	True	False	False	0	0	False	False	False	False	False	True	False	True	False	False	False	False	False			9.0
ENVO:01001097	tectonic plate	True	False	False	2	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:01000826	open eaves	True	False	False	1	0	True	False	False	False	False	False	False	False	False	True	False	True	False			
ENVO:00000010	transport feature	True	False	False	1	0	True	False	False	False	False	False	False	False	False	True	False	False	False			
ENVO:01000333	hillside	True	False	True	5	1	True	False	False	False	False	False	False	False	False	False	False	False	False			231.0
ENVO:01000781	public building	True	False	False	1	0	True	False	False	False	False	False	False	False	False	True	True	False	False			
ENVO:00005972		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00000506	intermittently filled reservoir	True	False	False	5	0	True	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:01001479	fluid astronomical body part	True	False	False	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:03000143	cryosphere	True	False	False	1	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00005759	alluvial paddy field soil	True	False	False	1	0	True	False	False	False	False	True	True	False	False	False	False	False	False			28.0
ENVO:00002871	alluvial soil	True	False	False	1	0	True	False	False	False	False	True	True	False	False	False	False	False	False			2.0
ENVO:00000275	ocean trench	True	False	False	5	0	True	False	False	False	False	False	False	False	False	False	False	False	False			26.0
ENVO:01001178	pasturable land	True	False	False	2	0	True	False	False	False	False	False	False	False	False	False	False	False	False			
ENVO:00006083		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
ENVO:00006116		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			1.0
OBI:0100026	organism	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False			67.0
