curie	label	envo_native	obsolete	no_comparison_enum	ancestors_in_enum_count	descendants_in_enum_count	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	goldterms_mappings	nmdc_scoped_count	gold_hybrid_count	ncbi_scoped_count
ENVO:01000647	asthenosphere	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:01000450	salt glacier	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:00000011	garden	True	False	False	0	0	True	False	False	False	False	False	False			17.0
ENVO:01000433	needleleaf forest	True	False	False	0	0	True	True	False	False	False	False	False			
ENVO:00000507	wadi mouth	True	False	False	0	0	True	False	False	False	False	False	False			1.0
PATO:0002299	tubular	False	False	False	0	0	False	False	False	False	False	False	False			2.0
ENVO:00002108		False	False	False	0	0	False	False	False	False	False	False	False			
ENVO:06105036		False	False	False	0	0	False	False	False	False	False	False	False			1.0
PATO:0001456	anaerobic	False	False	False	0	0	False	False	False	False	False	False	False			4871.0
ENVO:01001254	animal aquaculture process	True	False	False	0	0	False	False	False	False	False	False	False			126.0
ENVO:01000408	environmental zone	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:00002131	epilimnion	True	False	False	0	0	True	False	False	False	False	False	False			32.0
ENVO:01000387	tropical deciduous broadleaf forest	True	False	False	0	0	True	True	False	False	False	False	False			
ENVO:00002116	contaminated soil	True	False	False	0	0	True	False	False	False	False	True	False			1.0
ENVO:01000222	subtropical woodland biome	True	False	False	0	0	True	True	True	True	False	False	False			
PATO:0000141	structure	False	False	False	0	0	False	False	False	False	False	False	False			2.0
ENVO:00000302	rift valley	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000965	constructed swimming pool	True	False	False	0	0	True	False	False	False	False	False	False			2.0
ENVO:01000529	chemical toilet fixture	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000078	marine nutricline	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000568	tubular paraffin lantern	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:2018051502		False	False	False	0	0	False	False	False	False	False	False	False			
ENVO:00002087		False	False	False	0	0	False	False	False	False	False	False	False			
ENVO:06105027	fragmentation process	True	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:00000479	mouth	True	False	False	0	0	True	False	False	False	False	False	False			14.0
ENVO:01000515	tiled building roof	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:01000595	cupboard	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000343	altitudinal condition	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:06105030		False	False	False	0	0	False	False	False	False	False	False	False			1.0
CHEBI:24433	group	False	False	False	0	0	False	False	False	False	False	False	False			3.0
ENVO:01000696	mass wasting flow	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000441	andesite	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:01000590	mattress	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000383	temperate evergreen needleleaf forest	True	False	False	0	0	True	True	False	False	False	False	False			
CHEBI:33839	macromolecule	False	False	False	0	0	False	False	False	False	False	False	False			29.0
ENVO:01000699	lahar	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000112	polymetallic nodule	True	False	False	0	0	False	False	False	False	False	True	False			1.0
ENVO:00002074		False	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:01000195	flooded grassland biome	True	False	False	0	0	True	True	True	True	False	False	False			14.0
ENVO:00002138	beach sand	True	False	False	0	0	True	False	False	False	False	True	False			92.0
ENVO:00002121	alkaline salt lake	True	False	False	0	0	True	False	False	False	False	False	False			121.0
ENVO:01000215	temperate shrubland biome	True	False	False	0	0	True	True	True	True	False	False	False			
ENVO:01000194	montane grassland biome	True	False	False	0	0	True	True	True	True	False	False	False			
ENVO:01000497	mud exterior wall	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:01000619	closed ecological system	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000105	obsolete marine benthic feature	True	True	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:01000125	marine littoral zone	True	False	False	0	0	True	True	False	False	False	False	False			
ENVO:00000099	artificial island	True	False	False	0	0	True	False	False	False	False	False	False			4.0
PATO:0000690	discontinuous	False	False	False	0	0	False	False	False	False	False	False	False			12.0
ENVO:01000659	igneous intrusion	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:01000182	temperate desert biome	True	False	False	0	0	True	True	True	False	False	False	False			
ENVO:01000330	cypress strand swamp	True	False	False	0	0	False	True	False	False	False	False	False			
ENVO:01000259	pycnocline	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:00002100		False	False	False	0	0	False	False	False	False	False	False	False			
ENVO:06105020	ingestion	True	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:00002055	sandstone	True	False	False	0	0	False	False	False	False	False	True	False			18.0
ENVO:01000438	lava flow	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:03600022	vinasse	True	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:00000451	amenity lake	True	False	False	0	0	True	False	False	False	False	False	False			2.0
ENVO:01001505	alpine tundra biome	True	False	False	0	0	True	True	True	True	False	False	False			3.0
ENVO:01000692	landslide process	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000319	rocky slope	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:02000155	solid waste material	True	False	False	0	0	False	False	False	False	False	True	False			1.0
ENVO:01000277	water ice	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:02000001	textile	True	False	False	0	0	False	False	False	False	False	False	False			3.0
ENVO:01000739	habitat	True	False	False	0	0	True	True	False	False	False	False	False			103.0
ENVO:00000450	irrigation reservoir	True	False	False	0	0	True	False	False	False	False	False	False			3.0
ENVO:06105039		False	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:03600013	bituminous sand	True	False	False	0	0	False	False	False	False	False	True	False			6.0
ENVO:0008		False	False	False	0	0	False	False	False	False	False	False	False			
PATO:0000586	increased size	False	False	False	0	0	False	False	False	False	False	False	False			847.0
ENVO:00000057	mangrove swamp	True	False	False	0	0	False	True	False	False	False	False	True		232.0	454.0
ENVO:00002054	chalk	True	False	False	0	0	False	False	False	False	False	True	False			1.0
ENVO:00000465	natural harbor	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:01000477	gypsum plaster	True	False	False	0	0	False	False	False	False	False	True	False			
ENVO:01000498	pole	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000252	freshwater lake biome	True	False	False	0	0	True	True	True	False	True	False	False	467.0		1965.0
ENVO:01000643	inner planetary core	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:01000213	subtropical shrubland biome	True	False	False	0	0	True	True	True	True	False	False	False			
ENVO:00003064	drinking water	True	False	False	0	0	False	False	False	False	False	True	False			1589.0
ENVO:00000029	watercourse	True	False	False	0	0	True	False	False	False	False	False	False			3.0
ENVO:01000065	marine oxygen minimum zone	True	False	False	0	0	True	False	False	False	False	False	False			61.0
PATO:0045094	west	False	False	False	0	0	False	False	False	False	False	False	False			1.0
ENVO:01000210	tropical coniferous forest biome	True	False	False	0	0	True	True	True	True	False	False	False			
ENVO:01000081	pelagic isohaline surface	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:00002143	calcite hot spring	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:01000430	broadleaf forest	True	False	False	0	0	True	True	False	False	False	False	False			
ENVO:01000678	tectonic earthquake	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000140	whale fall	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000779	public infrastructure	True	False	False	0	0	True	False	False	False	False	False	False			59.0
ENVO:01000589	bench	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000362	inflationary cave	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:01000069	mesoscale marine eddy	True	False	False	0	0	True	False	False	False	False	False	False			1.0
ENVO:00000428	biome	True	False	False	0	0	True	True	True	False	False	False	False			11199.0
ENVO:01000363	erosional cave	True	False	False	0	0	True	False	False	False	False	False	False			
ENVO:01000381	continental temperate	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:00002125	anaerobic dechlorinating bioreactor	True	False	False	0	0	False	False	False	False	False	False	False			
ENVO:01000196	coniferous forest biome	True	False	False	0	0	True	True	True	True	False	False	False			15.0
ENVO:01000191	subtropical grassland biome	True	False	False	0	0	True	True	True	True	False	False	False			
