curie	label	envo_native	obsolete	EnvMediumSoilEnum_11_1	ancestors_in_enum_count	descendants_in_enum_count	nlcd_class	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	soil	liquid water	water ice	human_construction	building	building_part	goldterms_mappings	nmdc_biosamples_count	ncbi_bioporjects_count
FOODON:03400643	Codex Alimentarius classification of food and feed commodities	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
FOODON:00001098	fermented apple beverage	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:01000557	liquefied natural gas	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
FOODON:00002126	plant-based candy	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:00000117	plantation	True	False	False	0	1	False	True	True	False	False	False	False	False	False	False	False	False	False	False		1.0
FOODON:00001052	amasake food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
FOODON:03311737	processed food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:02000123	paint	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:00005759	alluvial paddy field soil	True	False	True	5	0	False	True	False	False	False	False	True	True	False	False	False	False	False	False		
ENVO:00000037	ditch	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	True	False	False	False		2.0
ENVO:01001378	marine bed	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00005755	field soil	True	False	True	1	2	False	True	False	False	False	False	True	True	False	False	False	False	False	False		
FOODON:00001613	apple vinegar food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
FOODON:00001757	common bean food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:00000515	road cut	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:02000096	iron ore	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:2000008	lignite	True	False	False	2	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
FOODON:00002125	plant based bakery food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:00002316		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
FOODON:00001010	processed meat food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:00002043	wastewater treatment plant	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	True	True	False	False		8.0
PATO:0001323	area	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		4.0
FOODON:00001191	barley food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:00002288		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01001393	Bathymodiolus gill tissue material	True	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
ENVO:00000192	mudflat	True	False	False	1	0	False	False	True	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:01001020	hypersaline lake	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False		8.0
ENVO:01000991	bathtub fixture	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
FOODON:00001176	invertebrate animal food product	False	False	False	0	0	False	False	False	False	False	False	True	False	False	False	False	False	False	False		
