subject	predicate	content
GOLDTERMS:Host-associated-Plants-Macrophytes	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:Host-associated-Plants-Macrophytes	rdfs:label	Host-associated > Plants > Macrophytes
GOLDTERMS:3938	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:3938	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:3938	rdfs:label	Host-associated > Plants
GOLDTERMS:3943	mixs:anatomical_site	PO:0004542
GOLDTERMS:3943	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:3943	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:3943	rdfs:label	Host-associated > Plants > Rhizome
GOLDTERMS:3944	mixs:anatomical_site	PO:0004542
GOLDTERMS:3944	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:3944	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:3944	rdfs:label	Host-associated > Plants > Rhizome > Epiphytes
GOLDTERMS:3945	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:3945	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:3945	rdfs:label	Host-associated > Plants > Endosphere
GOLDTERMS:4407	mixs:env_broad	ENVO:01000313
GOLDTERMS:4407	mixs:mixs_extension	mixs:BuiltEnvironment
GOLDTERMS:4407	rdfs:label	Engineered > Built environment > Water treatment plant
GOLDTERMS:4433	mixs:host_taxon	NCBITaxon:13804
GOLDTERMS:4433	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:4433	rdfs:label	Host-associated > Plants > Peat moss
GOLDTERMS:4450	mixs:anatomical_site	PO:0003023
GOLDTERMS:4450	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:4450	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:4450	rdfs:label	Host-associated > Plants > Nodule
GOLDTERMS:4460	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:4460	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:4460	rdfs:label	Host-associated > Plants > Phyllosphere
GOLDTERMS:4466	mixs:anatomical_site	PO:0009005
GOLDTERMS:4466	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:4466	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:4466	rdfs:label	Host-associated > Plants > Roots
GOLDTERMS:4523	mixs:anatomical_site	PO:0003023
GOLDTERMS:4523	mixs:env_medium	ENVO:01000164
GOLDTERMS:4523	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:4523	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:4523	rdfs:label	Host-associated > Plants > Roots > Nodule
GOLDTERMS:4525	mixs:anatomical_site	PO:0009047
GOLDTERMS:4525	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:4525	mixs:mixs_extension	mixs:PlantAssociated
GOLDTERMS:4525	rdfs:label	Host-associated > Plants > Phyllosphere > Caulosphere
GOLDTERMS:4538	mixs:anatomical_site	PO:0009046
GOLDTERMS:4538	mixs:host_taxon	NCBITaxon:3193
GOLDTERMS:4538	mixs:mixs_extension	mixs:PlantAssociated
