curie	label	envo_native	obsolete	legacy_pv	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	nmdc_ebs_count	gold_ebs_count	ncbi_ebs_count
ENVO:01000052	marine white smoker biome	True	False	False	True	True	True	False	True	False			
ENVO:00000111	forested area	True	False	False	True	False	False	False	False	False			23.0
ENVO:00000020	lake	True	False	False	True	False	False	False	False	False			244.0
UBERON:0001988	feces	False	False	False	False	False	False	False	False	False			3.0
ENVO:01001830	tropical biome	True	False	False	True	True	True	False	False	False			
ENVO:01000026	marine bathyal zone biome	True	False	False	True	True	True	False	True	False			65.0
ENVO:01000030	marine hydrothermal vent biome	True	False	False	True	True	True	False	True	False			41.0
PATO:0001456	anaerobic	False	False	False	False	False	False	False	False	False			236.0
ENVO:01000198	mixed forest biome	True	False	False	True	True	True	True	False	False			
ENVO:01001369	tidal mangrove shrubland	True	False	False	True	True	True	True	False	False			
ENVO:01000185	montane desert biome	True	False	False	True	True	True	False	False	False			12.0
ENVO:00000910		False	False	False	False	False	False	False	False	False			1.0
ENVO:00000899		False	False	False	False	False	False	False	False	False			1.0
ENVO:01000123	marine sponge reef biome	True	False	False	True	True	True	False	True	False			
ENVO:00000038	lagoon	True	False	False	False	False	False	False	False	False			74.0
ENVO:01000263	cold seep	True	False	False	True	False	False	False	False	False			265.0
ENVO:01000020	estuarine biome	True	False	False	True	True	True	False	True	False			1325.0
ENVO:00000192	mudflat	True	False	False	False	True	False	False	False	False			5.0
ENVO:01000184	subtropical desert biome	True	False	False	True	True	True	False	False	False			
ENVO:00002196	aquarium	True	False	False	False	False	False	False	False	False			13.0
ENVO:01000223	montane savanna biome	True	False	False	True	True	True	True	False	False			
ENVO:01000297	freshwater river	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000406	mid-ocean ridge	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000890	small river biome	True	False	False	True	True	True	False	True	False			1819.0
ENVO:00000081	mountain	True	False	False	True	False	False	False	False	False			46.0
ENVO:00002129	anaerobic sludge	True	False	False	False	False	False	False	False	True			6.0
ENVO:00000916		False	False	False	False	False	False	False	False	False			1.0
ENVO:01000739	habitat	True	False	False	True	True	False	False	False	False			14.0
ENVO:01000195	flooded grassland biome	True	False	False	True	True	True	True	False	False			
ENVO:00000241	tidal mudflat	True	False	False	False	True	False	False	False	False			35.0
ENVO:00002116	contaminated soil	True	False	False	True	False	False	False	False	True			7.0
ENVO:01001641	glaciation	True	False	False	False	False	False	False	False	False			3.0
ENVO:03000034	shallow marine sediment	True	False	False	False	False	False	False	False	True			24.0
ENVO:00000150	coral reef	True	False	False	True	False	False	False	False	False			1.0
ENVO:01000202	temperate broadleaf forest biome	True	False	False	True	True	True	True	False	False			
ENVO:00000132	ice sheet	True	False	False	False	False	False	False	False	False			58.0
ENVO:00000055	saline evaporation pond	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000141	bank	True	False	False	True	False	False	False	False	False			3.0
ENVO:01000028	marine hadal zone biome	True	False	False	True	True	True	False	True	False			5.0
ENVO:01000322	brackish water environment	True	False	False	False	True	False	False	False	False			2.0
ENVO:01000054	marine basaltic hydrothermal vent biome	True	False	False	True	True	True	False	True	False			
ENVO:00000892	small freshwater lake biome	True	False	False	True	True	True	False	True	False			1.0
ENVO:00000888	large river headwater biome	True	False	False	True	True	True	False	True	False			
ENVO:01000245	cropland biome	True	False	False	True	True	True	True	False	False			6.0
ENVO:00000104	undersea feature	True	False	False	True	False	False	False	False	False			153.0
ENVO:00000893	xeric basin biome	True	False	False	True	True	True	False	True	False			1.0
ENVO:01001837	subalpine biome	True	False	False	True	True	True	False	False	False			
ENVO:01000200	tropical broadleaf forest biome	True	False	False	True	True	True	True	False	False			
ENVO:01000190	flooded savanna biome	True	False	False	True	True	True	True	False	False			
ENVO:01000175	woodland biome	True	False	False	True	True	True	True	False	False			
ENVO:00000900		False	False	False	False	False	False	False	False	False			1.0
ENVO:00000917		False	False	False	False	False	False	False	False	False			1.0
ENVO:01000037	oceanic bathypelagic zone biome	True	False	False	True	True	True	False	True	False			1.0
ENVO:00000223	continental shelf	True	False	False	True	False	False	False	False	False			2.0
ENVO:00000023	stream	True	False	False	True	False	False	False	False	False			722.0
ENVO:01000860	temperate marine upwelling biome	True	False	False	True	True	True	False	True	False			
ENVO:00000051	hot spring	True	False	False	True	False	False	False	False	False			248.0
ENVO:00005750	grassland soil	True	False	False	True	False	False	False	False	True			4.0
ENVO:01001832	subtropical biome	True	False	False	True	True	True	False	False	False			
ENVO:01001020	hypersaline lake	True	False	False	True	False	False	False	False	False			13.0
ENVO:01000023	marine pelagic biome	True	False	False	True	True	True	False	True	False			1.0
ENVO:01000214	tropical shrubland biome	True	False	False	True	True	True	True	False	False			24.0
ENVO:01000210	tropical coniferous forest biome	True	False	False	True	True	True	True	False	False			
ENVO:01000246	village biome	True	False	False	True	True	True	False	False	False			
CHEBI:15379	dioxygen	False	False	False	False	False	False	False	False	False			7.0
ENVO:00000898	obsolete tropical coral biome	True	True	False	False	False	False	False	False	False			1.0
ENVO:01001854	hydrothermal field	True	False	False	True	False	False	False	False	False			4.0
ENVO:00000905		False	False	False	False	False	False	False	False	False			1.0
ENVO:00010483	environmental material	True	False	False	False	False	False	False	False	True			21.0
ENVO:01000197	broadleaf forest biome	True	False	False	True	True	True	True	False	False			
ENVO:00005795	marine mud	True	False	False	True	False	False	False	False	True			3.0
ENVO:01001831	temperate biome	True	False	False	True	True	True	False	False	False			
ENVO:00000913		False	False	False	False	False	False	False	False	False			1.0
ENVO:00000156	desert oasis	True	False	False	True	False	False	False	False	False			225.0
ENVO:00000894	obsolete polar biome	True	True	False	False	False	False	False	False	False			1.0
ENVO:01000352	field	True	False	False	True	False	False	False	False	False			5.0
ENVO:01000189	temperate savanna biome	True	False	False	True	True	True	True	False	False			
PATO:0045093	south	False	False	False	False	False	False	False	False	False			8.0
ENVO:00002127	stream sediment	True	False	False	False	False	False	False	False	True			10.0
ENVO:01001468	intertidal ecosystem	True	False	False	True	True	False	False	False	False			1.0
ENVO:01000004	concentration basin mediterranean sea biome	True	False	False	True	True	True	False	True	False			
CHEBI:15377	water	False	False	False	False	False	False	False	False	False			113.0
ENVO:00002034	biofilm	True	False	False	False	False	False	False	False	False			6.0
ENVO:00001996	mine drainage	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000045	estuary	True	False	False	True	False	False	False	False	False			323.0
ENVO:01000211	temperate coniferous forest biome	True	False	False	True	True	True	True	False	False			
ENVO:00000057	mangrove swamp	True	False	False	False	True	False	False	False	False			27.0
ENVO:00002209	saline lake sediment	True	False	False	False	False	False	False	False	True			1.0
NCBITaxon:1117	Cyanobacteria	False	False	False	False	False	False	False	False	False			1.0
ENVO:03000082	thermokarst lake	True	False	False	True	False	False	False	False	False			7.0
ENVO:00000078	farm	True	False	False	False	True	False	False	False	False			31.0
ENVO:01000215	temperate shrubland biome	True	False	False	True	True	True	True	False	False			
ENVO:01000182	temperate desert biome	True	False	False	True	True	True	False	False	False			
ENVO:00002010	saline water	True	False	False	False	False	False	False	False	True			4.0
ENVO:00000426	ocean floor	True	False	False	True	False	False	False	False	False			24.0
ENVO:00000299	ice field	True	False	False	True	False	False	False	False	False			1.0
ENVO:01000247	rangeland biome	True	False	False	True	True	True	True	False	False			
ENVO:00000027	spring	True	False	False	True	False	False	False	False	False			1.0
ENVO:01000218	xeric shrubland biome	True	False	False	True	True	True	True	False	False			
ENVO:00000033	pond	True	False	False	True	False	False	False	False	False			12.0
ENVO:01000050	marine subtidal rocky reef biome	True	False	False	True	True	True	False	True	False			
ENVO:01000181	mangrove biome	True	False	False	True	True	True	True	False	False			1048.0
ENVO:00000213	marine mesopelagic zone	True	False	False	True	False	False	False	False	False			6.0
ENVO:00000912		False	False	False	False	False	False	False	False	False			1.0
NCBITaxon:2	Bacteria	False	False	False	False	False	False	False	False	False			81.0
ENVO:00000914		False	False	False	False	False	False	False	False	False			1.0
ENVO:01000320	marine environment	True	False	False	True	True	False	False	False	False			2.0
ENVO:00000367	IUCN national park	True	False	False	False	False	False	False	False	False			2.0
ENVO:01000031	obsolete marine feature	True	True	False	False	False	False	False	False	False			1.0
ENVO:00000063	water body	True	False	False	True	False	False	False	False	False			18.0
ENVO:01000249	urban biome	True	False	False	True	True	True	False	False	False			
ENVO:01000025	marine neritic benthic zone biome	True	False	False	True	True	True	False	True	False			23.0
ENVO:03605008	freshwater stream biome	True	False	False	True	True	True	False	True	False			
ENVO:00000019	saline lake	True	False	False	True	False	False	False	False	False			242.0
PATO:0001360	filamentous	False	False	False	False	False	False	False	False	False			7.0
ENVO:00000911		False	False	False	False	False	False	False	False	False			1.0
ENVO:01001798	tropical mixed forest biome	True	False	False	True	True	True	True	False	False			
ENVO:00000902		False	False	False	False	False	False	False	False	False			1.0
ENVO:01001505	alpine tundra biome	True	False	False	True	True	True	True	False	False			
ENVO:01000621	microcosm	True	False	False	False	False	False	False	False	False			62.0
ENVO:00000003	mine tailing	True	False	False	False	False	False	False	False	True			42.0
ENVO:01000016	silt	True	False	False	False	False	False	False	False	True			1.0
ENVO:01000817	biosphere	True	False	False	True	False	False	False	False	False			12.0
ENVO:01000032	neritic pelagic zone biome	True	False	False	True	True	True	False	True	False			1.0
ENVO:01000041	neritic sea surface microlayer biome	True	False	False	True	True	True	False	True	False			1.0
ENVO:01000280	ecozone	True	False	False	True	True	False	False	False	False			15.0
ENVO:04000007	lake water	True	False	False	True	False	False	False	False	True			1.0
ENVO:01001836	montane biome	True	False	False	True	True	True	False	False	False			
ENVO:00000918		False	False	False	False	False	False	False	False	False			1.0
ENVO:00002018	sewage	True	False	False	False	False	False	False	False	True			1.0
ENVO:01000173	anoxic water	True	False	False	False	False	False	False	False	True			2.0
ENVO:01000040	oceanic benthopelagic zone biome	True	False	False	True	True	True	False	True	False			1.0
ENVO:00002199	sandy beach	True	False	False	True	False	False	False	False	False			5.0
ENVO:00000172	sandy desert	True	False	False	True	False	False	False	False	False			3.0
ENVO:01000238	polar	True	False	False	False	False	False	False	False	False			21.0
ENVO:01000021	obsolete mangrove biome	True	True	False	False	False	False	False	False	False			1.0
PCO:1000004	microbial community	False	False	False	False	False	False	False	False	False			43.0
