FOODON:00001092	vertebrate animal food product
ENVO:01001812	subpolar grassland
ENVO:00002255	solonetz
UBERON:0001353	anal region
CHEBI:155908	copper tetrapyrrole
ENVO:01001392	mussel gill tissue material
ENVO:03501231	hospice
ENVO:01000972	take-out restaurant
ENVO:01001882	surface hoar
FOODON:00001151	citrus fruit food product
ENVO:01000316	alkaline environment
FOODON:00001218	bee food product
ENVO:01001793	subtropical broadleaf forest
ENVO:01000387	tropical deciduous broadleaf forest
ENVO:01000675	atmospheric column
FOODON:00001286	turkey meat food product
CHEBI:139291	chlorophyll(1-)
CHEBI:27798	nitrobenzene
ENVO:00000459	outlet glacier
UBERON:0019269	gray matter of diencephalon
ENVO:01000914	ice ablation zone
CHEBI:27573	silicon atom
NCBITaxon:58024	Spermatophyta
ENVO:00000489	palsa
NCBITaxon:70910	Acridomorpha
ENVO:01000980	channel of an intermittent stream
ENVO:01001371	alpine tundra ecosystem
ENVO:00000395	channel of a watercourse
FOODON:00001098	fermented apple beverage
NCBITaxon:162985	Hapalosiphon
UBERON:0003426	dermis adipose tissue
ENVO:03000051	ice-encased melt pond
ENVO:01001041	fungi-associated environment
ENVO:01000246	village biome
ENVO:04000008	soil organic matter
ENVO:03501247	humpback bridge
ENVO:03600000	cleanroom
CHEBI:25940	peroxides
UBERON:0003104	mesenchyme
ENVO:03501264	squeegee
NCBITaxon:58023	Tracheophyta
ENVO:01001528	friable-frozen soil
NCBITaxon:33511	Deuterostomia
FOODON:00001156	citrus fruit juice
ENVO:00002125	anaerobic dechlorinating bioreactor
CHEBI:16646	carbohydrate
ENVO:01000076	marine chemocline
ENVO:01000192	tropical grassland biome
FOODON:00001640	berry food product
ENVO:01001203	alluvial sediment
UBERON:0036925	wall of eyeball
ENVO:00003091	threonine enriched soil
ENVO:01000599	river water
FOODON:00002373	food product by meal type
UBERON:0009920	optic neural crest
UBERON:0006211	buccopharyngeal membrane
ENVO:01001019	hypereutrophic lake
FOODON:03311737	processed food product
ENVO:03500001	playground
ENVO:01000505	salt dome
ENVO:00000110	lava tunnel
ENVO:01001315	estuarine open water surface layer
CHEBI:33664	monocyclic hydrocarbon
ENVO:01000388	tropical semi-deciduous broadleaf forest
ENVO:00002261	forest soil
ENVO:03501303	natural-based polymer
ENVO:02000109	dust from plant parts
ENVO:03000063	new ice
UBERON:0006264	mouth-foregut junction
ENVO:00000021	freshwater lake
PO:0006001	phyllome
FOODON:00001023	mammalian milk butter
ENVO:01001139	methane ice
ENVO:00000134	permafrost
CHEBI:23237	chromium molecular entity
ENVO:00000470	irrigation dam
ENVO:00000471	flood control dam
ENVO:01001350	ice accumulation zone
UBERON:0003073	lens placode
FOODON:00001283	poultry food product
ENVO:00001995	rock
ENVO:03510024	lacquer
UBERON:1100000	digestive tract junction
ENVO:00001996	mine drainage
ENVO:01000424	patio
FOODON:03312053	pork (dehydrated)
ENVO:00005800	desert sand
ENVO:03501279	tenement
ENVO:01000854	tropical marine coral reef biome
ENVO:01001396	abyssal clay
UBERON:0004231	anal region smooth muscle
UBERON:0009618	trunk paraxial mesoderm
ENVO:01000391	tropical semi-evergreen moist broadleaf forest
CHEBI:25697	organic cation
ENVO:03501320	food production low-risk contamination area
ENVO:03000040	melt pond
CHEBI:17883	hydrogen chloride
ENVO:01000045	epeiric sea biome
ENVO:00002194	oil field production water
ENVO:03501226	greasy spoon
UBERON:0003236	epithelium of lower jaw
CHEBI:25213	metal cation
ENVO:03510023	shellac
CHEBI:33247	organic group
FOODON:00001222	sausage (raw)
UBERON:0034925	anatomical collection
CHEBI:50402	androstanoid
ENVO:01001379	mussel bed
ENVO:00005769	mountain forest soil
ENVO:01001418	cirrus fibratus cloud
FOODON:00002423	agave food product
ENVO:01000394	tropical freshwater swamp forest
ENVO:00000055	saline evaporation pond
ENVO:00002015	volcanic rock
ENVO:01000538	stratosphere
UBERON:0001708	jaw skeleton
FOODON:00001147	plant root food product
ENVO:01001120	animal manure product
ENVO:03501233	warehouse
ENVO:00003965	anaerobic digester sludge
UBERON:0012314	embryonic facial prominence
ENVO:00000347	grain of sea sand
ENVO:06105110	manufactured plastisphere
CHEBI:26288	propanediol
UBERON:0007823	appendage girdle region
FOODON:00001016	cabbage food product
ENVO:01001607	water current
ENVO:06105122	biopolymer
ENVO:01000976	pitfall trap
ENVO:00002262	clay soil
ENVO:01000666	area of open water
CHEBI:49936	uranium(0)
ENVO:01000798	plasma
UBERON:0005769	basement membrane of epithelium
CHEBI:33666	polycyclic hydrocarbon
ENVO:01000603	water truck
FOODON:00001077	salt pork meat food product
FOODON:00001289	potato salad food product
ENVO:01001653	well-mixed estuary
ENVO:00000887	large river biome
ENVO:01001469	observing system
UBERON:0036302	vasculature of central nervous system plus retina
CHEBI:38252	phorbines
ENVO:01001369	tidal mangrove shrubland
PO:0025385	cutin
ENVO:03520001	middle atmospheric level
PO:0000003	whole plant
ENVO:01001851	geothermally active field
