ENVO:00000155	cirque
ENVO:03600008	intensive care unit
ENVO:00000545	shingle beach
ENVO:00005794	water scum
ENVO:03501179	urology unit facility
UBERON:0005983	heart layer
ENVO:00000856	city
ENVO:00000313	blowout
FOODON:00002265	soybean seed (field) food product
ENVO:01001825	active anaerobic enrichment culturing unit
ENVO:03501150	gynaecology unit facility
ENVO:00000203	rift lake
ENVO:01000931	migration path
CHEBI:33321	rare earth metal atom
ENVO:04000007	lake water
ENVO:01000124	marine supra-littoral zone
CHEBI:18422	sulfur dioxide
ENVO:00000231	moor
ENVO:00002197	saline water aquarium
ENVO:01001454	polar mountain
ENVO:01000232	felsic lava
ENVO:00003045	bacon curing brine
ENVO:01000937	impromptu campground
ENVO:00000115	orchard
UBERON:0036654	wall of lateral ventricle
ENVO:00000045	estuary
CHEBI:25608	nucleoside phosphate
ENVO:01000607	animal-drawn cart
CHEBI:58954	straight-chain saturated fatty acid anion
ENVO:02000048	contaminated animal feed
ENVO:01000814	solid environmental material
UBERON:0014903	primordial vasculature
UBERON:0004537	blood vasculature
ENVO:01000591	bed frame
CHEBI:32178	Talc
CHEBI:33645	acyclic olefin
ENVO:01001796	temperate mixed forest
ENVO:00000121	artificial channel
FOODON:00001020	beer wort food product
ENVO:00002206	coal mine waste material
UBERON:0005498	primitive heart tube
OBI:0000047	processed material
ENVO:03501210	control panel
ENVO:01000831	droplet
ENVO:00000383	stream bed
ENVO:01000269	siltstone
ENVO:00002254	vertisol
FOODON:00002126	plant-based candy
ENVO:00000289	horst
ENVO:00000295	fish hatchery
ENVO:01000827	closed eaves
UBERON:0000484	simple cuboidal epithelium
ENVO:01001388	oceanic mussel bed
ENVO:00000474	cut
ENVO:01000367	anchialine cave
ENVO:01001512	congelation sea ice
ENVO:00000353	island arc
ENVO:00000098	island
ENVO:03000112	snow drift
ENVO:01000552	natural gas
ENVO:01001665	soil cryoturbate
ENVO:01001685	bubble
UBERON:8450002	excretory system
ENVO:01000938	hot tub
ENVO:00002213	anaerobic sludge blanket reactor
ENVO:01000187	subtropical savanna biome
ENVO:01000257	white smoker
ENVO:01000601	motor vehicle
CHEBI:64712	trivalent inorganic cation
ENVO:01000368	anchialine pool
ENVO:01000592	bed base
NCBITaxon:54304	Planktothrix
ENVO:00002018	sewage
ENVO:03600096	step pool
CHEBI:36347	nuclear particle
ENVO:01001460	mid-elevation mountain
ENVO:03600062	fountain
UBERON:0002532	epiblast (generic)
FOODON:00001103	fermented agave beverage
ENVO:01000595	cupboard
ENVO:01000320	marine environment
ENVO:01000712	riverine flood
ENVO:00000453	liman
ENVO:01000395	temperate sclerophyllous dry forest
UBERON:0011823	dense connective tissue
UBERON:0005629	vascular plexus
ENVO:03600052	water tap
FOODON:00001024	pickled cabbage food product
ENVO:03501186	family practice clinic
ENVO:00000540	brackish lake
ENVO:01001001	plant-associated environment
UBERON:0000383	musculature of body
ENVO:00000061	underground water body
CHEBI:33265	triatomic oxygen
ENVO:01001309	liquid air-water interface layer
ENVO:01001192	sediment surface
ENVO:01000469	exterior wall
ENVO:00000315	bajada
FOODON:00002791	vetch seed (whole)
ENVO:01001035	environment determined by a biofilm on a fungal surface
ENVO:01001326	estuarine tidal riverine open water surface layer
ENVO:01000260	nutricline within a water body
ENVO:00000079	flume
ENVO:01000083	pelagic isopycnal surface
UBERON:0007794	secretion of serous gland
ENVO:01000101	warm surface current
ENVO:02000047	animal feed
ENVO:03501113	public ferry
CHEBI:50816	iron oxide
CHEBI:49637	hydrogen atom
UBERON:0001630	muscle organ
ENVO:01000322	brackish water environment
NCBITaxon:1198	Phormidium
ENVO:03501151	haematology unit facility
ENVO:01000294	crevice
ENVO:01000846	water ice crystal
NCBITaxon:2785011	Autobranchia
FOODON:03400861	prepared food product (eurofir)
CHEBI:32876	tertiary amine
ENVO:01000382	cold desert
ENVO:00012408	aquifer
NCBITaxon:1892252	Microcoleaceae
NCBITaxon:7705	Holothuroidea
ENVO:01000845	crystal
ENVO:01000383	temperate evergreen needleleaf forest
ENVO:01000844	fog
CHEBI:61292	guanyl nucleotide
ENVO:02000058	cloth
CHEBI:33240	coordination entity
ENVO:01000495	stone exterior wall
ENVO:03501112	public bus
CHEBI:51585	metallophthalocyanine
ENVO:01000132	thermophilic sediment
ENVO:03600086	water filter
ENVO:00000212	marine abyssalpelagic zone
ENVO:00000326	sea cave
FOODON:00001019	wort food product
ENVO:01000544	boundary layer
FOODON:00001243	animal lipid food product
FOODON:00002153	plant seed vegetable food product
UBERON:0011138	postcranial axial skeletal system
ENVO:01000979	channel of an intermittent river
ENVO:04000012	particulate organic matter
ENVO:01001162	IUCN strict nature reserve
ENVO:00000160	sisal plantation
ENVO:01000701	volcanic ash
ENVO:01000030	marine hydrothermal vent biome
CHEBI:16482	naphthalene
ENVO:00000344	grain of desert sand
CHEBI:28938	ammonium
ENVO:00002012	hypersaline water
ENVO:00002146	xylene contaminated soil
ENVO:00002158	ditch water
ENVO:00002184	subsurface landform
CHEBI:26677	silicon molecular entity
CHEBI:80770	Brevetoxin B
ENVO:01001624	glacial bed
PO:0025433	root anlagen
CHEBI:64709	organic acid
FOODON:00001106	camelid dairy food product
FOODON:03401061	50190000 - prepared/preserved foods (gs1 gpc)
CHEBI:29228	hydrogen fluoride
CHEBI:33340	zinc group element atom
FOODON:00001185	rice food product
NCBITaxon:695564	Erebidae
UBERON:0000162	cloaca
ENVO:01000138	plant matter fall
ENVO:02000144	natural gas processing plant
ENVO:01000177	grassland biome
ENVO:01000061	marine wind mixed layer
NCBITaxon:71240	eudicotyledons
CHEBI:32234	titanium dioxide
ENVO:01000710	flood
ENVO:03510015	xanthan gum
UBERON:0000177	pus
ENVO:03501217	tissue paper
ENVO:00000273	continental slope
ENVO:03510012	paper dye
ENVO:03501146	gastroenterology unit facility
UBERON:0002297	cerumen
UBERON:0007524	dense mesenchyme tissue
ENVO:03501289	wrench
UBERON:0013754	integumentary system layer
UBERON:0011222	intra-ocular muscle
CHEBI:24835	inorganic molecular entity
ENVO:01000330	cypress strand swamp
ENVO:06105106	plastisphere
ENVO:01001713	upper front
ENVO:01000588	sofa
FOODON:03460231	chocolate or cocoa
CHEBI:75896	iron sulfides
ENVO:00000507	wadi mouth
ENVO:01000799	astronomical body
ENVO:03600009	interstitial water
ENVO:00002050	achondrite
UBERON:0000910	chyme
ENVO:01000106	permanent marine thermocline
CHEBI:33241	oxoacid derivative
ENVO:03501228	trattoria
ENVO:01000043	neritic mesopelagic zone biome
ENVO:00010483	environmental material
ENVO:03510031	oil-based paint
ENVO:01001242	canopy
ENVO:00000335	polygonal karst
PCO:1000004	microbial community
ENVO:01000637	outer space
ENVO:06105117	abandoned fishing gear
UBERON:0008114	joint of girdle
CHEBI:36909	krypton molecular entity
ENVO:00000443	flood control reservoir
ENVO:02000020	blood material
ENVO:01000176	shrubland biome
ENVO:01000448	mixed grassland
UBERON:0001605	ciliary muscle
UBERON:0000077	mixed endoderm/mesoderm-derived structure
ENVO:01001419	cumulonimbus cloud
ENVO:01000180	tundra biome
UBERON:0011216	organ system subdivision
ENVO:1000749	microcontinental island
ENVO:01001888	calcic spring
ENVO:01000441	andesite
ENVO:01000167	determinate root nodule
ENVO:01001672	frontal surface of a weather front
CHEBI:28838	lutein
ENVO:03600094	stream pool
ENVO:00000060	underground stream
ENVO:01001896	radioactive spring
ENVO:01000809	minor planet
FOODON:00001102	fermented grain beverage
ENVO:01000585	desk
ENVO:00000069	distributary
CHEBI:33285	heteroorganic entity
CHEBI:22331	alkylamines
FOODON:03301073	sugar (granulated)
ENVO:00000519	agricultural terrace
CHEBI:33702	polyatomic cation
ENVO:01001006	rainbow
ENVO:00002055	sandstone
ENVO:03501185	dental clinic
ENVO:01000502	unburnt brick
CHEBI:28659	phosphorus atom
ENVO:00000311	kettle
ENVO:01001876	graupel
CHEBI:51689	enone
ENVO:01000125	marine littoral zone
ENVO:00000007	third-order administrative region
CHEBI:167559	glycan
ENVO:01000035	oceanic epipelagic zone biome
ENVO:00000287	butte
FOODON:00001244	coffee beverage
UBERON:0004226	gastrointestinal system smooth muscle
UBERON:0011825	loose connective tissue
ENVO:01001697	atmospheric isobaric surface
ENVO:01001893	salt spring
ENVO:00000251	ground moraine
FOODON:03400644	a.  primary food commodities of plant origin (ccpr)
CHEBI:155903	copper(II) phthalocyanine
FOODON:00002262	soybean condiment
FOODON:00001104	sea water fish egg food product
ENVO:00000541	brackish pond
ENVO:01000408	environmental zone
ENVO:01000147	marine coral reef fore reef
ENVO:00000527	interfluve
ENVO:03000145	snow-covered land
NCBITaxon:365482	Salicornia pacifica
ENVO:01000286	dimictic lake
CHEBI:47882	cyclic polypyrrole
ENVO:01001819	cell culturing unit
ENVO:00002000	slope
ENVO:01001258	vog
ENVO:01000337	herb and fern layer
ENVO:2100003	skin environment
ENVO:01000641	planetary core
ENVO:00000201	fjord lake
ENVO:01001360	Paramo
ENVO:03600039	fermentation pit
CHEBI:26395	purine nucleotide
ENVO:01001715	cold occluded front
ENVO:00002192	poultry litter
FOODON:03430109	food (liquid, low viscosity)
ENVO:03501348	veterinary facility
ENVO:00003862	dairy
UBERON:0000486	multilaminar epithelium
ENVO:00002223	oligotrophic water
FOODON:00001198	broad bean (whole, dried)
UBERON:3000972	head external integument structure
ENVO:01001610	active layer in a cryosphere
CHEBI:33744	iron group molecular entity
ENVO:01001238	residual kerogen
UBERON:0005744	bone foramen
CHEBI:15734	primary alcohol
ENVO:00000893	xeric basin biome
ENVO:01000722	meltwater
ENVO:01001695	isopycnal surface
CHEBI:28793	beta-D-glucan
PO:0000225	peripheral zone
UBERON:0005944	axial skeleton plus cranial skeleton
UBERON:0001606	muscle of iris
ENVO:00000152	anabranch
CHEBI:27856	acetamide
ENVO:01000651	ocean strait
ENVO:01001801	subtropical dry broadleaf forest
ENVO:01000289	cold monomictic lake
CHEBI:33315	monoatomic helium
ENVO:00002132	metalimnion
ENVO:01001141	carbon monoxide ice
ENVO:01000891	area of pastureland or hayfields
UBERON:0009569	subdivision of trunk
ENVO:01001494	moonmoon
ENVO:00000382	lake shore
ENVO:00000518	ditch mouth
ENVO:01000049	marine coral reef biome
ENVO:00000286	polder
UBERON:0001710	lower jaw region
UBERON:0003102	surface structure
ENVO:00000892	small freshwater lake biome
ENVO:03501111	public transit system
CHEBI:22323	alkyl group
CHEBI:27888	chlorophyll b
FOODON:00001251	avian food product
ENVO:01000208	mediterranean woodland biome
UBERON:0002193	hemolymphoid system
ENVO:03500019	lead solder
UBERON:0012475	skeleton of pectoral complex
ENVO:00000016	sea
UBERON:0003061	blood island
ENVO:01001677	fluid interface layer
FOODON:00001031	gorgonzola cheese food product
ENVO:00000192	mudflat
ENVO:01000810	planetary atmosphere
ENVO:03501351	ground transport
ENVO:01000918	open animal house
ENVO:01001020	hypersaline lake
ENVO:01000333	hillside
ENVO:01000362	inflationary cave
ENVO:00002141	leachate
ENVO:02000123	paint
UBERON:0003947	brain ventricle/choroid plexus
ENVO:01000135	nitrate-reducing sediment
CHEBI:16189	sulfate
ENVO:00000520	landslide
ENVO:00000195	sinkhole
CHEBI:33861	transition element coordination entity
UBERON:0019264	gray matter of forebrain
ENVO:01001267	stormwater
FOODON:00001714	food product component
ENVO:00002014	plutonic rock
CHEBI:33583	noble gas molecular entity
ENVO:00000270	beaver pond
NCBITaxon:197563	Mandibulata
ENVO:01001007	solar rainbow
ENVO:01000249	urban biome
ENVO:01001652	atmospheric aerosol
UBERON:0036303	vasculature of central nervous system
ENVO:02000042	interstitial fluid material
ENVO:00002171	hay compost
CHEBI:33663	cyclic hydrocarbon
ENVO:01000789	flame
ENVO:00002057	raw primary sludge
CHEBI:63367	monosaccharide derivative
CHEBI:29438	methanide
ENVO:01000402	tropical mixed broadleaf forest
ENVO:01000172	indeterminate root nodule senescent zone
ENVO:00005750	grassland soil
ENVO:01000153	sulphate-reducing sediment
ENVO:01001682	air mass
CHEBI:58953	saturated fatty acid anion
ENVO:01001395	necromass
ENVO:03501322	food production high-risk contamination area
ENVO:01000218	xeric shrubland biome
ENVO:01001809	subtropical grassland
CHEBI:36892	elemental fluorine
ENVO:01001280	driveway
CHEBI:59999	chemical substance
ENVO:01000161	marine sponge reef
FOODON:00001017	commercial yogurt
CHEBI:22927	bromine atom
ENVO:00003030	silage
FOODON:00001162	grape extract
ENVO:01001889	lithia spring
ENVO:03600032	embankment dam
FOODON:00002196	refined or partially-refined food product
ENVO:00002267	industrial waste material
ENVO:00000200	periglacial lake
ENVO:03600018	organic horizon
FOODON:00002131	plant based refined or partially-refined food product
ENVO:00002131	epilimnion
UBERON:0003056	pre-chordal neural plate
ENVO:03000065	ice floe
ENVO:00000327	speleothem
ENVO:03000144	planetary cryosphere
ENVO:01001716	warm occluded front
CHEBI:23016	carbonates
ENVO:06105274	sandy loam
ENVO:00005754	fertilized soil
ENVO:01000229	mediterranean savanna biome
FOODON:00002044	mollusc food product
ENVO:00010442	midden
CHEBI:33250	atom
ENVO:01000784	illegal informal settlement
ENVO:00000505	underground irrigation canal
CHEBI:33581	boron group molecular entity
NCBITaxon:13100	Juniperus
ENVO:01000820	pedosphere
ENVO:01000519	latrine
ENVO:00000300	scrubland area
ENVO:01000360	solutional cave
ENVO:02000028	ear wax material
UBERON:0010371	ecto-epithelium
ENVO:00000403	shield volcano
ENVO:03510008	diesel exhaust
UBERON:0004297	respiratory system blood vessel smooth muscle
UBERON:0015410	heart plus pericardium
NCBITaxon:2116530	Salicornia subgen. Amerocornia
NCBITaxon:314295	Hominoidea
CHEBI:51084	inorganic nitrate salt
ENVO:01000970	delicatessen
ENVO:02000099	coal dust
ENVO:02000098	platinum ore
FOODON:00001140	fruit juice food product
CHEBI:37164	homopolysaccharide
UBERON:0001913	milk
CHEBI:46890	silicon hydroxide
NCBITaxon:117571	Euteleostomi
ENVO:00002984	petroleum
ENVO:01000556	biogas
NCBITaxon:1437180	Acrogymnospermae
ENVO:00000461	pseudocrater
ENVO:02000151	natural nuclear fission reactor
ENVO:01000067	marine current
ENVO:01001743	plume
UBERON:0005985	coronary vessel
ENVO:01001073	lake with an anoxic hypolimnion
CHEBI:35156	calcium salt
ENVO:01001686	mass of environmental material
UBERON:0003585	dermis connective tissue
ENVO:03501164	occupational therapy unit facility
ENVO:01000182	temperate desert biome
CHEBI:35552	heterocyclic organic fundamental parent
ENVO:00000207	oceanic zone
ENVO:00002130	hypolimnion
UBERON:0010708	pectoral complex
ENVO:01000621	microcosm
ENVO:01000829	water vapour saturated air
OBI:0000967	container
CHEBI:18140	hydrogen halide
ENVO:00000179	mesa
UBERON:0000014	zone of skin
UBERON:0002391	lymph
ENVO:01000991	bathtub fixture
ENVO:00000081	mountain
CHEBI:33680	elemental helium
ENVO:00003085	skatole enriched soil
ENVO:01001277	asphalt road
ENVO:00003861	industrial building
ENVO:00002238	durisol
UBERON:0005911	endo-epithelium
ENVO:01000626	drylot
ENVO:04000014	particulate organic nitrogen
ENVO:00005777	steppe soil
ENVO:00002006	liquid water
FOODON:00001173	plant seed food product
ENVO:03501360	equipment leg
ENVO:01001329	estuarine tidal riverine open water lower water column
ENVO:03501287	livestock house
ENVO:01001328	estuarine tidal riverine open water pycnocline
ENVO:03501333	child care environment
ENVO:01001233	labile kerogen
UBERON:0004905	articulation
UBERON:0010740	bone of appendage girdle complex
ENVO:00000553	multipurpose dam
ENVO:01000612	taxicab
CHEBI:30218	helium-3 atom
ENVO:00000262	steppe
ENVO:01000168	indeterminate root nodule
ENVO:00005796	marine sludge
UBERON:0006558	lymphatic part of lymphoid system
UBERON:0019042	reproductive system mucosa
CHEBI:50796	nanotube
ENVO:00000204	ephemeral spring
CHEBI:33309	noble gas atom
CHEBI:33822	organic hydroxy compound
CHEBI:136861	pyrrolopurine
ENVO:01000643	inner planetary core
CHEBI:23045	carotenol
ENVO:03600014	pipeline network
FOODON:03460177	plant seed or nut food product
UBERON:0004921	subdivision of digestive tract
FOODON:00001296	sheep milk cheese (unpasteurized)
ENVO:01001846	depth hoar
UBERON:0011363	cranial lymph vasculature
ENVO:01000335	understory
ENVO:02000110	open-pit mine
CHEBI:26393	purine nucleoside triphosphate
ENVO:01000412	circalittoral zone
UBERON:0006612	shell
ENVO:01001122	gas planet
UBERON:0001444	subdivision of head
CHEBI:30440	thallium
ENVO:01000086	coastal buoyancy current front
ENVO:01000711	coastal flood
ENVO:01001100	convergent plate boundary
UBERON:0004536	lymph vasculature
ENVO:01000087	tidal mixing front
ENVO:01000228	tropical moist broadleaf forest biome
ENVO:01000856	temperate marginal sea biome
UBERON:0009881	anterior lateral plate mesoderm
UBERON:0005358	ventricle of nervous system
ENVO:02000053	hide
CHEBI:46666	crocidolite asbestos
ENVO:01001098	tectonic plate boundary
FOODON:00001192	quinoa food product
ENVO:03600034	cay
ENVO:00000031	wadi
ENVO:01001891	alum spring
FOODON:00001036	pont ieveque cheese food product
ENVO:00000532	intermittent saline evaporation pond
ENVO:01000737	sill
CHEBI:24533	heterodetic cyclic peptide
ENVO:03501175	psychiatric unit facility
CHEBI:33245	organic fundamental parent
FOODON:00001209	pulse food product
ENVO:01001481	public prison
CHEBI:27594	carbon atom
UBERON:0009480	endoderm of buccopharyngeal membrane
ENVO:00000339	piece of rock
ENVO:01001064	hypoxic water
CHEBI:25384	monocarboxylic acid
CHEBI:33461	phosphorus oxoanion
ENVO:01001300	area of low atmospheric pressure
CHEBI:24828	indoles
CHEBI:33336	lanthanum atom
UBERON:0003852	rhombencephalon neural crest
CHEBI:36342	subatomic particle
CHEBI:50795	nanostructure
ENVO:01000108	marine cold-water sphere
ENVO:01001029	fecal environment
ENVO:01000178	savanna biome
CHEBI:58941	cyclic tetrapyrrole anion
ENVO:01001076	oxic lake
UBERON:0000465	material anatomical entity
ENVO:01000442	dacite
UBERON:0006598	presumptive structure
NCBITaxon:190523	Laguncularia
ENVO:02000135	fast neutron reactor
ENVO:00000269	land-tied island
CHEBI:50335	organic nitrogen anion
CHEBI:23014	carbon oxide
CHEBI:35186	terpene
ENVO:00002258	loam
CHEBI:36871	inorganic radical
FOODON:00001150	cucurbit fruit food product
UBERON:0002481	bone tissue
UBERON:0018674	heart vasculature
ENVO:00000465	natural harbor
ENVO:01000482	soda-lime glass
ENVO:03501133	homeless shelter
ENVO:01000462	masonry cement
FOODON:00001255	nonfermented plant derived beverage product
ENVO:00002150	coastal sea water
UBERON:0012481	cloacal epithelium
FOODON:00001139	coffee based beverage product
ENVO:01001478	gaseous astronomical body part
ENVO:01001046	planetary subsurface environment
UBERON:0004734	gastrula
ENVO:00002225	mesotrophic water
ENVO:01000165	trophosome
ENVO:00003032	fresh animal manure
ENVO:03000013	cirque glacier
UBERON:0004770	articular system
FOODON:00001193	fonio food product
ENVO:03501131	university building
ENVO:00000178	levee
CHEBI:50860	organic molecular entity
ENVO:03510037	radioactive material
ENVO:00002272	waste treatment plant
ENVO:00000533	landfill
ENVO:00000082	hill range
ENVO:03000071	first year ice
ENVO:2100004	integumental system environment
ENVO:00000283	ridge
ENVO:01001038	moderately saline water
NCBITaxon:12965	Bathymodiolus
ENVO:01000954	alpine tree line ecotone
ENVO:01000336	shrub layer
ENVO:01000052	marine white smoker biome
CHEBI:36244	dicarboxylic acid monoester
ENVO:01001784	compound astronomical body part
ENVO:01001181	rhizoplane
ENVO:01000151	manganese-reducing sediment
ENVO:01000301	estuarine water
ENVO:00000888	large river headwater biome
ENVO:01000266	water vapour
CHEBI:143907	manganese hydroxide
ENVO:03501258	chicken house
ENVO:00002116	contaminated soil
UBERON:0000047	simple eye
ENVO:01000253	freshwater river biome
ENVO:03501278	skyscraper
UBERON:0000153	anterior region of body
ENVO:03000069	young ice
ENVO:00000407	subglacial volcano
ENVO:01000516	toilet fixture
ENVO:00002013	igneous rock
UBERON:0006596	presumptive blood
PO:0025387	plant cuticle proper
ENVO:06105102	megaplastic particle
FOODON:03400777	eurofir food classification
ENVO:00000154	flood meadow ecosystem
UBERON:0004755	skeletal tissue
ENVO:01000122	marine hydrothermal vent
ENVO:00002193	pulp-bleaching waste water
ENVO:06105008	plastic fragment
ENVO:01000420	building part
FOODON:00001220	sausage (smoked)
ENVO:02000055	plant feed
FOODON:00001048	meshanger cheese food product
PCO:0000002	ecological community
UBERON:0002100	trunk
CHEBI:33238	monoatomic entity
ENVO:02000038	pus material
ENVO:01000661	tuff
UBERON:0000456	secretion of exocrine gland
ENVO:00000369	brine pool
FOODON:03400842	non alcoholic beverage (eurofir)
CHEBI:51721	alpha,beta-unsaturated ketone
ENVO:02000031	breast milk material
CHEBI:35776	arsenic oxoanion
PO:0009007	portion of plant tissue
ENVO:03501206	shopping center
FOODON:00001081	Bondon cheese food product
ENVO:03501139	breast screening unit facility
ENVO:01001421	cirrus uncinus cloud
ENVO:01001629	polymetallic nodule ecosystem
ENVO:00000146	snow field
UBERON:0015808	eye epithelium
ENVO:03500005	anthropogenic litter
ENVO:01000983	technosphere
CHEBI:35403	chromium coordination entity
CHEBI:38251	magnesium tetrapyrrole
ENVO:03501161	nephrology unit facility
ENVO:00000514	crater
ENVO:01000008	microbial mat
ENVO:01001111	fossil worm burrow
ENVO:01000440	dacitic volcano
ENVO:01000941	planetary subsurface zone
ENVO:01000458	concrete
ENVO:01001560	colloidal suspension
ENVO:01000932	nursing home
ENVO:03600095	stream run
CHEBI:26020	phosphate
ENVO:00000056	fishpond
ENVO:01001199	terrestrial environmental zone
ENVO:01000850	clathrate material
ENVO:02000130	boiler slag
UBERON:0011676	subdivision of organism along main body axis
ENVO:01000551	paraffin oil
ENVO:02000097	gold ore
FOODON:00001169	cruciferous food product
ENVO:00000322	volcanic cave
ENVO:03501306	mylar
ENVO:06105112	synthetic plastic
ENVO:00003071	grass silage
FOODON:00002456	food (baked)
ENVO:00000010	transport feature
ENVO:01000496	straw exterior wall
ENVO:01001745	quasi-stationary front
NCBITaxon:1177	Nostoc
ENVO:02000127	coal ash
ENVO:03501123	airport terminal
ENVO:03500011	violent environment
NCBITaxon:50557	Insecta
FOODON:03316694	vegetable fat food product
UBERON:0000955	brain
ENVO:01000597	pressure lamp
ENVO:01001461	UNEP-WCMC class 1 mountain
ENVO:00000127	badland
CHEBI:33328	silicon oxoacid
ENVO:02000103	metallic dust
FOODON:00001295	pecorino cheese
UBERON:0006312	ocular refractive media
FOODON:00001675	cabbage juice food product
NCBITaxon:117558	Bathymodiolinae
UBERON:0004141	heart tube
ENVO:00003963	warehouse
UBERON:0010188	protuberance
NCBITaxon:6545	Pteriomorphia
ENVO:00002247	nitisol
FOODON:00002813	pea food product
UBERON:0005426	lens vesicle
ENVO:01001547	land ice mass
ENVO:01001536	sea ice mass
CHEBI:46664	chrysotile
ENVO:01001121	plant matter
ENVO:02000008	cell culture
CHEBI:46684	actinolite asbestos
ENVO:00000562	park
ENVO:01001348	material accumulation zone
NCBITaxon:8492	Archosauria
ENVO:01000447	roadside
FOODON:03315150	mammalian milk product
ENVO:02000141	refinery
FOODON:00001158	pomaceous fruit food product
ENVO:01001711	upper air
ENVO:01001305	vegetated area
ENVO:00000475	inlet
ENVO:03501153	surgical intensive care unit facility
CHEBI:37191	silicon oxoanion
ENVO:00000531	ice cap depression
ENVO:00002245	gypsisol
ENVO:03501366	screw conveyor
ENVO:01001810	mediterranean grassland
ENVO:01000066	marine anoxic zone
CHEBI:33267	elemental nitrogen
FOODON:00001280	chocolate food product
ENVO:01001645	gaseous part of an atmosphere
FOODON:00001045	ice cream food product
ENVO:02000126	wood ash
UBERON:0002424	oral epithelium
ENVO:01000659	igneous intrusion
UBERON:0004785	respiratory system mucosa
CHEBI:38263	2-amino-3-hydroxybutanoic acid
ENVO:03400001	area of alpine tundra
UBERON:0013701	main body axis
CHEBI:27283	very long-chain fatty acid
NCBITaxon:41191	Glossata
CHEBI:33749	platinum molecular entity
CHEBI:35366	fatty acid
FOODON:00002316	tomato juice food product
FOODON:00001260	beer beverage
ENVO:00000436	tunnel valley
NCBITaxon:6547	Mytilidae
CHEBI:36360	phosphorus oxoacids and derivatives
ENVO:03501254	water tank
CHEBI:29412	oxonium
NCBITaxon:197562	Pancrustacea
PO:0006036	root epidermis
FOODON:03315904	sausage (whole)
ENVO:02000096	iron ore
ENVO:01000111	cosmogenous sediment
UBERON:0004296	respiratory system lymphatic vessel smooth muscle
FOODON:00001063	millet beer food product
ENVO:00000247	volcano
ENVO:01000373	biological waste material
UBERON:0016879	future central nervous system
ENVO:01001847	hoarfrost
CHEBI:36344	hadron
ENVO:00002045	anaerobic sediment
ENVO:01000436	waterborne particulate matter
ENVO:01001679	fluid front
CHEBI:79387	trivalent inorganic anion
ENVO:01001828	anthropised ecosystem
CHEBI:51129	nitrohydrocarbon
ENVO:00000288	cotton plantation
UBERON:0006314	bodily fluid
ENVO:01000564	mantle lamp
ENVO:03501311	environmental monitoring area
ENVO:01000977	dry pitfall trap
CHEBI:29237	deuterium atom
ENVO:02000102	fibrous glass dust
UBERON:0001836	saliva
ENVO:03600003	drinking water pipeline network
ENVO:00000501	submerged bed
ENVO:00000029	watercourse
ENVO:01000356	granite
ENVO:01001263	area designated for human defecation
ENVO:00000222	oceanic island
CHEBI:36364	alkaline earth salt
ENVO:03000027	powdery snow
ENVO:03501246	footbridge
CHEBI:24866	salt
ENVO:01001072	anoxic lake
ENVO:01001776	subsurface zone of an astronomical body
ENVO:01000353	marine mesoscale eddy field
FOODON:00001136	distilled fermented beverage
ENVO:00000028	sand pit quarry
ENVO:03600043	meromictic pond
ENVO:01000940	fissure water
ENVO:01000744	human dwelling
UBERON:0001007	digestive system
FOODON:00001154	citrullus lanatus fruit food product
ENVO:03501276	oast house
ENVO:01001567	protected area
CHEBI:16908	NADH
ENVO:03501352	animal rescue shelter
ENVO:00000456	tidewater glacier
CHEBI:60160	polyester polymer
ENVO:03501120	dairy farm
CHEBI:33266	diatomic nitrogen
ENVO:01000484	container glass
ENVO:00000148	riffle
CHEBI:30496	sulfur hexafluoride
ENVO:01000559	compressed biogas
CHEBI:33319	lanthanoid atom
FOODON:00002115	pigeon pea vegetable food product
CHEBI:35404	chromate(2-)
FOODON:00001184	algal food product
CHEBI:27363	zinc atom
CHEBI:140503	kaolin
ENVO:01001462	UNEP-WCMC class 2 mountain
CHEBI:49995	elemental neon
CHEBI:28966	chlorophyll
ENVO:03510033	luminescent paint
ENVO:00000267	submarine canyon
ENVO:01003003	particle of clay
CHEBI:33670	heteromonocyclic compound
CHEBI:36980	pyridine nucleotide
ENVO:00000249	lateral moraine
ENVO:02000119	oil shale
ENVO:00000372	pyroclastic shield volcano
FOODON:03400680	015  pulses (vd) (ccpr)
FOODON:03400148	milk or milk product (us cfr)
ENVO:02000129	bottom ash
ENVO:01000016	silt
ENVO:01000023	marine pelagic biome
ENVO:01001413	stratus cloud
ENVO:01000318	extreme high temperature environment
ENVO:01001543	water ice surface layer
ENVO:03501364	packaging equipment
ENVO:00000291	drainage basin
ENVO:03510038	volume of cyanoacrylate
CHEBI:18367	phosphate(3-)
FOODON:00002071	orange food product
ENVO:01000285	holomictic lake
ENVO:01000123	marine sponge reef biome
ENVO:00005793	muddy water
ENVO:00005743	roadside soil
CHEBI:35875	imidazopyrimidine
ENVO:01000461	refined asphalt
ENVO:03501163	nutrition and dietetics unit facility
ENVO:01000057	marine algal bloom
ENVO:01000646	lithosphere
CHEBI:46926	dioxanes
ENVO:03501341	community health centre
ENVO:02000019	bodily fluid material
ENVO:03501149	geriatric intensive care unit facility
ENVO:01001129	super-Jupiter
ENVO:01000389	temperate mixed broadleaf forest
ENVO:01000736	phacolith
FOODON:00002752	bean (whole, dried)
CHEBI:36688	heterotricyclic compound
ENVO:01001707	warm front
ENVO:01000464	non-hydraulic cement
PO:0005679	epidermis
NCBITaxon:4734	commelinids
