type	description	base	uri	mappings	notes
>type	description	base	uri	mappings	notes
>				"internal_separator: ""|"""	"internal_separator: ""|"""
unit	a string representation of a unit	str	xsd:string	qud:Unit|UO:0000000	why isn't this picked up from the nmdc.yaml import?
decimal degree	a float representation of a degree of rotation	float	xsd:decimal		
language code	a string representation of a language	str	xsd:language		
