curie	label	envo_native	obsolete	legacy_pv	abp	env_sys	biome	terrestrial_biome	aquatic_biome	env_mat	nmdc_ebs_count	gold_ebs_count	ncbi_ebs_count
ENVO:01000025	marine neritic benthic zone biome	True	False	False	True	True	True	False	True	False			
ENVO:00000381	massif	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000262	steppe	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000265	guyot	True	False	False	True	False	False	False	False	False			1.0
ENVO:01000385	temperate deciduous broadleaf forest	True	False	False	True	True	False	False	False	False			22.0
ENVO:00003862	dairy	True	False	False	True	False	False	False	False	False			
ENVO:01000431	mixed forest	True	False	False	True	True	False	False	False	False			16.0
ENVO:01001405	laboratory environment	True	False	False	False	True	False	False	False	False			185.0
ENVO:00000207	oceanic zone	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000277	dry lake	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000194	scree	True	False	False	False	False	False	False	False	True			1.0
ENVO:00000887	large river biome	True	False	False	True	True	True	False	True	False			
ENVO:01000536	factory	True	False	False	True	False	False	False	False	False			30.0
ENVO:00000334	syngenetic karst	True	False	False	True	False	False	False	False	False			1.0
ENVO:01001455	temperate mountain	True	False	False	True	False	False	False	False	False			24.0
ENVO:00000138	cove	True	False	False	True	False	False	False	False	False			12.0
ENVO:01000127	marine cold seep biome	True	False	False	True	True	True	False	True	False			
ENVO:00000310	meteor impact crater	True	False	False	True	False	False	False	False	False			1.0
ENVO:01000047	mediterranean sea biome	True	False	False	True	True	True	False	True	False			
ENVO:00000272	confluence	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000352	continental arc	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000215	hydrothermal vent	True	False	False	True	False	False	False	False	False			1.0
ENVO:02000008	cell culture	True	False	False	False	False	False	False	False	True			18.0
ENVO:00000212	marine abyssalpelagic zone	True	False	False	True	False	False	False	False	False			1.0
ENVO:01001230	tropical marginal sea biome	True	False	False	True	True	True	False	True	False			
ENVO:01000180	tundra biome	True	False	False	True	True	True	True	False	False			341.0
ENVO:01001110	ecosystem	True	False	False	False	True	False	False	False	False			248.0
ENVO:00000363	area designated as a nature reserve	True	False	False	False	False	False	False	False	False			161.0
ENVO:01000447	roadside	True	False	False	True	False	False	False	False	False			10.0
ENVO:00000266	pasture	True	False	False	True	True	False	False	False	False			1.0
ENVO:01000311	cultivated environment	True	False	False	False	True	False	False	False	False			79.0
ENVO:01000026	marine bathyal zone biome	True	False	False	True	True	True	False	True	False			
ENVO:00000450	irrigation reservoir	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000201	fjord lake	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000271	chott	True	False	False	True	False	False	False	False	False			1.0
ENVO:01000023	marine pelagic biome	True	False	False	True	True	True	False	True	False			
ENVO:01000221	temperate woodland biome	True	False	False	True	True	True	True	False	False			334.0
ENVO:00000254	till plain	True	False	False	True	False	False	False	False	False			1.0
ENVO:01001305	vegetated area	True	False	False	True	False	False	False	False	False			166.0
ENVO:01000223	montane savanna biome	True	False	False	True	True	True	True	False	False			
ENVO:01000218	xeric shrubland biome	True	False	False	True	True	True	True	False	False			
ENVO:00000214	hadalpelagic zone	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000202	oxbow lake	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000346	grain of acid dune sand	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000279	saline pan	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000340	particle of sand	True	False	False	False	False	False	False	False	False			1.0
ENVO:00000255	flood plain	True	False	False	True	False	False	False	False	False			1.0
PO:0025034	leaf	False	False	False	False	False	False	False	False	False			74.0
ENVO:00002116	contaminated soil	True	False	False	True	False	False	False	False	True			24.0
ENVO:00000384	river bed	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000257	flood fringe	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000223	continental shelf	True	False	False	True	False	False	False	False	False			1.0
ENVO:06105013	marine biota	True	False	False	False	False	False	False	False	False			8.0
ENVO:00000218	black smoker	True	False	False	True	False	False	False	False	False			1.0
ENVO:01000029	marine reef biome	True	False	False	True	True	True	False	True	False			
ENVO:00000078	farm	True	False	False	False	True	False	False	False	False			2372.0
ENVO:01000184	subtropical desert biome	True	False	False	True	True	True	False	False	False			
ENVO:00000318	high tide zone	True	False	False	True	False	False	False	False	False			1.0
ENVO:00003864	bakery	True	False	False	True	False	False	False	False	False			
ENVO:00000261	savanna	True	False	False	True	False	False	False	False	False			10.0
ENVO:01001805	temperate forest	True	False	False	True	True	False	False	False	False			1351.0
ENVO:01000211	temperate coniferous forest biome	True	False	False	True	True	True	True	False	False			
CHEBI:24866	salt	False	False	False	False	False	False	False	False	False			16.0
ENVO:00000890	small river biome	True	False	False	True	True	True	False	True	False			
ENVO:00000437	Nye channel	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000856	city	True	False	False	True	True	False	False	False	False			135.0
ENVO:00000477	mount	True	False	False	True	False	False	False	False	False			77.0
NCBITaxon:1	root	False	False	False	False	False	False	False	False	False			321.0
ENVO:00000081	mountain	True	False	False	True	False	False	False	False	False			26.0
ENVO:00000241	tidal mudflat	True	False	False	False	True	False	False	False	False			1.0
ENVO:00000327	speleothem	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000382	lake shore	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000273	continental slope	True	False	False	True	False	False	False	False	False			1.0
ENVO:00000341	piece of gravel	True	False	False	False	False	False	False	False	False			1.0
PO:0009011	plant structure	False	False	False	False	False	False	False	False	False			8.0
ENVO:01000860	temperate marine upwelling biome	True	False	False	True	True	True	False	True	False			
ENVO:00000332	doline	True	False	False	True	False	False	False	False	False			1.0
ENVO:01001001	plant-associated environment	True	False	False	False	True	False	False	False	False			31.0
