	id	elev	geo_loc_name	geo_loc_name_normalized	latitude	latitude_decimal_len	longitude	longitude_decimal_len	normalized_address	formatted_address	lat	lon	distance_between_corners	ne_lat	ne_lon	sw_lat	sw_lon	lat_lon_diff
1591	nmdc:bsm-11-539y5r95	316.0	USA: Tennessee, Oak Ridge	usa tennessee oak ridge	35.965252	6	-84.286859	6	usa tennessee oak ridge	Oak Ridge, TN, USA	36.0103561	-84.26964490000002	32.92019974635632	36.064688	-84.1556119	35.874865	-84.43633400000002	5.249045029918188
1592	nmdc:bsm-11-53e81893		USA: Maryland	usa maryland	39.311813	6	-76.717476	6	usa maryland	Maryland, USA	39.0457549	-76.64127119999999	440.1959058415353	39.723037	-74.9862819	37.886605	-79.4876511	30.304735039191385
1593	nmdc:bsm-11-53g29f93	1707.9	USA: Hawaii, Puu Makaala Natural Area Reserve	usa hawaii puu makaala natural area reserve	19.553624	6	-155.319191	6	usa hawaii puu makaala natural area reserve	Pu’U Maka’ Ala Natural Area Reserve, Amaumau Rd, Mountain View, HI 96771, USA	19.5315493	-155.2589933						6.768815828440953
1594	nmdc:bsm-11-53prkh58	464.5	USA: Tennessee, Great Smoky Mountains National Park	usa tennessee great smoky mountains national park	35.684589	6	-83.532102	6	usa tennessee great smoky mountains national park	Great Smoky Mountains National Park, United States	35.6130503	-83.55315370000001						8.17900846935632
1595	nmdc:bsm-11-53swqm52		USA: AK, Fairbanks North Star	usa ak fairbanks north star	65.15401	5	-147.50258	5	usa ak fairbanks north star	Fairbanks North Star Borough, AK, USA	64.9526102	-146.4744155	261.9776835668317	65.4535231	-143.88408	64.2571759	-148.663265	53.16589251734763
1596	nmdc:bsm-11-543qkx13	325.8	USA: Kansas, KU Field Station	usa kansas ku field station	39.052642	6	-95.188064	6	usa kansas ku field station	Kansas, USA	39.011902	-98.4842465	730.3188454297903	40.003166	-94.588387	36.9930159	-102.0517688	284.72906697090684
1597	nmdc:bsm-11-548hbe31	567.8	USA: Washington, Wind River Experimental Forest	usa washington wind river experimental forest	45.822941	6	-121.998707	6	usa washington wind river experimental forest	Wind River Experimental Forest, Washington 98610, USA	45.8090043	-121.9823059						2.0042844010743366
1598	nmdc:bsm-11-54bqrr77	471.7	USA: Wisconsin, Steigerwaldt-Chequamegon	usa wisconsin steigerwaldt chequamegon	45.505661	6	-89.587394	6	usa wisconsin steigerwaldt chequamegon	Chequamegon Dr, Minocqua, WI 54548, USA	45.8937771	-89.8006914	0.8065178448145299	45.89547839999999	-89.7968313	45.8907197	-89.8046961	46.2263502720374
1599	nmdc:bsm-11-54bqrr77	471.7	USA: Wisconsin, Steigerwaldt-Chequamegon	usa wisconsin steigerwaldt chequamegon	45.505661	6	-89.587394	6	usa wisconsin steigerwaldt chequamegon	Chequamegon Dr, Emery, WI 54513, USA	45.6723188	-90.1156759	1.648900738203462	45.6739262	-90.1048578	45.671545	-90.1258043	45.09171687343161
1600	nmdc:bsm-11-54nygj75	598.4	USA: Washington, Wind River Experimental Forest	usa washington wind river experimental forest	45.850153	6	-121.989672	6	usa washington wind river experimental forest	Wind River Experimental Forest, Washington 98610, USA	45.8090043	-121.9823059						4.610983878807551
1601	nmdc:bsm-11-54rdaf84	62.0	USA: Oregon	usa oregon	44.588	3	-123.1926	4	usa oregon	Oregon, USA	43.8041334	-120.5542012	812.7250288646959	46.299099	-116.463262	41.9920819	-124.703541	227.6690142840673
1602	nmdc:bsm-11-54yd8g15		USA: California	usa california	34.4148	4	-119.8405	4	usa california	California, USA	36.778261	-119.4179324	1394.339785745222	42.009503	-114.131211	32.528832	-124.482003	265.56667325442396
1603	nmdc:bsm-11-5575zq53	308.6	USA: Texas, Lyndon B. Johnson National Grassland	usa texas lyndon b johnson national grassland	33.380971	6	-97.620209	6	usa texas lyndon b johnson national grassland	Lyndon B Johnson National Grassland, Texas 76225, USA	33.4167777	-97.6253071						4.009552360119535
1604	nmdc:bsm-11-558yxx14	3312.5	USA: Colorado, Niwot Ridge	usa colorado niwot ridge	40.043059	6	-105.581501	6	usa colorado niwot ridge	Niwot Ridge, Colorado 80466, USA	40.0597085	-105.6169466						3.5397316258727116
1605	nmdc:bsm-11-55fymn19		USA: Louisiana	usa louisiana	29.8571	4	-89.9778	4	usa louisiana	Louisiana, USA	30.5190775	-91.5208624	684.2697288215148	33.0196201	-88.758388	28.8551271	-94.043352	165.570191536573
1606	nmdc:bsm-11-55phes60	36.4	USA: Georgia, The Jones Center At Ichauway	usa georgia the jones center at ichauway	31.198433	6	-84.467178	6	usa georgia the jones center at ichauway	3988 Jones Center Dr, Newton, GA 39870, USA	31.2205201	-84.47922989999999						2.710259307066028
