normalized_address	formatted_address	lat	lon	distance_between_corners	ne_lat	ne_lon	sw_lat	sw_lon
usa alaska barrow environmental observatory	Utqiagvik, AK 99723, USA	71.29055559999999	-156.7886111	15.859459567363366	71.339755	-156.6393239	71.2303331	-156.9244488
usa alaska caribou poker creeks	Alaska, USA	63.588753	-154.4930619	3591.8039928703406	71.439786	-129.9741939	51.175092	172.347846
usa alaska caribou poker creeks research watershed	Alaska, USA	63.588753	-154.4930619	3591.8039928703406	71.439786	-129.9741939	51.175092	172.347846
usa alaska delta junction	Delta Junction, AK, USA	64.0400726	-145.7343509	11.07364435345993	64.0987619	-145.6280362	64.02508	-145.781209
usa alaska fairbanks	Fairbanks, AK, USA	64.8400511	-147.7199756	17.624660187862638	64.8782189	-147.5241601	64.77851	-147.8138451
usa alaska healy	Healy, AK, USA	63.8697384	-149.0215109	96.2775756850269	64.234208	-148.1798309	63.664205	-149.6640151
usa alaska toolik field station	68° 38' N, 149° 36' W, AK, USA	68.62722769999999	-149.5912475					
usa alaska toolik lake research	Toolik Lake, Alaska, USA	68.6317801	-149.6060113	2.666372513168232	68.64279239999999	-149.5879011	68.6248143	-149.6314553
usa alaska utqiaġvik	Utqiagvik, AK 99723, USA	71.29055559999999	-156.7886111	15.859459567363366	71.339755	-156.6393239	71.2303331	-156.9244488
usa albuquerque new mexico	Albuquerque, NM, USA	35.0843859	-106.650422	48.02203471036838	35.2180539	-106.4711629	34.9467659	-106.881796
usa alvord texas	Alvord, TX 76225, USA	33.3584454	-97.69475369999999	3.967585630087591	33.3668501	-97.682436	33.3410779	-97.711979
usa arizona	Arizona, USA	34.0489281	-111.0937311	824.0051895238184	37.0037251	-109.0451719	31.3323448	-114.8163229
usa arizona maricopa	Maricopa, AZ, USA	33.0581063	-112.0476423	16.243512620890836	33.087708	-111.9274209	32.99918710000001	-112.066049
usa arizona santa rita experimental range	Arizona, USA	34.0489281	-111.0937311	824.0051895238184	37.0037251	-109.0451719	31.3323448	-114.8163229
usa arizona santa rita experimental range neon	Arizona, USA	34.0489281	-111.0937311	824.0051895238184	37.0037251	-109.0451719	31.3323448	-114.8163229
usa athens georgia	Athens, GA, USA	33.9519347	-83.357567	34.739210701827865	34.040572	-83.24086	33.8479769	-83.537385
usa austin texas	Austin, TX, USA	30.267153	-97.7430608	58.241478637068624	30.5168629	-97.57310199999999	30.0986589	-97.9383829
usa avondale pennsylvania	Avondale, PA 19311, USA	39.823443	-75.783273	1.7450155141741046	39.8306731	-75.77526100000001	39.8188648	-75.78871989999999
usa az pima	Pima County, AZ, USA	32.057499	-111.6660725	297.9378990364026	32.514188	-110.447644	31.4260138	-113.334105
usa az pima	Pima, AZ 85543, USA	32.8961755	-109.8275815	7.181364048263069	32.918181	-109.812646	32.871262	-109.8655009
usa benson utah	Benson, UT, USA	41.7458581	-111.9283263	21.35729848871661	41.83958	-111.859858	41.6618888	-111.957597
usa benton city washington	Benton City, WA 99320, USA	46.2631897	-119.487802	6.2489611419803905	46.2867199	-119.453567	46.2436239	-119.5057411
usa blacksburg virginia	Blacksburg, VA, USA	37.2295733	-80.4139393	13.71723231013281	37.2769271	-80.3785218	37.183976	-80.4803879
usa blue river oregon	Blue River, McKenzie Bridge, OR 97413, USA	44.1734269	-122.19685	2.7953968367669675	44.1796285	-122.1818633	44.1688621	-122.2135375
usa boise idaho	Boise, ID, USA	43.6150186	-116.2023137	29.057956793933247	43.6898951	-116.1019091	43.511717	-116.3658869
usa burlington massachusetts	Burlington, MA, USA	42.5047161	-71.1956205	10.569122335114747	42.544473	-71.1686381	42.465796	-71.2409831
usa ca fresno	Fresno, CA, USA	36.7377981	-119.7871247	37.065181499150455	36.908905	-119.6546399	36.66216190000001	-119.934483
usa ca madera	Madera, CA, USA	36.9613356	-120.0607176	15.904396488715289	37.00736	-120.034061	36.9287689	-120.183635
usa california	California, USA	36.778261	-119.4179324	1394.3397857452221	42.009503	-114.131211	32.528832	-124.482003
usa california angelo coastal reserve	California, USA	36.778261	-119.4179324	1394.3397857452221	42.009503	-114.131211	32.528832	-124.482003
usa california anza borrego desert state park	Anza-Borrego Desert State Park, Borrego Springs, CA 92004, USA	33.100492	-116.3013266					
usa california fresno	Fresno, CA, USA	36.7377981	-119.7871247	37.065181499150455	36.908905	-119.6546399	36.66216190000001	-119.934483
usa california lower teakettle	California, USA	36.778261	-119.4179324	1394.3397857452221	42.009503	-114.131211	32.528832	-124.482003
usa california lower teakettle neon	California, USA	36.778261	-119.4179324	1394.3397857452221	42.009503	-114.131211	32.528832	-124.482003
usa california san joaquin experimental range	San Joaquin Experimental Range, California 93614, USA	37.09939290000001	-119.7401491					
usa california soaproot saddle	Soaproot Saddle, California 93664, USA	37.028281	-119.2548447					
usa california soaproot saddle neon	Soaproot Saddle, California 93664, USA	37.028281	-119.2548447					
usa cincinnati ohio	Cincinnati, OH, USA	39.1031182	-84.5120196	35.05868537319821	39.2207591	-84.36875479999999	39.051921	-84.71204809999999
usa cl	United States	37.09024	-95.712891	9007.238625192922	74.071038	-66.885417	18.7763	166.9999999
usa co	Colorado, USA	39.5500507	-105.7820674	752.4455441841662	41.0034439	-102.041522	36.992449	-109.060204
usa co boulder	Boulder, CO, USA	40.0149856	-105.2705456	17.921733016002662	40.0945509	-105.178197	39.9640689	-105.3017579
usa co logan	Logan County, CO, USA	40.7056181	-102.989615	100.66916212705131	41.002558	-102.6508799	40.435294	-103.581848
usa co weld	Weld County, CO, USA	40.52657660000001	-104.4723301	167.75196618681946	41.0020541	-103.573216	40.000251	-105.0567199
usa colorado	Colorado, USA	39.5500507	-105.7820674	752.4455441841662	41.0034439	-102.041522	36.992449	-109.060204
usa colorado boulder	Boulder, CO, USA	40.0149856	-105.2705456	17.921733016002662	40.0945509	-105.178197	39.9640689	-105.3017579
usa colorado central plains experimental range	Colorado, USA	39.5500507	-105.7820674	752.4455441841662	41.0034439	-102.041522	36.992449	-109.060204
usa colorado central plains experimental range neon	Colorado, USA	39.5500507	-105.7820674	752.4455441841662	41.0034439	-102.041522	36.992449	-109.060204
usa colorado larimer	Larimer County, CO, USA	40.6955572	-105.5943388	133.98723486312812	40.99844	-104.9430519	40.2577839	-106.1954379
usa colorado niwot ridge	Niwot Ridge, Colorado 80466, USA	40.0597085	-105.6169466					
usa colorado north sterling	North Sterling Reservoir, Colorado 80751, USA	40.7734889	-103.2865504	8.968131230568888	40.8145724	-103.2658155	40.7548346	-103.3373803
usa colorado north sterling neon	North Sterling Reservoir, Colorado 80751, USA	40.7734889	-103.2865504	8.968131230568888	40.8145724	-103.2658155	40.7548346	-103.3373803
usa colorado rocky mountain national park	Rocky Mountain National Park, Colorado, USA	40.3427932	-105.6836389					
usa colorado rocky mountain national park neon	Rocky Mountain National Park, Colorado, USA	40.3427932	-105.6836389					
usa colorado rocky mountains	Colorado, USA	39.5500507	-105.7820674	752.4455441841662	41.0034439	-102.041522	36.992449	-109.060204
usa colorado weld	Weld County, CO, USA	40.52657660000001	-104.4723301	167.75196618681946	41.0020541	-103.573216	40.000251	-105.0567199
usa columbia river washington	Columbia River	47.43871937211972	-120.8228860820784	665.6049242126792	49.4034983	-117.4808563	45.4739405	-124.1649158
usa connerville oklahoma	Connerville, OK 74856, USA	34.4475921	-96.6361153					
usa cordesville south carolina	Cordesville, SC 29434, USA	33.1321144	-79.8834131					
usa crested butte colorado	Crested Butte, CO 81224, USA	38.8697146	-106.9878231	3.1021271083665027	38.8749979	-106.963061	38.858749	-106.992187
usa cross plains wisconsin	Cross Plains, WI 53528, USA	43.11443850000001	-89.6556777	5.080696144130572	43.129007	-89.62281100000001	43.104119	-89.675305
usa edgewater maryland	Edgewater, MD, USA	38.94056399999999	-76.5629398	6.042328611398989	38.953412	-76.5282819	38.9180128	-76.581284
usa elkton oregon	Elkton, OR 97436, USA	43.6376174	-123.5681519	2.8189495050830096	43.6455733	-123.559643	43.629472	-123.5867
usa fairbanks alaska	Fairbanks, AK, USA	64.8400511	-147.7199756	17.624660187862638	64.8782189	-147.5241601	64.77851	-147.8138451
usa fisher illinois	Fisher, IL 61843, USA	40.3147554	-88.3500541	2.839449641053806	40.3256349	-88.33785209999999	40.3067711	-88.3604249
usa fl osceola	Osceola County, FL, USA	28.1019838	-81.0754657	110.8113101143632	28.3485841	-80.861395	27.6419901	-81.6572679
usa fl putnam	Putnam County, FL, USA	29.6265157	-81.77870209999999	83.14646718841338	29.840176	-81.433554	29.3244399	-82.056151
usa flamingo florida	Flamingo, FL 33034, USA	25.1417914	-80.92534909999999					
usa florida	Florida, USA	27.6648274	-81.5157535	1052.0642968464822	31.000968	-79.974306	24.396308	-87.634896
usa florida disney wilderness preserve	The Nature Conservancy's Disney Wilderness Preserve, 2700 Scrub Jay Trail, Poinciana, FL 34759, USA	28.1290006	-81.43004549999999					
usa florida ordway swisher biological station	693 FL-26, Melrose, FL 32666, USA	29.7196578	-82.00013200000001					
usa florida putnam	Putnam County, FL, USA	29.6265157	-81.77870209999999	83.14646718841338	29.840176	-81.433554	29.3244399	-82.056151
usa fraser colorado	Fraser, CO, USA	39.9449868	-105.8172316	6.380526124572645	39.9528781	-105.7760209	39.9077849	-105.822297
usa ft bragg california	Fort Bragg, CA 95437, USA	39.445723	-123.8052935	6.685585226753577	39.4710549	-123.7827869	39.418456	-123.8205041
usa georgia	Georgia, USA	32.1574351	-82.90712300000001	685.7479057694584	35.001303	-80.78296	30.3557569	-85.6051649
usa georgia the jones center at ichauway	3988 Jones Center Dr, Newton, GA 39870, USA	31.2205201	-84.47922989999999					
usa georgia the jones center at ichauway neon	3988 Jones Center Dr, Newton, GA 39870, USA	31.2205201	-84.47922989999999					
usa grand rapids minnesota	Grand Rapids, MN 55744, USA	47.2371658	-93.53021419999999	9.635341057212807	47.26092509999999	-93.4933439	47.1953868	-93.5768201
usa gunnison colorado	Gunnison, CO 81230, USA	38.5458246	-106.9253207	5.321737750051607	38.55899489999999	-106.902668	38.52956	-106.9509179
usa hawaii kilauea volcano	Kīlauea, Hawaii 96778, USA	19.4068929	-155.2833786					
usa hawaii makaala natural area reserve	Makaala St, Hilo, HI 96720, USA	19.6992847	-155.0627123	1.443659515290174	19.7058972	-155.0583249	19.6977694	-155.0690787
usa hawaii puu makaala natural area reserve	Pu’U Maka’ Ala Natural Area Reserve, Amaumau Rd, Mountain View, HI 96771, USA	19.5315493	-155.2589933					
usa idaho	Idaho, USA	44.0682019	-114.7420408	916.6442192813413	49.0008461	-111.043495	41.98818190000001	-117.243027
usa idaho city idaho	Idaho City, ID 83631, USA	43.8285046	-115.8345537	3.299686741602284	43.8385089	-115.812717	43.819812	-115.8446599
usa idaho orchard combat training center 1983 octc fire burned	33550 Orchard Access Rd, Boise, ID 83716, USA	43.2986014	-116.0630282					
usa idaho orchard combat training center 1983 octc fire unburned	33550 Orchard Access Rd, Boise, ID 83716, USA	43.2986014	-116.0630282					
usa idalia colorado	Idalia, CO 80735, USA	39.7038813	-102.2938052					
usa illinois	Illinois, USA	40.6331249	-89.3985283	725.5649975919649	42.5084809	-87.01993499999999	36.970298	-91.51307899999999
usa indiana	Indiana, USA	40.5512165	-85.60236429999999	526.214545043162	41.761368	-84.7845351	37.771672	-88.097892
usa iowa	Iowa, USA	41.8780025	-93.097702	639.8643527883834	43.5011961	-90.1400609	40.37544	-96.6394849
usa iowa relay cover crop	Iowa, USA	41.8780025	-93.097702	639.8643527883834	43.5011961	-90.1400609	40.37544	-96.6394849
usa iowa relay no cover	Iowa, USA	41.8780025	-93.097702	639.8643527883834	43.5011961	-90.1400609	40.37544	-96.6394849
usa kansas	Kansas, USA	39.011902	-98.4842465	730.3188454297903	40.003166	-94.588387	36.9930159	-102.0517688
usa kansas konza prairie agroecosystem	Konza Prairie Ln, Ashland, KS 66502, USA	39.105228	-96.6082096	2.2812645276309773	39.1152635	-96.59569119999999	39.0997877	-96.6130484
usa kansas konza prairie agroecosystem neon	Konza Prairie Ln, Ashland, KS 66502, USA	39.105228	-96.6082096	2.2812645276309773	39.1152635	-96.59569119999999	39.0997877	-96.6130484
usa kansas konza prairie biological station	Konza Prairie Biological Station, 100 Konza Prairie Ln, Manhattan, KS 66502, USA	39.1068765	-96.6091402					
usa kansas konza prairie biological station neon	Konza Prairie Biological Station, 100 Konza Prairie Ln, Manhattan, KS 66502, USA	39.1068765	-96.6091402					
usa kansas ku field station	Kansas, USA	39.011902	-98.4842465	730.3188454297903	40.003166	-94.588387	36.9930159	-102.0517688
usa kansas riley	Riley, KS 66531, USA	39.29888529999999	-96.8308436	2.419669029348538	39.306534	-96.817285	39.2937499	-96.84004089999999
usa kansas riley	Riley County, KS, USA	39.3686475	-96.83509989999999	76.24661976786962	39.5665361	-96.389043	39.0432321	-96.96169309999999
usa kansas university of kansas field station	University Of Kansas, Overland Park, KS 66213, USA	38.8991444	-94.72548929999999	0.39271946010703995	38.9002749	-94.7237311	38.89825099999999	-94.72745019999999
usa kansas university of kansas field station neon	University Of Kansas, Overland Park, KS 66213, USA	38.8991444	-94.72548929999999	0.39271946010703995	38.9002749	-94.7237311	38.89825099999999	-94.72745019999999
usa kentucky	Kentucky, USA	37.8393332	-84.2700179	729.9097427896253	39.1477321	-81.96478809999999	36.497058	-89.571203
usa ks riley	Riley, KS 66531, USA	39.29888529999999	-96.8308436	2.419669029348538	39.306534	-96.817285	39.2937499	-96.84004089999999
usa ks riley	Riley County, KS, USA	39.3686475	-96.83509989999999	76.24661976786962	39.5665361	-96.389043	39.0432321	-96.96169309999999
usa logan utah	Logan, UT, USA	41.7369803	-111.8338359	15.420434789675745	41.79733890000001	-111.779731	41.6928089	-111.901876
usa los alamos newmexico	Los Alamos, NM 87544, USA	35.8800364	-106.3031138	9.342250883005065	35.913289	-106.2453951	35.8705559	-106.334687
usa louisiana	Louisiana, USA	30.5190775	-91.5208624	684.2697288215148	33.0196201	-88.758388	28.8551271	-94.043352
usa ma worcester	Worcester, MA, USA	42.2625932	-71.8022934	19.27827846757526	42.3411789	-71.7315589	42.2094605	-71.88391709999999
usa maryland	Maryland, USA	39.0457549	-76.64127119999999	440.19590584153525	39.723037	-74.9862819	37.886605	-79.4876511
usa maryland anne arundel	Anne Arundel County, MD, USA	38.9530109	-76.5488232	72.28747601550872	39.2373979	-76.3494789	38.711099	-76.84036189999999
usa maryland bethesda	Bethesda, MD, USA	38.984652	-77.0947092	11.446142756983065	39.0226339	-77.0785925	38.940586	-77.1585612
usa maryland edgewater	Edgewater, MD, USA	38.94056399999999	-76.5629398	6.042328611398989	38.953412	-76.5282819	38.9180128	-76.581284
