id	elev	geo_loc_name	geo_loc_name_normalized	latitude	latitude_decimal_len	longitude	longitude_decimal_len
nmdc:bsm-11-vhwzd240	468.3	USA: Wisconsin, Treehaven	usa wisconsin treehaven	45.493852	6	-89.591026	6
nmdc:bsm-11-vj362w14	99	USA: Alabama, Talladega National Forest	usa alabama talladega national forest	32.898842	6	-87.446131	6
nmdc:bsm-11-vj466q87	377.3	USA: California, San Joaquin Experimental Range	usa california san joaquin experimental range	37.101658	6	-119.734564	6
nmdc:bsm-11-vjaayv66		USA: NH, Carroll	usa nh carroll	44.063889	6	-71.287375	6
nmdc:bsm-11-vjd54e81	12.7	USA: Alabama, Lenoir Landing	usa alabama lenoir landing	31.824646	6	-88.177623	6
nmdc:bsm-11-vjhrf279	1353.3	USA: Colorado, North Sterling	usa colorado north sterling	40.470725	6	-103.011685	6
nmdc:bsm-11-vjv0jh03	680.5	USA: Alaska, Healy	usa alaska healy	63.863602	6	-149.273634	6
nmdc:bsm-11-vjyshf97	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4
nmdc:bsm-11-vk3js390	19	USA: Florida, Disney Wilderness Preserve	usa florida disney wilderness preserve	28.073118	6	-81.428559	6
nmdc:bsm-11-vkhgm883	2125.7	USA: Wyoming, Yellowstone National Park	usa wyoming yellowstone national park	44.954799	6	-110.539286	6
nmdc:bsm-11-vkq6v991		USA: Alabama	usa alabama	32.96142	5	-87.40828	5
nmdc:bsm-11-vksq3a37	258.0	USA: Wisconsin	usa wisconsin	43.0995	4	-89.4045	4
nmdc:bsm-11-vkvgrn06	1363.6	USA: Colorado, North Sterling	usa colorado north sterling	40.460659	6	-103.033324	6
nmdc:bsm-11-vkwm6y46	1723.1	USA: Hawaii, Puu Makaala Natural Area Reserve	usa hawaii puu makaala natural area reserve	19.552827	6	-155.319745	6
nmdc:bsm-11-vkyhbd17	260.0	Congo: Brazzaville	congo brazzaville	-4.3092	4	15.2356	4
nmdc:bsm-11-vkzmwg78	309.4	USA: Virginia, Smithsonian Conservation Biology Institute	usa virginia smithsonian conservation biology institute	38.896938	6	-78.146458	6
