serial_number	content	sample_count	content_list	content_count	envo_count	extracted_label	extracted_curie	real_label	longest_annotation_curie	longest_annotation_label	curie_list	unique_curie_count
1	missing	9203	missing	1	0	missing					[]	0
2	not applicable	3869	not applicable	1	0	not applicable			CHEBI:25555	nitrogen atom	['CHEBI:25555']	1
3	soil	3472	soil	1	0	soil			ENVO:00001998	soil	['ENVO:00001998']	1
4	not collected	3464	not collected	1	0	not collected			ENVO:00000084	mountain pass	['ENVO:00000084']	1
5	forest biome	2674	forest biome	1	0	forest biome			ENVO:01000174	forest biome	['ENVO:01000174']	1
6	Agricultural soil	1989	Agricultural soil	1	0	Agricultural soil			ENVO:00002259	agricultural soil	['ENVO:00002259']	1
7	forest	1816	forest	1	0	forest			ENVO:00000111	forested area	['ENVO:00000111']	1
8	ENVO:01000198	1567	ENVO:01000198	1	1		ENVO:01000198	mixed forest biome			['ENVO:01000198']	1
9	Soil	1514	Soil	1	0	Soil			ENVO:00001998	soil	['ENVO:00001998']	1
10	temperate desert biome	1506	temperate desert biome	1	0	temperate desert biome			ENVO:01000182	temperate desert biome	['ENVO:01000182']	1
11	agricultural field	1469	agricultural field	1	0	agricultural field			ENVO:00000114	agricultural field	['ENVO:00000114']	1
12	eroded soil	1428	eroded soil	1	0	eroded soil			ENVO:00001998	soil	['ENVO:00001998']	1
13	[ENVO:00000428]	1426	[ENVO:00000428]	1	1		ENVO:00000428	biome			['ENVO:00000428']	1
14	temperate grassland	1377	temperate grassland	1	0	temperate grassland			ENVO:01001811	temperate grassland	['ENVO:01001811']	1
15	grassland biome	1287	grassland biome	1	0	grassland biome			ENVO:01000177	grassland biome	['ENVO:01000177']	1
16	temperate forest	1280	temperate forest	1	0	temperate forest			ENVO:01001805	temperate forest	['ENVO:01001805']	1
17	desert grassland/shrubland	1215	desert grassland/shrubland	1	0	desert grassland/shrubland			ENVO:00000114	agricultural field	['ENVO:00000114']	1
18	ENVO:00000446	1209	ENVO:00000446	1	1		ENVO:00000446	terrestrial biome			['ENVO:00000446']	1
19	permafrost	1057	permafrost	1	0	permafrost			ENVO:00000134	permafrost	['ENVO:00000134']	1
20	ENVO_01000180	1024	ENVO_01000180	1	1		ENVO:01000180	tundra biome			['ENVO:01000180']	1
21	boreal forest biome	1016	boreal forest biome	1	0	boreal forest biome			ENVO:01000250	subpolar coniferous forest biome	['ENVO:01000250']	1
22	pH	999	pH	1	0	pH			PATO:0001842	acidity	['PATO:0001842']	1
23	soil biome	997	soil biome	1	0	soil biome			ENVO:00000428	biome	['ENVO:00000428']	1
24	Agricultural field	977	Agricultural field	1	0	Agricultural field			ENVO:00000114	agricultural field	['ENVO:00000114']	1
25	woodland area[ENVO:00000109]	944	woodland area[ENVO:00000109]	1	1	woodland area	ENVO:00000109	woodland area	ENVO:00000109	woodland area	['ENVO:00000109']	1
26	soil ecosystem	940	soil ecosystem	1	0	soil ecosystem			ENVO:01001110	ecosystem	['ENVO:01001110']	1
27	anthropogenic terrestrial biome [ENVO:01000219]	881	anthropogenic terrestrial biome [ENVO:01000219]	1	1	anthropogenic terrestrial biome	ENVO:01000219	anthropogenic terrestrial biome	ENVO:01000219	anthropogenic terrestrial biome	['ENVO:01000219']	1
28	farmland	842	farmland	1	0	farmland			ENVO:00000078	farm	['ENVO:00000078']	1
29	ENVO:00001998	817	ENVO:00001998	1	1		ENVO:00001998	soil			['ENVO:00001998']	1
30	ENVO:01000245	710	ENVO:01000245	1	1		ENVO:01000245	cropland biome			['ENVO:01000245']	1
31	paddy soil	690	paddy soil	1	0	paddy soil			ENVO:00001998	soil	['ENVO:00001998']	1
32	apple root microbiome	648	apple root microbiome	1	0	apple root microbiome			NCBITaxon:1	root	['NCBITaxon:1']	1
33	Coal mine	647	Coal mine	1	0	Coal mine			ENVO:00002169	coal mine	['ENVO:00002169']	1
34	temperate dry conifer forest biome	646	temperate dry conifer forest biome	1	0	temperate dry conifer forest biome			ENVO:01000174	forest biome	['ENVO:01000174']	1
35	dryland	628	dryland	1	0	dryland			PATO:0001824	dry	['PATO:0001824']	1
36	grassland	617	grassland	1	0	grassland			ENVO:00000114	agricultural field	['ENVO:00000114']	1
37	ENVO:01000206	564	ENVO:01000206	1	1		ENVO:01000206	temperate			['ENVO:01000206']	1
38	temperate deciduous forest biome [ENV 01000385]	555	temperate deciduous forest biome [ENV 01000385]	1	0	temperate deciduous forest biome [ENV 01000385]			ENVO:00000109	woodland area	['ENVO:00000109']	1
39	Temperate biome [ENVO: 01001831]temperate woodland biome [ENVO:01000221]	539	Temperate biome [ENVO: 01001831]temperate woodland biome [ENVO:01000221]	1	2	Temperate biome []temperate woodland biome	ENVO:01001831	temperate biome	ENVO:01000221	temperate woodland biome	['ENVO:01000221', 'ENVO:01001831']	2
40	Agricultural Field	509	Agricultural Field	1	0	Agricultural Field			ENVO:00000114	agricultural field	['ENVO:00000114']	1
41	ENVO:00000428	486	ENVO:00000428	1	1		ENVO:00000428	biome			['ENVO:00000428']	1
42	cropland biome	459	cropland biome	1	0	cropland biome			ENVO:01000245	cropland biome	['ENVO:01000245']	1
43	agricultural soil	457	agricultural soil	1	0	agricultural soil			ENVO:00002259	agricultural soil	['ENVO:00002259']	1
44	village biome	454	village biome	1	0	village biome			ENVO:01000246	village biome	['ENVO:01000246']	1
45	Joshua Tree National Park	441	Joshua Tree National Park	1	0	Joshua Tree National Park			ENVO:00000367	IUCN national park	['ENVO:00000367']	1
46	Mining maquis biome	440	Mining maquis biome	1	0	Mining maquis biome			ENVO:00000301	chaparral area	['ENVO:00000301']	1
47	NA	432	NA	1	0	NA			CHEBI:25555	nitrogen atom	['CHEBI:25555']	1
48	Lab microcosm	420	Lab microcosm	1	0	Lab microcosm			ENVO:01000621	microcosm	['ENVO:01000621']	1
49	greenhouse	414	greenhouse	1	0	greenhouse			ENVO:03600087	greenhouse	['ENVO:03600087']	1
50	pot	408	pot	1	0	pot			ENVO:00000534	riverine pothole	['ENVO:00000534']	1
51	tussock grassland	405	tussock grassland	1	0	tussock grassland			ENVO:00000114	agricultural field	['ENVO:00000114']	1
52	1 Conservation and Natural Environments	395	1 Conservation and Natural Environments	1	0	1 Conservation and Natural Environments			ENVO:01000951	natural environment	['ENVO:01000951']	1
53	soil microbiome	393	soil microbiome	1	0	soil microbiome			ENVO:00001998	soil	['ENVO:00001998']	1
54	Grassland	383	Grassland	1	0	Grassland			ENVO:00000114	agricultural field	['ENVO:00000114']	1
55	green house	375	green house	1	0	green house			ENVO:01000417	house	['ENVO:01000417']	1
56	Forest	371	Forest	1	0	Forest			ENVO:00000111	forested area	['ENVO:00000111']	1
57	ENVO:01000193	370	ENVO:01000193	1	1		ENVO:01000193	temperate grassland biome			['ENVO:01000193']	1
58	ENVO:00002259	369	ENVO:00002259	1	1		ENVO:00002259	agricultural soil			['ENVO:00002259']	1
59	arctic_soils	365	arctic_soils	1	0	arctic_soils			ENVO:00001998	soil	['ENVO:00001998']	1
60	arctic	360	arctic	1	0	arctic					[]	0
61	low managed grassland	360	low managed grassland	1	0	low managed grassland			ENVO:00000114	agricultural field	['ENVO:00000114']	1
62	Laboratory	358	Laboratory	1	0	Laboratory					[]	0
63	field	354	field	1	0	field			ENVO:01000352	field	['ENVO:01000352']	1
64	terrestrial biome [ENVO:00000446]	353	terrestrial biome [ENVO:00000446]	1	1	terrestrial biome	ENVO:00000446	terrestrial biome	ENVO:00000446	terrestrial biome	['ENVO:00000446']	1
65	unkown	351	unkown	1	0	unkown					[]	0
66	beech forest	350	beech forest	1	0	beech forest			ENVO:00000111	forested area	['ENVO:00000111']	1
67	Boreal forest	345	Boreal forest	1	0	Boreal forest			ENVO:01000250	subpolar coniferous forest biome	['ENVO:01000250']	1
68	root biome	344	root biome	1	0	root biome			ENVO:00000428	biome	['ENVO:00000428']	1
69	Chihuahuan Desert	342	Chihuahuan Desert	1	0	Chihuahuan Desert			ENVO:00000172	sandy desert	['ENVO:00000172']	1
70	Mountain	341	Mountain	1	0	Mountain			ENVO:00000081	mountain	['ENVO:00000081']	1
71	orchard biome	332	orchard biome	1	0	orchard biome			ENVO:00000115	orchard	['ENVO:00000115']	1
72	tundra	327	tundra	1	0	tundra					[]	0
73	biocrust	327	biocrust	1	0	biocrust			ENVO:01000909	biocrust	['ENVO:01000909']	1
74	paddy field	325	paddy field	1	0	paddy field			ENVO:00000297	paddy field	['ENVO:00000297']	1
75	ENVO_01000221	324	ENVO_01000221	1	1		ENVO:01000221	temperate woodland biome			['ENVO:01000221']	1
76	grassland area	323	grassland area	1	0	grassland area			ENVO:00000106	grassland area	['ENVO:00000106']	1
77	temperate mixed needleleaf forest [ENVO_01000390]	323	temperate mixed needleleaf forest [ENVO_01000390]	1	1	temperate mixed needleleaf forest	ENVO:01000390	temperate mixed needleleaf forest	ENVO:01000390	temperate mixed needleleaf forest	['ENVO:01000390']	1
78	anthropogenic terrestrial biome	321	anthropogenic terrestrial biome	1	0	anthropogenic terrestrial biome			ENVO:01000219	anthropogenic terrestrial biome	['ENVO:01000219']	1
79	temperate broadleaf forest biome [ENVO: 01000202]	312	temperate broadleaf forest biome [ENVO: 01000202]	1	1	temperate broadleaf forest biome	ENVO:01000202	temperate broadleaf forest biome	ENVO:01000202	temperate broadleaf forest biome	['ENVO:01000202']	1
80	agricultural	310	agricultural	1	0	agricultural					[]	0
81	Agricultural	308	Agricultural	1	0	Agricultural					[]	0
82	ENVO:01000221	304	ENVO:01000221	1	1		ENVO:01000221	temperate woodland biome			['ENVO:01000221']	1
83	plateau biome	294	plateau biome	1	0	plateau biome			ENVO:00000104	undersea feature	['ENVO:00000104']	1
84	cropland biome [ENVO:01000245]	289	cropland biome [ENVO:01000245]	1	1	cropland biome	ENVO:01000245	cropland biome	ENVO:01000245	cropland biome	['ENVO:01000245']	1
85	soil mesocosm	288	soil mesocosm	1	0	soil mesocosm			ENVO:01000620	mesocosm	['ENVO:01000620']	1
86	semi-arid soil	286	semi-arid soil	1	0	semi-arid soil			ENVO:00001998	soil	['ENVO:00001998']	1
87	terrestrial biome[ENVO:00000446]	285	terrestrial biome[ENVO:00000446]	1	1	terrestrial biome	ENVO:00000446	terrestrial biome	ENVO:00000446	terrestrial biome	['ENVO:00000446']	1
88	swamp	284	swamp	1	0	swamp			ENVO:00000233	swamp ecosystem	['ENVO:00000233']	1
89	rangeland	275	rangeland	1	0	rangeland			ENVO:00000264	seamount	['ENVO:00000264']	1
90	temperate grassland biome	275	temperate grassland biome	1	0	temperate grassland biome			ENVO:01000193	temperate grassland biome	['ENVO:01000193']	1
91	Soil [ENVO:00001998]	270	Soil [ENVO:00001998]	1	1	Soil	ENVO:00001998	soil	ENVO:00001998	soil	['ENVO:00001998']	1
92	agricultural land	270	agricultural land	1	0	agricultural land			ENVO:00000077	agricultural ecosystem	['ENVO:00000077']	1
93	SJ	267	SJ	1	0	SJ			CHEBI:26833	sulfur atom	['CHEBI:26833']	1
94	Temperate forest	264	Temperate forest	1	0	Temperate forest			ENVO:01001805	temperate forest	['ENVO:01001805']	1
95	ENVO_01000763	262	ENVO_01000763	1	1		ENVO:01000763	rural settlement			['ENVO:01000763']	1
96	desert biome	261	desert biome	1	0	desert biome			ENVO:01000179	desert biome	['ENVO:01000179']	1
97	crop	260	crop	1	0	crop			CHEBI:27594	carbon atom	['CHEBI:27594']	1
98	post-agricultural prairie	259	post-agricultural prairie	1	0	post-agricultural prairie			ENVO:00000260	prairie	['ENVO:00000260']	1
99	mixed forest biome	259	mixed forest biome	1	0	mixed forest biome			ENVO:01000198	mixed forest biome	['ENVO:01000198']	1
100	desert	256	desert	1	0	desert			ENVO:00000172	sandy desert	['ENVO:00000172']	1
101	alpine biome	256	alpine biome	1	0	alpine biome			ENVO:01001835	alpine biome	['ENVO:01001835']	1
102	Mm	255	Mm	1	0	Mm					[]	0
103	forest soil	252	forest soil	1	0	forest soil			ENVO:00002261	forest soil	['ENVO:00002261']	1
104	cropland	244	cropland	1	0	cropland			ENVO:00000011	garden	['ENVO:00000011']	1
105	wetland ecosystem(ENVO:01001209)	242	wetland ecosystem(ENVO:01001209)	1	1	wetland ecosystem	ENVO:01001209	wetland ecosystem	ENVO:01001209	wetland ecosystem	['ENVO:01001209']	1
106	eastern KS	240	eastern KS	1	0	eastern KS			PATO:0045092	east	['PATO:0045092']	1
107	Agriculture soil	239	Agriculture soil	1	0	Agriculture soil			ENVO:01001246	agricultural process	['ENVO:01001246']	1
108	woodland	232	woodland	1	0	woodland			ENVO:00000057	mangrove swamp	['ENVO:00000057']	1
109	agriculture	232	agriculture	1	0	agriculture			ENVO:01001246	agricultural process	['ENVO:01001246']	1
110	tundra biome	231	tundra biome	1	0	tundra biome			ENVO:01000180	tundra biome	['ENVO:01000180']	1
111	coniferous forest biome	230	coniferous forest biome	1	0	coniferous forest biome			ENVO:01000196	coniferous forest biome	['ENVO:01000196']	1
112	paddy field soil	226	paddy field soil	1	0	paddy field soil			ENVO:00005740	paddy field soil	['ENVO:00005740']	1
113	Upland Forest	225	Upland Forest	1	0	Upland Forest			ENVO:00000111	forested area	['ENVO:00000111']	1
114	Corn	225	Corn	1	0	Corn			CHEBI:27594	carbon atom	['CHEBI:27594']	1
115	wetland	222	wetland	1	0	wetland			ENVO:00000035	marsh	['ENVO:00000035']	1
116	Agricultural grassland soil	220	Agricultural grassland soil	1	0	Agricultural grassland soil			ENVO:00005750	grassland soil	['ENVO:00005750']	1
117	area of cropland [ENVO:01000892]	217	area of cropland [ENVO:01000892]	1	1	area of cropland	ENVO:01000892	area of cropland	ENVO:01000892	area of cropland	['ENVO:01000892']	1
118	farm	217	farm	1	0	farm			ENVO:00000078	farm	['ENVO:00000078']	1
119	Temperate grasslands	217	Temperate grasslands	1	0	Temperate grasslands			ENVO:01001811	temperate grassland	['ENVO:01001811']	1
120	temperate broadleaf forest	217	temperate broadleaf forest	1	0	temperate broadleaf forest			ENVO:01001794	temperate broadleaf forest	['ENVO:01001794']	1
121	dryland biome	216	dryland biome	1	0	dryland biome			ENVO:00000428	biome	['ENVO:00000428']	1
122	ENVO:01000196	216	ENVO:01000196	1	1		ENVO:01000196	coniferous forest biome			['ENVO:01000196']	1
123	cultivated environment [ENVO:01000311]	215	cultivated environment [ENVO:01000311]	1	1	cultivated environment	ENVO:01000311	cultivated environment	ENVO:01000311	cultivated environment	['ENVO:01000311']	1
124	temperate woodland	212	temperate woodland	1	0	temperate woodland			ENVO:01000206	temperate	['ENVO:01000206']	1
125	montane grassland	211	montane grassland	1	0	montane grassland			ENVO:01001808	montane grassland	['ENVO:01001808']	1
126	subpolar coniferous forest biome [ENVO:01000250]	209	subpolar coniferous forest biome [ENVO:01000250]	1	1	subpolar coniferous forest biome	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000250	subpolar coniferous forest biome	['ENVO:01000250']	1
127	ENVO:00000260	208	ENVO:00000260	1	1		ENVO:00000260	prairie			['ENVO:00000260']	1
128	ENVO:01000174	204	ENVO:01000174	1	1		ENVO:01000174	forest biome			['ENVO:01000174']	1
129	Agricultural Land	203	Agricultural Land	1	0	Agricultural Land			ENVO:00000077	agricultural ecosystem	['ENVO:00000077']	1
130	mudflat[ENVO:00000192]	200	mudflat[ENVO:00000192]	1	1	mudflat	ENVO:00000192	mudflat	ENVO:00000192	mudflat	['ENVO:00000192']	1
131	Paddy soil	198	Paddy soil	1	0	Paddy soil			ENVO:00001998	soil	['ENVO:00001998']	1
132	soil [ENVO:00001998]	197	soil [ENVO:00001998]	1	1	soil	ENVO:00001998	soil	ENVO:00001998	soil	['ENVO:00001998']	1
133	ENVO:01000197	192	ENVO:01000197	1	1		ENVO:01000197	broadleaf forest biome			['ENVO:01000197']	1
134	Chihuahua Desert	190	Chihuahua Desert	1	0	Chihuahua Desert			ENVO:00000172	sandy desert	['ENVO:00000172']	1
135	New Mexico/Colorado high grassland	190	New Mexico/Colorado high grassland	1	0	New Mexico/Colorado high grassland			ENVO:00000114	agricultural field	['ENVO:00000114']	1
136	Temperate grassland	186	Temperate grassland	1	0	Temperate grassland			ENVO:01001811	temperate grassland	['ENVO:01001811']	1
137	fen	182	fen	1	0	fen			ENVO:00000232	fen	['ENVO:00000232']	1
138	area of gramanoid or herbaceous vegetation [ENVO:01000888]	180	area of gramanoid or herbaceous vegetation [ENVO:01000888]	1	1	area of gramanoid or herbaceous vegetation	ENVO:01000888	area of gramanoid or herbaceous vegetation	ENVO:01000888	area of gramanoid or herbaceous vegetation	['ENVO:01000888']	1
139	corn	180	corn	1	0	corn			CHEBI:27594	carbon atom	['CHEBI:27594']	1
140	flower strip experiment	180	flower strip experiment	1	0	flower strip experiment			ENVO:01000848	flower strip	['ENVO:01000848']	1
141	bulk soil	178	bulk soil	1	0	bulk soil			ENVO:00005802	bulk soil	['ENVO:00005802']	1
142	Soil incubated under flooded condition	177	Soil incubated under flooded condition	1	0	Soil incubated under flooded condition			ENVO:01000710	flood	['ENVO:01000710']	1
143	Secondary forest Biome	176	Secondary forest Biome	1	0	Secondary forest Biome			ENVO:01000174	forest biome	['ENVO:01000174']	1
144	terrestrial	176	terrestrial	1	0	terrestrial					[]	0
145	agricultural ecosystem [ENVO:00000077]	175	agricultural ecosystem [ENVO:00000077]	1	1	agricultural ecosystem	ENVO:00000077	agricultural ecosystem	ENVO:00000077	agricultural ecosystem	['ENVO:00000077']	1
146	subtropics	174	subtropics	1	0	subtropics			CHEBI:26833	sulfur atom	['CHEBI:26833']	1
147	forest biome [ENVO:01000174]	171	forest biome [ENVO:01000174]	1	1	forest biome	ENVO:01000174	forest biome	ENVO:01000174	forest biome	['ENVO:01000174']	1
148	rhizosphere soil	168	rhizosphere soil	1	0	rhizosphere soil			ENVO:00005801	rhizosphere	['ENVO:00005801']	1
149	shrubland + cropland	168	shrubland + cropland	1	0	shrubland + cropland			ENVO:00000300	scrubland area	['ENVO:00000300']	1
150	boreal forest	166	boreal forest	1	0	boreal forest			ENVO:01000250	subpolar coniferous forest biome	['ENVO:01000250']	1
151	Temperate grassland [ENVO:01000193]	162	Temperate grassland [ENVO:01000193]	1	1	Temperate grassland	ENVO:01000193	temperate grassland biome	ENVO:01001811	temperate grassland	['ENVO:01000193', 'ENVO:01001811']	2
152	agricultural soil [ENVO:00002259]	162	agricultural soil [ENVO:00002259]	1	1	agricultural soil	ENVO:00002259	agricultural soil	ENVO:00002259	agricultural soil	['ENVO:00002259']	1
153	Greenhouse	157	Greenhouse	1	0	Greenhouse			ENVO:03600087	greenhouse	['ENVO:03600087']	1
154	Beech forest	156	Beech forest	1	0	Beech forest			ENVO:00000111	forested area	['ENVO:00000111']	1
155	Compost	154	Compost	1	0	Compost			ENVO:00002170	compost	['ENVO:00002170']	1
156	subtropical biome [ENVO:01001832]	152	subtropical biome [ENVO:01001832]	1	1	subtropical biome	ENVO:01001832	subtropical biome	ENVO:01001832	subtropical biome	['ENVO:01001832']	1
157	terrestrial biome	152	terrestrial biome	1	0	terrestrial biome			ENVO:00000446	terrestrial biome	['ENVO:00000446']	1
158	paddy field soil [ENVO:00005740]	152	paddy field soil [ENVO:00005740]	1	1	paddy field soil	ENVO:00005740	paddy field soil	ENVO:00005740	paddy field soil	['ENVO:00005740']	1
159	river ecosystem	150	river ecosystem	1	0	river ecosystem			ENVO:01001110	ecosystem	['ENVO:01001110']	1
160	Mediterranean pine forest	150	Mediterranean pine forest	1	0	Mediterranean pine forest			ENVO:01000207	mediterranean	['ENVO:01000207']	1
161	temperate mixed forest biome	150	temperate mixed forest biome	1	0	temperate mixed forest biome			ENVO:01000212	temperate mixed forest biome	['ENVO:01000212']	1
162	Tropical grassland	148	Tropical grassland	1	0	Tropical grassland			ENVO:01001806	tropical grassland	['ENVO:01001806']	1
163	Solidago canadensis	147	Solidago canadensis	1	0	Solidago canadensis			CHEBI:26833	sulfur atom	['CHEBI:26833']	1
164	Huang Huai Plain	146	Huang Huai Plain	1	0	Huang Huai Plain			ENVO:00000086	plain	['ENVO:00000086']	1
165	Red_soil_biome [ENVO:01000181]	144	Red_soil_biome [ENVO:01000181]	1	1	Red_soil_biome	ENVO:01000181	mangrove biome	ENVO:00000428	biome	['ENVO:01000181', 'ENVO:00000428']	2
166	Taiga	143	Taiga	1	0	Taiga			ENVO:00000109	woodland area	['ENVO:00000109']	1
167	subboreal forest	143	subboreal forest	1	0	subboreal forest			ENVO:00000111	forested area	['ENVO:00000111']	1
168	alpine grassland	143	alpine grassland	1	0	alpine grassland			ENVO:00000114	agricultural field	['ENVO:00000114']	1
169	spruce forest	142	spruce forest	1	0	spruce forest			ENVO:00000111	forested area	['ENVO:00000111']	1
170	Temperate Conifer Forest	140	Temperate Conifer Forest	1	0	Temperate Conifer Forest			ENVO:01000206	temperate	['ENVO:01000206']	1
171	Pinus pinaster forest	140	Pinus pinaster forest	1	0	Pinus pinaster forest			ENVO:00000111	forested area	['ENVO:00000111']	1
172	subpolar biome [ENVO:01001834]|peatland [ENVO:00000044]	138	subpolar biome [ENVO:01001834]	2	1	subpolar biome	ENVO:01001834	subpolar biome	ENVO:01001834	subpolar biome	['ENVO:01001834']	1
172	subpolar biome [ENVO:01001834]|peatland [ENVO:00000044]	138	peatland [ENVO:00000044]	2	1	peatland	ENVO:00000044	peatland	ENVO:00000044	peatland	['ENVO:00000044']	1
173	temperate woodland biome [ENVO:01000221]	136	temperate woodland biome [ENVO:01000221]	1	1	temperate woodland biome	ENVO:01000221	temperate woodland biome	ENVO:01000221	temperate woodland biome	['ENVO:01000221']	1
174	Soil fungi	136	Soil fungi	1	0	Soil fungi			NCBITaxon:4751	Fungi	['NCBITaxon:4751']	1
175	rural field	135	rural field	1	0	rural field			ENVO:01000352	field	['ENVO:01000352']	1
176	mangrove biome	134	mangrove biome	1	0	mangrove biome			ENVO:01000181	mangrove biome	['ENVO:01000181']	1
177	Ambrosia artemisiifolia	134	Ambrosia artemisiifolia	1	0	Ambrosia artemisiifolia					[]	0
178	temperate biome [ENVO_01001831]	132	temperate biome [ENVO_01001831]	1	1	temperate biome	ENVO:01001831	temperate biome	ENVO:01001831	temperate biome	['ENVO:01001831']	1
179	Pot	130	Pot	1	0	Pot			ENVO:00000534	riverine pothole	['ENVO:00000534']	1
180	mixed forest biome [ENVO:01000198]	129	mixed forest biome [ENVO:01000198]	1	1	mixed forest biome	ENVO:01000198	mixed forest biome	ENVO:01000198	mixed forest biome	['ENVO:01000198']	1
181	Antarctic soil	127	Antarctic soil	1	0	Antarctic soil			ENVO:00001998	soil	['ENVO:00001998']	1
182	alpine meadow	125	alpine meadow	1	0	alpine meadow			ENVO:00000108	meadow ecosystem	['ENVO:00000108']	1
183	ENVO:01001206	121	ENVO:01001206	1	1		ENVO:01001206	grassland ecosystem			['ENVO:01001206']	1
184	Biofilm(ENVO:00002034)	120	Biofilm(ENVO:00002034)	1	1	Biofilm	ENVO:00002034	biofilm	ENVO:00002034	biofilm	['ENVO:00002034']	1
185	ENVO_01001044	120	ENVO_01001044	1	1		ENVO:01001044	soil environment			['ENVO:01001044']	1
186	cropland (ENVO:01000245)	120	cropland (ENVO:01000245)	1	1	cropland	ENVO:01000245	cropland biome	ENVO:00000011	garden	['ENVO:01000245', 'ENVO:00000011']	2
187	Solidago decurrens	120	Solidago decurrens	1	0	Solidago decurrens			CHEBI:26833	sulfur atom	['CHEBI:26833']	1
188	agroecosystem	120	agroecosystem	1	0	agroecosystem					[]	0
189	subantarctic forest	118	subantarctic forest	1	0	subantarctic forest			ENVO:00000111	forested area	['ENVO:00000111']	1
190	mountain	118	mountain	1	0	mountain			ENVO:00000081	mountain	['ENVO:00000081']	1
191	Agricultural Soil	116	Agricultural Soil	1	0	Agricultural Soil			ENVO:00002259	agricultural soil	['ENVO:00002259']	1
192	industrial building	114	industrial building	1	0	industrial building			ENVO:00003861	industrial building	['ENVO:00003861']	1
193	microcosm	113	microcosm	1	0	microcosm			ENVO:01000621	microcosm	['ENVO:01000621']	1
194	Northern Jarrah woodland	112	Northern Jarrah woodland	1	0	Northern Jarrah woodland			ENVO:00000057	mangrove swamp	['ENVO:00000057']	1
195	Ucultivated	111	Ucultivated	1	0	Ucultivated					[]	0
196	temperate grassland biome [ENVO:01000193]	110	temperate grassland biome [ENVO:01000193]	1	1	temperate grassland biome	ENVO:01000193	temperate grassland biome	ENVO:01000193	temperate grassland biome	['ENVO:01000193']	1
197	freshwater wetland	110	freshwater wetland	1	0	freshwater wetland			ENVO:00002011	fresh water	['ENVO:00002011']	1
198	Orchard soil	110	Orchard soil	1	0	Orchard soil			ENVO:00005772	orchard soil	['ENVO:00005772']	1
199	Central California Foothills and Coastal Mountains	109	Central California Foothills and Coastal Mountains	1	0	Central California Foothills and Coastal Mountains			ENVO:00000081	mountain	['ENVO:00000081']	1
200	bacteria	109	bacteria	1	0	bacteria			NCBITaxon:2	Bacteria	['NCBITaxon:2']	1
201	meditteranean	108	meditteranean	1	0	meditteranean					[]	0
202	Crop	108	Crop	1	0	Crop			CHEBI:27594	carbon atom	['CHEBI:27594']	1
203	Argentinean Pampa	108	Argentinean Pampa	1	0	Argentinean Pampa			ENVO:00000260	prairie	['ENVO:00000260']	1
204	farmland biome	108	farmland biome	1	0	farmland biome			ENVO:00000428	biome	['ENVO:00000428']	1
205	Rhizosphere soil	108	Rhizosphere soil	1	0	Rhizosphere soil			ENVO:00005801	rhizosphere	['ENVO:00005801']	1
206	Farm	105	Farm	1	0	Farm			ENVO:00000078	farm	['ENVO:00000078']	1
207	North American grassland	105	North American grassland	1	0	North American grassland			ENVO:00000114	agricultural field	['ENVO:00000114']	1
208	Terrestrial [ENVO:00000446]	105	Terrestrial [ENVO:00000446]	1	1	Terrestrial	ENVO:00000446	terrestrial biome			['ENVO:00000446']	1
209	grassland biome [ENVO:01000177]	105	grassland biome [ENVO:01000177]	1	1	grassland biome	ENVO:01000177	grassland biome	ENVO:01000177	grassland biome	['ENVO:01000177']	1
210	soil pot	104	soil pot	1	0	soil pot			ENVO:00001998	soil	['ENVO:00001998']	1
211	ENVO:01000248	104	ENVO:01000248	1	1		ENVO:01000248	dense settlement biome			['ENVO:01000248']	1
212	Not applicable	103	Not applicable	1	0	Not applicable			CHEBI:25555	nitrogen atom	['CHEBI:25555']	1
213	alpine desert	102	alpine desert	1	0	alpine desert			ENVO:00000172	sandy desert	['ENVO:00000172']	1
214	Maize	102	Maize	1	0	Maize					[]	0
215	California	101	California	1	0	California			CHEBI:27594	carbon atom	['CHEBI:27594']	1
216	Kobresia pygmaea	100	Kobresia pygmaea	1	0	Kobresia pygmaea			CHEBI:28659	phosphorus atom	['CHEBI:28659']	1
217	grassland [ENVO:00000106]	100	grassland [ENVO:00000106]	1	1	grassland	ENVO:00000106	grassland area	ENVO:00000114	agricultural field	['ENVO:00000114', 'ENVO:00000106']	2
218	deserts	100	deserts	1	0	deserts			ENVO:00000172	sandy desert	['ENVO:00000172']	1
219	polar biome [ENVO:01000339]	99	polar biome [ENVO:01000339]	1	1	polar biome	ENVO:01000339	polar biome	ENVO:01000339	polar biome	['ENVO:01000339']	1
220	freshwater lake biome [ENVO:01000252]	98	freshwater lake biome [ENVO:01000252]	1	1	freshwater lake biome	ENVO:01000252	freshwater lake biome	ENVO:01000252	freshwater lake biome	['ENVO:01000252']	1
221	3 Production from Dryland Agriculture and Plantations	98	3 Production from Dryland Agriculture and Plantations	1	0	3 Production from Dryland Agriculture and Plantations			ENVO:01001246	agricultural process	['ENVO:01001246']	1
222	area of cropland	98	area of cropland	1	0	area of cropland			ENVO:01000892	area of cropland	['ENVO:01000892']	1
223	Southern California/Northern Baja Coast	98	Southern California/Northern Baja Coast	1	0	Southern California/Northern Baja Coast			ENVO:01000687	coast	['ENVO:01000687']	1
