serial_number	content	sample_count	content_list	content_count	envo_count	extracted_label	extracted_curie	real_label	longest_annotation_curie	longest_annotation_label	curie_list	unique_curie_count
4046	ENVO_00002084	1	ENVO_00002084	1	1		ENVO:00002084				['ENVO:00002084']	1
4047	ENVO_00002090	1	ENVO_00002090	1	1		ENVO:00002090				['ENVO:00002090']	1
4048	ENVO_00002095	1	ENVO_00002095	1	1		ENVO:00002095				['ENVO:00002095']	1
4049	ENVO_00002102	1	ENVO_00002102	1	1		ENVO:00002102				['ENVO:00002102']	1
4050	ENVO_00002113	1	ENVO_00002113	1	1		ENVO:00002113	deep marine sediment			['ENVO:00002113']	1
4051	ENVO_00002119	1	ENVO_00002119	1	1		ENVO:00002119	alkaline hot spring			['ENVO:00002119']	1
4052	ENVO_00002129	1	ENVO_00002129	1	1		ENVO:00002129	anaerobic sludge			['ENVO:00002129']	1
4053	ENVO_00002132	1	ENVO_00002132	1	1		ENVO:00002132	metalimnion			['ENVO:00002132']	1
4054	ENVO_00002147	1	ENVO_00002147	1	1		ENVO:00002147	coal mine lake sediment			['ENVO:00002147']	1
4055	ENVO_00002150	1	ENVO_00002150	1	1		ENVO:00002150	coastal sea water			['ENVO:00002150']	1
4056	ENVO_00002158	1	ENVO_00002158	1	1		ENVO:00002158	ditch water			['ENVO:00002158']	1
4057	ENVO_00002160	1	ENVO_00002160	1	1		ENVO:00002160	estuarine mud			['ENVO:00002160']	1
4058	ENVO_00002166	1	ENVO_00002166	1	1		ENVO:00002166	obsolete sausage			['ENVO:00002166']	1
4059	ENVO_00002171	1	ENVO_00002171	1	1		ENVO:00002171	hay compost			['ENVO:00002171']	1
4060	ENVO_00002184	1	ENVO_00002184	1	1		ENVO:00002184	subsurface landform			['ENVO:00002184']	1
4061	ENVO_00002191	1	ENVO_00002191	1	1		ENVO:00002191	animal litter			['ENVO:00002191']	1
4062	ENVO_00002211	1	ENVO_00002211	1	1		ENVO:00002211	thermophilic anaerobic methanogenic reactor			['ENVO:00002211']	1
4063	ENVO_00002254	1	ENVO_00002254	1	1		ENVO:00002254	vertisol			['ENVO:00002254']	1
4064	ENVO_00002267	1	ENVO_00002267	1	1		ENVO:00002267	industrial waste material			['ENVO:00002267']	1
4065	ENVO_00002272	1	ENVO_00002272	1	1		ENVO:00002272	waste treatment plant			['ENVO:00002272']	1
4066	ENVO_00002285	1	ENVO_00002285	1	1		ENVO:00002285				['ENVO:00002285']	1
4067	ENVO_00002290	1	ENVO_00002290	1	1		ENVO:00002290				['ENVO:00002290']	1
4068	ENVO_00002308	1	ENVO_00002308	1	1		ENVO:00002308				['ENVO:00002308']	1
4069	ENVO_00002314	1	ENVO_00002314	1	1		ENVO:00002314				['ENVO:00002314']	1
4070	ENVO_00002316	1	ENVO_00002316	1	1		ENVO:00002316				['ENVO:00002316']	1
4071	ENVO_00002321	1	ENVO_00002321	1	1		ENVO:00002321				['ENVO:00002321']	1
4072	ENVO_00002327	1	ENVO_00002327	1	1		ENVO:00002327				['ENVO:00002327']	1
