ENVO:01000930	ecological corridor
ENVO:03000002	firn
ENVO:03501290	supermarket
ENVO:00000501	submerged bed
ENVO:01000437	lava field
ENVO:03501163	nutrition and dietetics unit facility
ENVO:01001132	hot Neptune
UBERON:0036661	wall of ventricular system of brain
CHEBI:33623	aluminium oxides
ENVO:06105102	megaplastic particle
ENVO:01000668	geological fault
UBERON:0003068	axial mesoderm
CHEBI:35552	heterocyclic organic fundamental parent
ENVO:02000142	petroleum oil refinery
ENVO:03501118	public transport hub
ENVO:03000033	marine sediment
ENVO:01000568	tubular paraffin lantern
FOODON:03315173	fish product (unspecified species)
ENVO:00005771	muddy soil
ENVO:00000184	hanging valley
ENVO:01000480	glass
FOODON:00002454	food product by quality
ENVO:01001461	UNEP-WCMC class 1 mountain
ENVO:00000387	container of an intermittent lake
ENVO:03501288	facility
CHEBI:36342	subatomic particle
ENVO:01000572	electric lamp
CHEBI:61120	nucleobase-containing molecular entity
CHEBI:33832	organic cyclic compound
ENVO:01000612	taxicab
ENVO:01000073	marine oligotrophic desert
ENVO:00000083	hill
CHEBI:24651	hydroxides
ENVO:03000112	snow drift
ENVO:01001783	liquid surface of an astronomical body
ENVO:00002135	treated wood
CHEBI:63409	pentose derivative
UBERON:0000177	pus
ENVO:01001032	environment determined by a biofilm on a plant surface
ENVO:03501348	veterinary facility
ENVO:00000183	stony desert
ENVO:01000967	public swimming pool
ENVO:00000380	ice shelf
CHEBI:38077	polypyrrole
NCBITaxon:7010	Schistocerca gregaria
ENVO:01000196	coniferous forest biome
ENVO:01000153	sulphate-reducing sediment
UBERON:0004232	lymphatic vessel smooth muscle
NCBITaxon:41191	Glossata
CHEBI:37826	sulfuric acid derivative
ENVO:03000067	pancake ice
UBERON:0004921	subdivision of digestive tract
ENVO:01000828	humid air
ENVO:00003088	pantothenate enriched soil
FOODON:03430109	food (liquid, low viscosity)
UBERON:0005867	mandibular prominence
ENVO:01000845	crystal
ENVO:01001396	abyssal clay
ENVO:03501113	public ferry
ENVO:01000949	lichen woodland
UBERON:0018674	heart vasculature
UBERON:0003511	iris blood vessel
CHEBI:60160	polyester polymer
UBERON:3010200	vasculature of respiratory integument
ENVO:03501327	utensil
ENVO:03501323	residential environment
FOODON:00001234	mayonnaise food product
FOODON:00001184	algal food product
UBERON:0010719	girdle skeleton
ENVO:00000526	cliff cleft
ENVO:03500018	solder
ENVO:00000464	artificial harbor
CHEBI:73113	divinyl chlorophyll a
CHEBI:32234	titanium dioxide
