ENVO:00002240	kastanozem
ENVO:01001834	subpolar biome
NCBITaxon:1198	Phormidium
CHEBI:33976	magnesium coordination entity
ENVO:01000770	carbon dioxide emission
ENVO:00000281	fault escarpment
ENVO:04000012	particulate organic matter
PO:0020144	apical meristem
ENVO:01000138	plant matter fall
ENVO:00000172	sandy desert
ENVO:06105278	silty clay loam
FOODON:00001635	bean food product
ENVO:03501234	town hall
NCBITaxon:1890440	Schizotrichaceae
FOODON:00001036	pont ieveque cheese food product
ENVO:03501217	tissue paper
CHEBI:35352	organonitrogen compound
UBERON:0009503	mesenchyme of hindgut
ENVO:03500017	soldering fumes
CHEBI:23906	monoatomic cation
NCBITaxon:44822	Microcystis viridis
ENVO:01000479	lime plaster
UBERON:0000912	mucus
ENVO:01000660	tephra
ENVO:00002169	coal mine
NCBITaxon:9443	Primates
ENVO:03501369	seam surface
ENVO:03501211	door handle
ENVO:01001495	dioxygen dissolved in marine water
PO:0025157	phyllome epidermis
ENVO:01000095	marginal ice zone front
ENVO:01000129	marine hydrothermal vent chimney
ENVO:00000418	ria
ENVO:01000496	straw exterior wall
ENVO:03501207	shopping mall
CHEBI:33692	hydrides
ENVO:00000501	submerged bed
ENVO:00000539	geographic sill
ENVO:01000614	bicycle
UBERON:0000060	anatomical wall
ENVO:03501313	food production environmental monitoring zone
ENVO:00002167	platinum mine
ENVO:00000537	boulder field
ENVO:01000233	intermediate lava
NCBITaxon:1783272	Terrabacteria group
ENVO:00000563	pier
ENVO:01001897	neutral spring
ENVO:00002215	geothermal power plant
CHEBI:35175	sulfate salt
FOODON:03400852	miscellaneous food product (eurofir)
ENVO:03510005	motor oil
CHEBI:17245	carbon monoxide
CHEBI:18310	alkane
ENVO:01000461	refined asphalt
UBERON:0005281	ventricular system of central nervous system
ENVO:06105236	exchangeable ion
UBERON:0010252	1st arch mandibular mesenchyme from neural crest
UBERON:0004122	genitourinary system
UBERON:0011158	primary subdivision of skull
ENVO:06105276	sandy clay loam
ENVO:01000937	impromptu campground
ENVO:03501128	conference room
FOODON:00001611	apple food product
ENVO:01000484	container glass
CHEBI:35350	hydroxy steroid
ENVO:00000378	canal head reservoir
ENVO:01000609	motor boat
UBERON:0002390	hematopoietic system
ENVO:03501183	medical clinic
ENVO:06105268	treated wastewater
ENVO:00005753	urea enriched soil
ENVO:02000046	calcareous ooze
ENVO:01000130	marine hydrothermal plume
ENVO:00010505	aerosol
ENVO:01000527	flush toilet fixture
ENVO:00000391	land bridge
ENVO:00002213	anaerobic sludge blanket reactor
FOODON:00001286	turkey meat food product
UBERON:0003133	reproductive organ
ENVO:00000565	sports facility
UBERON:0003504	respiratory system blood vessel
ENVO:01001389	neritic mussel bed
ENVO:01000332	gravelly slope
CHEBI:36895	monoatomic fluorine
CHEBI:16240	hydrogen peroxide
NCBITaxon:7711	Chordata
ENVO:00000284	quarry
ENVO:03501150	gynaecology unit facility
NCBITaxon:33340	Neoptera
CHEBI:33345	titanium group element atom
ENVO:01001567	protected area
ENVO:00000535	weir
ENVO:01000541	thermosphere
CHEBI:26816	carbohydrate phosphate
ENVO:00010623	dolomite
ENVO:03500018	solder
UBERON:0003064	intermediate mesoderm
FOODON:03400865	soup (eurofir)
ENVO:01000944	microplastic particle
CHEBI:2706	Anatoxin a
ENVO:01000472	building roof
FOODON:00004242	animal food product
UBERON:0003258	endoderm of foregut
ENVO:00000468	hydroelectric dam
FOODON:00001055	sea water fish food product
ENVO:01000200	tropical broadleaf forest biome
ENVO:00000181	nunatak
ENVO:02000099	coal dust
UBERON:0008814	pharyngeal arch system
FOODON:00001200	cowpea (pulse) food product
ENVO:00000419	stack
CHEBI:33664	monocyclic hydrocarbon
FOODON:03420228	extract, concentrate or isolate of plant or animal
ENVO:00002209	saline lake sediment
FOODON:03400289	USA agency food product type
ENVO:2000045	hydrocarbon-based environmental material
UBERON:0034944	zone of organ
ENVO:00005745	allotment garden
ENVO:01001351	ice decumulation zone
ENVO:01001845	hoar
CHEBI:37349	phosphorus oxide
ENVO:03501121	building corridor
CHEBI:63732	1,1-diol
UBERON:0004808	gastrointestinal system epithelium
ENVO:00003967	creamery
ENVO:03501228	trattoria
NCBITaxon:7624	Echinozoa
PO:0006035	shoot system epidermis
ENVO:00000317	tidal pool
ENVO:01001028	sediment permeated by freshwater
FOODON:00002175	prepared hen egg product
ENVO:00000236	dambo
ENVO:01000125	marine littoral zone
UBERON:0007109	meconium
ENVO:01000192	tropical grassland biome
CHEBI:26820	sulfates
ENVO:01001679	fluid front
ENVO:00002057	raw primary sludge
ENVO:00000094	volcanic feature
ENVO:03501345	temporary residence
FOODON:03400147	milk or milk product analog (us cfr)
ENVO:00005747	compost soil
ENVO:01000443	salt mass
FOODON:00001020	beer wort food product
ENVO:00000161	banana plantation
ENVO:00002117	creosote contaminated soil
CHEBI:35427	ortho-fused polycyclic hydrocarbon
UBERON:0000923	germ layer
UBERON:0005423	developing anatomical structure
ENVO:00000182	plateau
UBERON:0007688	anlage
CHEBI:60272	aluminium ion
UBERON:0000328	gut wall
ENVO:00000183	stony desert
UBERON:0003350	epithelium of mucosa
ENVO:00000269	land-tied island
FOODON:00001037	vacherin mont dor cheese food product
ENVO:01001043	hypersaline water environment
UBERON:0010000	multicellular anatomical structure
ENVO:03000139	ice fog
ENVO:03600007	formation fluid
ENVO:01001354	volcanic crater glacier
CHEBI:33238	monoatomic entity
ENVO:03501347	hotel
FOODON:00001158	pomaceous fruit food product
CHEBI:33350	chromium group element atom
UBERON:0002443	choroidal blood vessel
FOODON:00002029	melon food product
FOODON:00001156	citrus fruit juice
NCBITaxon:71275	rosids
ENVO:04000013	particulate organic carbon
ENVO:03600084	lichen material
ENVO:01001712	free atmosphere
ENVO:01001345	floating ice mass
ENVO:01000187	subtropical savanna biome
ENVO:01001232	sapropelic kerogen
ENVO:00000234	bayou
NCBITaxon:6548	Mytilus
CHEBI:30563	silicon dioxide
ENVO:00000295	fish hatchery
ENVO:03501194	long-term care facility
PO:0006016	leaf epidermis
ENVO:00003861	industrial building
ENVO:00003064	drinking water
PO:0000112	shoot axis epidermis
UBERON:0003929	digestive tract epithelium
CHEBI:25367	molecule
ENVO:01000468	fence
CHEBI:37602	allenes
NCBITaxon:33208	Metazoa
CHEBI:63734	ketone hydrate
ENVO:06105102	megaplastic particle
ENVO:00002256	regosol
ENVO:00000285	quicksand bed
ENVO:01000270	claystone
ENVO:00000209	marine photic zone
ENVO:01000984	grocery store
PO:0025385	cutin
ENVO:2100006	feather environment
CHEBI:36908	argon molecular entity
UBERON:0007914	bone of craniocervical region
ENVO:1000750	depositional island
ENVO:03501120	dairy farm
ENVO:01000061	marine wind mixed layer
ENVO:01000905	shrimp pond
ENVO:01000201	subtropical broadleaf forest biome
ENVO:03000033	marine sediment
ENVO:03501181	tertiary referral hospital
ENVO:01000386	temperate deciduous needleleaf forest
ENVO:03501370	stagnant water
UBERON:3000977	body external integument structure
CHEBI:23016	carbonates
ENVO:00000289	horst
CHEBI:46681	anthophyllite
CHEBI:33253	nucleon
CHEBI:39478	buta-1,3-diene
CHEBI:36340	fermion
ENVO:01001404	ecological province
ENVO:00000213	marine mesopelagic zone
UBERON:0005157	epithelial fold
ENVO:00000392	ice tongue
FOODON:03400840	beverage (non-milk) (eurofir)
ENVO:03501265	public toilet
CHEBI:35604	carbon oxoanion
CHEBI:46664	chrysotile
ENVO:01000487	brick building floor
CHEBI:25362	elemental molecule
ENVO:01000407	littoral zone
ENVO:01001049	non-saline sediment environment
CHEBI:80770	Brevetoxin B
ENVO:00002926	warm seep
ENVO:03510019	cleaning agent
ENVO:00000152	anabranch
FOODON:03400969	50221200 - processed cereal products (gs1 gpc)
NCBITaxon:1205	Trichodesmium
CHEBI:46718	sulfide salt
CHEBI:27560	boron atom
ENVO:01001709	katafront
ENVO:00000561	military training area
ENVO:03510001	brake fluid
ENVO:01001800	tropical moist broadleaf forest
ENVO:01001428	water-based cloud
ENVO:02000036	saliva material
CHEBI:24373	glycine derivative
NCBITaxon:1117	Cyanobacteria
ENVO:01000763	rural settlement
FOODON:00001250	fish egg food product
CHEBI:36342	subatomic particle
ENVO:03501137	hospital unit facility
ENVO:00000206	marine neritic zone
ENVO:00000178	levee
UBERON:0000463	organism substance
ENVO:01000860	temperate marine upwelling biome
ENVO:03501127	conference venue
ENVO:00000022	river
ENVO:03600061	shipwreck
ENVO:03501279	tenement
ENVO:00003044	brine
ENVO:00002270	chemocline
ENVO:02000124	lead paint
ENVO:01001281	paved parking lot
ENVO:01000844	fog
ENVO:01001009	photometeor
ENVO:01000075	marine thermocline
FOODON:00002664	lipid food product
ENVO:00002239	calcisol
CHEBI:190295	inorganic calcium salt
ENVO:03501248	overpass
UBERON:0004237	blood vessel smooth muscle
ENVO:01000227	tropical dry broadleaf forest biome
ENVO:01001819	cell culturing unit
CHEBI:139292	chlorophyllide(2-)
CHEBI:15996	GTP
ENVO:06105201	water table
ENVO:00000190	abyssal feature
ENVO:01000085	plume front
ENVO:01000608	boat
ENVO:01000276	ecoregion
CHEBI:50816	iron oxide
ENVO:03600033	residential backyard
ENVO:03500028	pneumatic drill
FOODON:00001023	mammalian milk butter
ENVO:01001629	polymetallic nodule ecosystem
ENVO:00002059	biosolids
ENVO:03510002	automatic transmission fluid
CHEBI:36928	carbon-13 atom
ENVO:00005768	orchid soil
ENVO:01001101	transform plate boundary
ENVO:01001704	subpolar environment
ENVO:00000558	diversionary dam
ENVO:00005740	paddy field soil
UBERON:0003077	paraxial mesoderm
ENVO:01001786	inland sea
ENVO:00000156	desert oasis
ENVO:01001794	temperate broadleaf forest
ENVO:02000008	cell culture
ENVO:00009726	strand crack
UBERON:0007811	craniocervical region
ENVO:00000134	permafrost
ENVO:01000583	refrigerator
ENVO:01000148	marine coral reef buttress zone
ENVO:01000752	area of barren land
CHEBI:35605	carbon oxoacid
CHEBI:37622	carboxamide
ENVO:00000073	building
ENVO:00000109	woodland area
ENVO:01000647	asthenosphere
ENVO:01000169	indeterminate root nodule active meristem
ENVO:00005749	farm soil
ENVO:03600037	eutrophic pond
ENVO:01000921	closed animal house
ENVO:01001535	floeberg
ENVO:01000470	building envelope
ENVO:01001517	drift ice mass
FOODON:00001298	unpasteurized camel milk beverage
ENVO:00000394	strait
CHEBI:36785	carbobicyclic compound
CHEBI:84055	pentose phosphate
CHEBI:36352	neutrino
ENVO:03501226	greasy spoon
ENVO:01000424	patio
ENVO:03600074	aquaculture farm
NCBITaxon:1162	Nostocaceae
ENVO:01001531	sea ice field
ENVO:03510056	methyl cellulose paste
ENVO:01000601	motor vehicle
ENVO:01001698	polar front
ENVO:00002124	anaerobic bioreactor
ENVO:02000126	wood ash
FOODON:03400650	02  vegetables (ccpr)
ENVO:00000457	plateau glacier
CHEBI:13392	NAD(P)H
CHEBI:16042	halide anion
ENVO:00002133	anaerobic mud
ENVO:01001423	cirrostratus fibratus cloud
ENVO:2000007	biochar
ENVO:01000575	wax
ENVO:06105275	silty loam
ENVO:03501216	stainless steel
ENVO:01000810	planetary atmosphere
FOODON:00001080	tape kefan food product
UBERON:0006003	integumentary adnexa
ENVO:03501297	meat processing plant
FOODON:00001217	mammalian milk beverage
CHEBI:25388	monohydroxybenzoate
ENVO:01001113	forage material
ENVO:01000670	vein
