	rdfs:label	mixs:env_broad	mixs:env_local	mixs:env_medium	mixs:host_taxon	mixs:mixs_extension	mixs:other	mixs:env_broad	mixs:env_local	mixs:env_medium	mixs:host_taxon	mixs:other
GOLDTERMS:5768	Environmental > Terrestrial > Soil > Arable > Agricultural land	ENVO:00000077	ENVO:01001177	ENVO:00005742		mixs:Soil		agricultural ecosystem	arable land	arable soil		
GOLDTERMS:5776	Environmental > Terrestrial > Soil > Biochar > Agricultural land	ENVO:00000077	ENVO:00000446	ENVO:2000007		mixs:Soil		agricultural ecosystem	terrestrial biome	biochar		
GOLDTERMS:Environmental-Terrestrial-Soil-Biochar	Environmental > Terrestrial > Soil > Biochar	ENVO:01000254	ENVO:00000446	ENVO:2000007		mixs:Soil		environmental system	terrestrial biome	biochar		
GOLDTERMS:5585	Environmental > Terrestrial > Soil > Bulk soil > Meadow	ENVO:01000254	ENVO:00000108	ENVO:00005802		mixs:Soil		environmental system	meadow ecosystem	bulk soil		
GOLDTERMS:5424	Environmental > Terrestrial > Soil > Bulk soil > Agricultural land	ENVO:00000077	ENVO:00000446	ENVO:00005802		mixs:Soil		agricultural ecosystem	terrestrial biome	bulk soil		
GOLDTERMS:5725	Environmental > Terrestrial > Soil > Bulk soil > Contaminated	ENVO:01000254	ENVO:00000446	ENVO:00005802		mixs:Soil	PATO:0015032	environmental system	terrestrial biome	bulk soil		increased contamination
GOLDTERMS:5780	Environmental > Terrestrial > Soil > Bulk soil	ENVO:01000254	ENVO:00000446	ENVO:00005802		mixs:Soil		environmental system	terrestrial biome	bulk soil		
GOLDTERMS:5823	Environmental > Terrestrial > Soil > Bulk soil > Plant pot	ENVO:01000254	ENVO:00000446	ENVO:00005802		mixs:Soil		environmental system	terrestrial biome	bulk soil		
GOLDTERMS:4228	Environmental > Terrestrial > Soil > Clay > Grasslands	ENVO:01000254	ENVO:01000177	ENVO:00002982		mixs:Soil		environmental system	grassland biome	clay		
GOLDTERMS:4232	Environmental > Terrestrial > Soil > Clay > Oil-contaminated	ENVO:01000254	ENVO:00002061	ENVO:00002982		mixs:Soil		environmental system	oil spill	clay		
GOLDTERMS:4230	Environmental > Terrestrial > Soil > Clay > Agricultural land	ENVO:00000077	ENVO:00000446	ENVO:00002982		mixs:Soil		agricultural ecosystem	terrestrial biome	clay		
GOLDTERMS:4231	Environmental > Terrestrial > Soil > Clay > Contaminated	ENVO:01000254	ENVO:00000446	ENVO:00002982		mixs:Soil	PATO:0015032	environmental system	terrestrial biome	clay		increased contamination
GOLDTERMS:4229	Environmental > Terrestrial > Soil > Clay	ENVO:01000254	ENVO:00000446	ENVO:00002982		mixs:Soil		environmental system	terrestrial biome	clay		
GOLDTERMS:5589	Environmental > Terrestrial > Soil > Mineral horizon > Forest soil	ENVO:01000254	ENVO:00000446	ENVO:00002261		mixs:Soil	ENVO:03600011	environmental system	terrestrial biome	forest soil		mineral horizon
GOLDTERMS:5587	Environmental > Terrestrial > Soil > Organic layer > Forest soil	ENVO:01000254	ENVO:00000446	ENVO:00002261		mixs:Soil	ENVO:03600018	environmental system	terrestrial biome	forest soil		organic horizon
