	rdfs:label	mixs:env_broad	mixs:env_local	mixs:env_medium	mixs:host_taxon	mixs:mixs_extension	mixs:other	mixs:env_broad	mixs:env_local	mixs:env_medium	mixs:host_taxon	mixs:other
GOLDTERMS:4224	Environmental > Terrestrial > Soil > Sand > Forest soil	ENVO:01000254	ENVO:00000446	ENVO:00002261		mixs:Soil		environmental system	terrestrial biome	forest soil		
GOLDTERMS:4239	Environmental > Terrestrial > Soil > Loam > Forest soil	ENVO:01000254	ENVO:00000446	ENVO:00002261		mixs:Soil		environmental system	terrestrial biome	forest soil		
GOLDTERMS:4238	Environmental > Terrestrial > Soil > Loam > Grasslands	ENVO:01000254	ENVO:01000177	ENVO:00002258		mixs:Soil		environmental system	grassland biome	loam		
GOLDTERMS:4242	Environmental > Terrestrial > Soil > Loam > Agricultural land	ENVO:00000077	ENVO:00000446	ENVO:00002258		mixs:Soil		agricultural ecosystem	terrestrial biome	loam		
GOLDTERMS:4243	Environmental > Terrestrial > Soil > Loam > Contaminated	ENVO:01000254	ENVO:00000446	ENVO:00002258		mixs:Soil	PATO:0015032	environmental system	terrestrial biome	loam		increased contamination
GOLDTERMS:4237	Environmental > Terrestrial > Soil > Loam > Agricultural		ENVO:00000446	ENVO:00002258		mixs:Agriculture			terrestrial biome	loam		
GOLDTERMS:5800	Environmental > Terrestrial > Soil > Mangrove soil	ENVO:01000254	ENVO:00000446	ENVO:02000138		mixs:Soil		environmental system	terrestrial biome	mangrove biome soil		
GOLDTERMS:5729	Environmental > Terrestrial > Soil > Pasture > Agricultural land	ENVO:00000077	ENVO:00000266	ENVO:00005773		mixs:Soil		agricultural ecosystem	pasture	pasture soil		
GOLDTERMS:5817	Environmental > Terrestrial > Soil > Peat > Forest	ENVO:01000254	ENVO:01001243	ENVO:00005774		mixs:Soil		environmental system	forest ecosystem	peat soil		
GOLDTERMS:5804	Environmental > Terrestrial > Soil > Peat > Fen	ENVO:00000232	ENVO:00000446	ENVO:00005774		mixs:Soil		fen	terrestrial biome	peat soil		
GOLDTERMS:5621	Environmental > Terrestrial > Soil > Peat > Bog	ENVO:01001209	ENVO:00000446	ENVO:00005774		mixs:Soil		wetland ecosystem	terrestrial biome	peat soil		
GOLDTERMS:5809	Environmental > Terrestrial > Soil > Peat > Mire		ENVO:00000446	ENVO:00005774		mixs:Soil			terrestrial biome	peat soil		
GOLDTERMS:5818	Environmental > Terrestrial > Soil > Peat > Thermokarst pond	ENVO:01000254	ENVO:03000085	ENVO:00005774		mixs:Soil		environmental system	thermokarst	peat soil		
GOLDTERMS:5816	Environmental > Terrestrial > Soil > Peat > Palsa	ENVO:01000254		ENVO:00005774		mixs:Soil		environmental system		peat soil		
GOLDTERMS:4206	Environmental > Terrestrial > Soil > Unclassified > Permafrost	ENVO:01000254	ENVO:00000446	ENVO:00000134	NCBITaxon:12908	mixs:Soil		environmental system	terrestrial biome	permafrost	unclassified sequences	
GOLDTERMS:5808	Environmental > Terrestrial > Soil > Peat > Permafrost	ENVO:01000254	ENVO:00000446	ENVO:00000134		mixs:Soil		environmental system	terrestrial biome	permafrost		
GOLDTERMS:4234	Environmental > Terrestrial > Soil > Wetlands > Permafrost	ENVO:01001209	ENVO:00000446	ENVO:00000134		mixs:Soil		wetland ecosystem	terrestrial biome	permafrost		
GOLDTERMS:4223	Environmental > Terrestrial > Soil > Sand > Grasslands	ENVO:01000254	ENVO:01000177	ENVO:01000017		mixs:Soil		environmental system	grassland biome	sand		
GOLDTERMS:4204	Environmental > Terrestrial > Soil > Sand > Oil-contaminated	ENVO:01000254	ENVO:00002061	ENVO:01000017		mixs:Soil		environmental system	oil spill	sand		
GOLDTERMS:4210	Environmental > Terrestrial > Soil > Unclassified > Desert	ENVO:01000254	ENVO:01001357	ENVO:00001998	NCBITaxon:12908	mixs:Soil		environmental system	desert	soil	unclassified sequences	
GOLDTERMS:5610	Environmental > Terrestrial > Soil > Floodplain	ENVO:01000254	ENVO:00000255	ENVO:00001998		mixs:Soil		environmental system	flood plain	soil		
GOLDTERMS:4209	Environmental > Terrestrial > Soil > Unclassified > Grasslands	ENVO:01000254	ENVO:01000177	ENVO:00001998	NCBITaxon:12908	mixs:Soil		environmental system	grassland biome	soil	unclassified sequences	
GOLDTERMS:5770	Environmental > Terrestrial > Soil > Greenhouse > Agricultural land	ENVO:00000077	ENVO:03600087	ENVO:00001998		mixs:Soil		agricultural ecosystem	greenhouse	soil		
GOLDTERMS:5617	Environmental > Terrestrial > Soil > Nature reserve > Meadow	ENVO:01000254	ENVO:00000108	ENVO:00001998		mixs:Soil	ENVO:00000363	environmental system	meadow ecosystem	soil		area designated as a nature reserve
GOLDTERMS:5420	Environmental > Terrestrial > Soil > Unclassified > Meadow	ENVO:01000254	ENVO:00000108	ENVO:00001998	NCBITaxon:12908	mixs:Soil		environmental system	meadow ecosystem	soil	unclassified sequences	
GOLDTERMS:4218	Environmental > Terrestrial > Soil > Unclassified > Mine	ENVO:01000254	ENVO:00000076	ENVO:00001998	NCBITaxon:12908	mixs:Soil		environmental system	mine	soil	unclassified sequences	
GOLDTERMS:4221	Environmental > Terrestrial > Soil > Unclassified > Mine drainage	ENVO:01000254	ENVO:00001996	ENVO:00001998	NCBITaxon:12908	mixs:Soil		environmental system	mine drainage	soil	unclassified sequences	
GOLDTERMS:4220	Environmental > Terrestrial > Soil > Unclassified > Oil-contaminated	ENVO:01000254	ENVO:00002061	ENVO:00001998	NCBITaxon:12908	mixs:Soil		environmental system	oil spill	soil	unclassified sequences	
GOLDTERMS:5727	Environmental > Terrestrial > Soil > Ranch > Agricultural land	ENVO:00000077	ENVO:01001207	ENVO:00001998		mixs:Soil		agricultural ecosystem	ranch	soil		
GOLDTERMS:5421	Environmental > Terrestrial > Soil > Unclassified > River	ENVO:01000254	ENVO:00000022	ENVO:00001998	NCBITaxon:12908	mixs:Soil		environmental system	river	soil	unclassified sequences	
GOLDTERMS:5792	Environmental > Terrestrial > Soil > Unclassified > Creek	ENVO:01000254	ENVO:00000023	ENVO:00001998	NCBITaxon:12908	mixs:Soil		environmental system	stream	soil	unclassified sequences	
GOLDTERMS:4213	Environmental > Terrestrial > Soil > Unclassified > Agricultural land	ENVO:00000077	ENVO:00000446	ENVO:00001998	NCBITaxon:12908	mixs:Soil		agricultural ecosystem	terrestrial biome	soil	unclassified sequences	
GOLDTERMS:5434	Environmental > Terrestrial > Soil > Biofilm	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil	ENVO:00002034	environmental system	terrestrial biome	soil		biofilm
GOLDTERMS:4745	Environmental > Terrestrial > Soil > Glacier	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil	ENVO:00000133	environmental system	terrestrial biome	soil		glacier
GOLDTERMS:4215	Environmental > Terrestrial > Soil > Unclassified > Contaminated	ENVO:01000254	ENVO:00000446	ENVO:00001998	NCBITaxon:12908	mixs:Soil	PATO:0015032	environmental system	terrestrial biome	soil	unclassified sequences	increased contamination
GOLDTERMS:5612	Environmental > Terrestrial > Soil > Paddy field/soil > Contaminated	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil	PATO:0015032	environmental system	terrestrial biome	soil		increased contamination
GOLDTERMS:4211	Environmental > Terrestrial > Soil > Unclassified > Uranium contaminated	ENVO:01000254	ENVO:00000446	ENVO:00001998	NCBITaxon:12908	mixs:Soil		environmental system	terrestrial biome	soil	unclassified sequences	
GOLDTERMS:4216	Environmental > Terrestrial > Soil > Unclassified > Tropical rainforest	ENVO:01000254	ENVO:00000446	ENVO:00001998	NCBITaxon:12908	mixs:Soil		environmental system	terrestrial biome	soil	unclassified sequences	
GOLDTERMS:5244	Environmental > Terrestrial > Soil > Unclassified > Riparian soil	ENVO:01000254	ENVO:00000446	ENVO:00001998	NCBITaxon:12908	mixs:Soil		environmental system	terrestrial biome	soil	unclassified sequences	
GOLDTERMS:Environmental-Terrestrial-Soil-Unclassified	Environmental > Terrestrial > Soil > Unclassified	ENVO:01000254	ENVO:00000446	ENVO:00001998	NCBITaxon:12908	mixs:Soil		environmental system	terrestrial biome	soil	unclassified sequences	
GOLDTERMS:4212	Environmental > Terrestrial > Soil	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil		environmental system	terrestrial biome	soil		
GOLDTERMS:4418	Environmental > Terrestrial > Soil > Fossil	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil		environmental system	terrestrial biome	soil		
GOLDTERMS:4578	Environmental > Terrestrial > Soil > Soil crust	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil		environmental system	terrestrial biome	soil		
GOLDTERMS:5613	Environmental > Terrestrial > Soil > Paddy field/soil	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil		environmental system	terrestrial biome	soil		
GOLDTERMS:5754	Environmental > Terrestrial > Soil > Manure-fertilized	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil		environmental system	terrestrial biome	soil		
GOLDTERMS:5820	Environmental > Terrestrial > Soil > Vadose zone	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil		environmental system	terrestrial biome	soil		
GOLDTERMS:5822	Environmental > Terrestrial > Soil > Organic layer	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil		environmental system	terrestrial biome	soil		
GOLDTERMS:Environmental-Terrestrial-Soil-Mineral-horizon	Environmental > Terrestrial > Soil > Mineral horizon	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil		environmental system	terrestrial biome	soil		
GOLDTERMS:Environmental-Terrestrial-Soil-Nature-reserve	Environmental > Terrestrial > Soil > Nature reserve	ENVO:01000254	ENVO:00000446	ENVO:00001998		mixs:Soil		environmental system	terrestrial biome	soil		
GOLDTERMS:4235	Environmental > Terrestrial > Soil > Wetlands	ENVO:01001209	ENVO:00000446	ENVO:00001998		mixs:Soil		wetland ecosystem	terrestrial biome	soil		
GOLDTERMS:5438	Environmental > Terrestrial > Soil > Unclassified > Farm		ENVO:00000446	ENVO:00001998	NCBITaxon:12908	mixs:Soil			terrestrial biome	soil	unclassified sequences	
GOLDTERMS:4711	Environmental > Terrestrial > Soil > Biocrust	ENVO:01000254		ENVO:00001998		mixs:Soil	ENVO:01000909	environmental system		soil		biocrust
GOLDTERMS:4214	Environmental > Terrestrial > Soil > Unclassified > Shrubland	ENVO:01000254		ENVO:00001998	NCBITaxon:12908	mixs:Soil		environmental system		soil	unclassified sequences	
GOLDTERMS:4217	Environmental > Terrestrial > Soil > Unclassified > Boreal forest	ENVO:01000254		ENVO:00001998	NCBITaxon:12908	mixs:Soil		environmental system		soil	unclassified sequences	
GOLDTERMS:5615	Environmental > Terrestrial > Soil > Watershed	ENVO:01000254		ENVO:00001998		mixs:Soil		environmental system		soil		
GOLDTERMS:5774	Environmental > Terrestrial > Soil > Garden	ENVO:01000254		ENVO:00001998		mixs:Soil		environmental system		soil		
GOLDTERMS:5777	Environmental > Terrestrial > Soil > Greenhouse	ENVO:01000254		ENVO:00001998		mixs:Soil		environmental system		soil		
GOLDTERMS:Environmental-Terrestrial-Soil-Ranch	Environmental > Terrestrial > Soil > Ranch	ENVO:01000254		ENVO:00001998		mixs:Soil		environmental system		soil		
GOLDTERMS:5439	Environmental > Terrestrial > Soil > Unclassified > Alpine	ENVO:01000254	ENVO:01001835		NCBITaxon:12908	mixs:Soil		environmental system	alpine biome		unclassified sequences	
GOLDTERMS:Environmental-Terrestrial-Soil-Arable	Environmental > Terrestrial > Soil > Arable	ENVO:01000254	ENVO:01001177			mixs:Soil		environmental system	arable land			
GOLDTERMS:4202	Environmental > Terrestrial > Soil > Sand > Desert	ENVO:01000254	ENVO:01001357			mixs:Soil		environmental system	desert			
GOLDTERMS:Environmental-Terrestrial-Soil-Pasture	Environmental > Terrestrial > Soil > Pasture	ENVO:01000254	ENVO:00000266			mixs:Soil		environmental system	pasture			
GOLDTERMS:5821	Environmental > Terrestrial > Soil > Vadose zone > Saprolite	ENVO:01000254	ENVO:00000446			mixs:Soil	ENVO:00000328	environmental system	terrestrial biome			vadose zone
GOLDTERMS:4205	Environmental > Terrestrial > Soil > Unclassified > Forest Soil	ENVO:01000254	ENVO:00000446		NCBITaxon:12908	mixs:Soil		environmental system	terrestrial biome		unclassified sequences	
GOLDTERMS:5414	Environmental > Terrestrial > Soil > Unclassified > Orchard soil	ENVO:01000254	ENVO:00000446		NCBITaxon:12908	mixs:Soil		environmental system	terrestrial biome		unclassified sequences	
GOLDTERMS:4203	Environmental > Terrestrial > Soil > Sand	ENVO:01000254	ENVO:00000446			mixs:Soil		environmental system	terrestrial biome			
GOLDTERMS:4227	Environmental > Terrestrial > Soil > Silt	ENVO:01000254	ENVO:00000446			mixs:Soil		environmental system	terrestrial biome			
GOLDTERMS:4241	Environmental > Terrestrial > Soil > Loam	ENVO:01000254	ENVO:00000446			mixs:Soil		environmental system	terrestrial biome			
GOLDTERMS:4244	Environmental > Terrestrial > Soil > Loam > Agricultural soil	ENVO:01000254	ENVO:00000446			mixs:Soil		environmental system	terrestrial biome			
GOLDTERMS:5779	Environmental > Terrestrial > Soil > Potting soil	ENVO:01000254	ENVO:00000446			mixs:Soil		environmental system	terrestrial biome			
GOLDTERMS:5803	Environmental > Terrestrial > Soil > Peat	ENVO:01000254	ENVO:00000446			mixs:Soil		environmental system	terrestrial biome			
