s	slab	p	plab	p_lab_or_id	o	olab	slab_olab_cosine
ENVO:00001998	soil	BFO:0000050	part of	part of	ENVO:01000820	pedosphere	0.31622776601683794
ENVO:00001998	soil	BFO:0000051	has part	has part	ENVO:00002982	clay	0.25
ENVO:00001998	soil	BFO:0000051	has part	has part	ENVO:01000016	silt	0.75
ENVO:00001998	soil	BFO:0000051	has part	has part	ENVO:01000017	sand	0.25
ENVO:00001998	soil	BFO:0000051	has part	has part	ENVO:01000155	organic material	0.375
ENVO:00001998	soil	BFO:0000051	has part	has part	ENVO:01000256	mineral material	0.25
ENVO:00001998	soil	RO:0000086	has quality	has quality	PATO:0000984	porous	0.4082482904638631
ENVO:00001998	soil	RO:0000091	has disposition	has disposition	ENVO:06105304	water-holding capacity of soil	0.3651483716701107
ENVO:00002230	anthrosol	RO:0002353	output of	output of	ENVO:01000952	anthropisation	0.7126966450997984
ENVO:00002236	cryosol	BFO:0000050	part of	part of	ENVO:00000134	permafrost	0.35856858280031806
ENVO:00002258	loam	RO:0000053	has characteristic	has characteristic	ENVO:06105271	soil texture	0.2886751345948129
ENVO:00002259	agricultural soil	BFO:0000050	part of	part of	ENVO:00000077	agricultural ecosystem	0.7756315349925288
ENVO:00002260	dune soil	BFO:0000050	part of	part of	ENVO:00000170	dune	0.6666666666666666
ENVO:00002261	forest soil	RO:0001025	located in	located in	ENVO:00000111	forested area	0.5853694070049635
ENVO:00002262	clay soil	RO:0002473	composed primarily of	composed primarily of	ENVO:00002982	clay	0.6666666666666666
ENVO:00002263	garden soil	BFO:0000050	part of	part of	ENVO:00000011	garden	0.7385489458759964
ENVO:00002263	garden soil	RO:0001025	located in	located in	ENVO:00000011	garden	0.7385489458759964
ENVO:00002275	technosol	BFO:0000050	part of	part of	ENVO:01000983	technosphere	0.6735753140545634
ENVO:00002871	alluvial soil	RO:0002353	output of	output of	ENVO:01001346	erosion	0.3144854510165755
ENVO:00002871	alluvial soil	RO:0002354	formed as result of	formed as result of	ENVO:01000982	water flow process	0.3268602252303067
ENVO:00002871	alluvial soil	RO:0002354	formed as result of	formed as result of	ENVO:01001346	erosion	0.3144854510165755
