s	s_is_soil	s_is_reasonable_other	slab	p	plab	p_lab_or_id	relation_is_reasonable	o	o_is_soil	o_is_reasonable_other	olab	slab_olab_cosine	sole_reasonable_other	sole_soil
ENVO:00003093	True	False	poly-beta-hydroxybutyrate enriched soil	ENVO:02000200	has increased levels of	has increased levels of	False	CHEBI:53388	False	True	poly(hydroxybutyrate)	0.6639137299238815	poly(hydroxybutyrate)	poly-beta-hydroxybutyrate enriched soil
ENVO:00003093	True	False	poly-beta-hydroxybutyrate enriched soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003082	True	False	enriched soil	0.5773502691896258		
ENVO:00003094	True	False	L-(+)-tartrate enriched soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003082	True	False	enriched soil	0.6813851438692469		
ENVO:00003095	True	False	quinate enriched soil	ENVO:02000200	has increased levels of	has increased levels of	False	CHEBI:26490	False	True	quinate	0.5773502691896257	quinate	quinate enriched soil
ENVO:00003095	True	False	quinate enriched soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003082	True	False	enriched soil	0.7867957924694432		
ENVO:00003914	True	False	chalk soil	ENVO:02000200	has increased levels of	has increased levels of	False	ENVO:00002054	False	False	chalk	0.7071067811865475		chalk soil
ENVO:00003914	True	False	chalk soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00003082	True	False	enriched soil	0.6139406135149205		
ENVO:00005740	True	False	paddy field soil	BFO:0000050	part of	part of	True	ENVO:00000297	False	True	paddy field	0.82915619758885	paddy field	paddy field soil
ENVO:00005740	True	False	paddy field soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00002259	True	False	agricultural soil	0.48507125007266594		
ENVO:00005740	True	False	paddy field soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00005755	True	False	field soil	0.7905694150420948		
ENVO:00005741	True	False	alpine soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6030226891555273		alpine soil
ENVO:00005742	True	False	arable soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.6030226891555273		arable soil
ENVO:00005743	True	False	roadside soil	RO:0001025	located in	located in	True	ENVO:01000447	False	True	roadside	0.7844645405527362	roadside	roadside soil
ENVO:00005743	True	False	roadside soil	rdfs:subClassOf		rdfs:subClassOf	False	ENVO:00001998	False	False	soil	0.5547001962252291		roadside soil
ENVO:00005744	True	False	allotment garden soil	BFO:0000050	part of	part of	True	ENVO:00005745	False	True	allotment garden	0.8728715609439696	allotment garden	allotment garden soil
