sub	pred	object_or_value
GOLDTERMS:5808	mixs:env_local	ENVO:00000446
GOLDTERMS:5808	mixs:env_medium	ENVO:00000134
GOLDTERMS:5808	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5808	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: permafrost; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5808	rdfs:label	Environmental > Terrestrial > Soil > Peat > Permafrost
GOLDTERMS:4213	mixs:env_broad	ENVO:00000077
GOLDTERMS:4213	mixs:env_local	ENVO:00000446
GOLDTERMS:4213	mixs:env_medium	ENVO:00001998
GOLDTERMS:4213	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:4213	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4213	rdfs:comment	env_broad: agricultural ecosystem; env_local: terrestrial biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4213	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Agricultural land
GOLDTERMS:4578	mixs:env_broad	ENVO:01000254
GOLDTERMS:4578	mixs:env_local	ENVO:00000446
GOLDTERMS:4578	mixs:env_medium	ENVO:00001998
GOLDTERMS:4578	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4578	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4578	rdfs:label	Environmental > Terrestrial > Soil > Soil crust
GOLDTERMS:5439	mixs:env_broad	ENVO:01000254
GOLDTERMS:5439	mixs:env_local	ENVO:01001835
GOLDTERMS:5439	mixs:env_medium	ENVO:00005741
GOLDTERMS:5439	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:5439	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5439	rdfs:comment	env_broad: environmental system; env_local: alpine biome; env_medium: alpine soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5439	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Alpine
GOLDTERMS:5439	skos:exactMatch	ENVO:00005741
GOLDTERMS:4206	mixs:env_broad	ENVO:01000254
GOLDTERMS:4206	mixs:env_local	ENVO:00000446
GOLDTERMS:4206	mixs:env_medium	ENVO:00000134
GOLDTERMS:4206	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:4206	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4206	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: permafrost; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4206	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Permafrost
GOLDTERMS:5727	mixs:env_broad	ENVO:00000077
GOLDTERMS:5727	mixs:env_local	ENVO:01001207
GOLDTERMS:5727	mixs:env_medium	ENVO:00001998
GOLDTERMS:5727	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5727	rdfs:comment	env_broad: agricultural ecosystem; env_local: ranch; env_medium: soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5727	rdfs:label	Environmental > Terrestrial > Soil > Ranch > Agricultural land
GOLDTERMS:4211	mixs:env_broad	ENVO:01000254
GOLDTERMS:4211	mixs:env_local	ENVO:00000446
GOLDTERMS:4211	mixs:env_medium	ENVO:00001998
GOLDTERMS:4211	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:4211	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4211	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4211	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Uranium contaminated
GOLDTERMS:4215	mixs:env_broad	ENVO:01000254
GOLDTERMS:4215	mixs:env_local	ENVO:00000446
GOLDTERMS:4215	mixs:env_medium	ENVO:00001998
GOLDTERMS:4215	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:4215	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4215	mixs:other	PATO:0015032
GOLDTERMS:4215	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; other: increased contamination; partial
GOLDTERMS:4215	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Contaminated
GOLDTERMS:5610	mixs:env_broad	ENVO:01000254
GOLDTERMS:5610	mixs:env_local	ENVO:00000255
GOLDTERMS:5610	mixs:env_medium	ENVO:00001998
GOLDTERMS:5610	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5610	rdfs:comment	env_broad: environmental system; env_local: flood plain; env_medium: soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5610	rdfs:label	Environmental > Terrestrial > Soil > Floodplain
GOLDTERMS:5776	mixs:env_broad	ENVO:00000077
GOLDTERMS:5776	mixs:env_local	ENVO:00000446
GOLDTERMS:5776	mixs:env_medium	ENVO:2000007
GOLDTERMS:5776	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5776	rdfs:comment	env_broad: agricultural ecosystem; env_local: terrestrial biome; env_medium: biochar; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5776	rdfs:label	Environmental > Terrestrial > Soil > Biochar > Agricultural land
GOLDTERMS:4244	mixs:env_broad	ENVO:01000254
GOLDTERMS:4244	mixs:env_local	ENVO:00000446
GOLDTERMS:4244	mixs:env_medium	ENVO:00002259
GOLDTERMS:4244	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4244	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: agricultural soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4244	rdfs:label	Environmental > Terrestrial > Soil > Loam > Agricultural soil
GOLDTERMS:4244	skos:exactMatch	ENVO:00002259
GOLDTERMS:5725	mixs:env_broad	ENVO:01000254
GOLDTERMS:5725	mixs:env_local	ENVO:00000446
GOLDTERMS:5725	mixs:env_medium	ENVO:00005802
GOLDTERMS:5725	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5725	mixs:other	PATO:0015032
GOLDTERMS:5725	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: bulk soil; mixs_extension: MIXS:Soil; other: increased contamination; partial
GOLDTERMS:5725	rdfs:label	Environmental > Terrestrial > Soil > Bulk soil > Contaminated
GOLDTERMS:5438	mixs:env_broad	ENVO:00000078
GOLDTERMS:5438	mixs:env_local	ENVO:00000446
GOLDTERMS:5438	mixs:env_medium	ENVO:00001998
GOLDTERMS:5438	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:5438	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5438	rdfs:comment	env_broad: farm; env_local: terrestrial biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5438	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Farm
GOLDTERMS:5438	skos:exactMatch	ENVO:00000078
GOLDTERMS:5821	mixs:env_broad	ENVO:01000254
GOLDTERMS:5821	mixs:env_local	ENVO:00000446
GOLDTERMS:5821	mixs:env_medium	ENVO:03600016
GOLDTERMS:5821	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5821	mixs:other	ENVO:00000328
GOLDTERMS:5821	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: saprolite; mixs_extension: MIXS:Soil; other: vadose zone; partial
GOLDTERMS:5821	rdfs:label	Environmental > Terrestrial > Soil > Vadose zone > Saprolite
GOLDTERMS:5821	skos:exactMatch	ENVO:03600016
GOLDTERMS:5770	mixs:env_broad	ENVO:00000077
GOLDTERMS:5770	mixs:env_local	ENVO:03600087
GOLDTERMS:5770	mixs:env_medium	ENVO:00001998
GOLDTERMS:5770	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5770	rdfs:comment	env_broad: agricultural ecosystem; env_local: greenhouse; env_medium: soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5770	rdfs:label	Environmental > Terrestrial > Soil > Greenhouse > Agricultural land
GOLDTERMS:5612	mixs:env_broad	ENVO:01000254
GOLDTERMS:5612	mixs:env_local	ENVO:00000446
GOLDTERMS:5612	mixs:env_medium	ENVO:00001998
GOLDTERMS:5612	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5612	mixs:other	PATO:0015032
GOLDTERMS:5612	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; other: increased contamination; partial
GOLDTERMS:5612	rdfs:label	Environmental > Terrestrial > Soil > Paddy field/soil > Contaminated
GOLDTERMS:4202	mixs:env_broad	ENVO:01000254
GOLDTERMS:4202	mixs:env_local	ENVO:01001357
GOLDTERMS:4202	mixs:env_medium	ENVO:00005800
GOLDTERMS:4202	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4202	rdfs:comment	env_broad: environmental system; env_local: desert; env_medium: desert sand; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4202	rdfs:label	Environmental > Terrestrial > Soil > Sand > Desert
GOLDTERMS:4202	skos:exactMatch	ENVO:00005800
GOLDTERMS:4232	mixs:env_broad	ENVO:01000254
GOLDTERMS:4232	mixs:env_local	ENVO:00002061
GOLDTERMS:4232	mixs:env_medium	ENVO:00002982
GOLDTERMS:4232	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4232	rdfs:comment	env_broad: environmental system; env_local: oil spill; env_medium: clay; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4232	rdfs:label	Environmental > Terrestrial > Soil > Clay > Oil-contaminated
GOLDTERMS:5244	mixs:env_broad	ENVO:01000254
GOLDTERMS:5244	mixs:env_local	ENVO:00000446
GOLDTERMS:5244	mixs:env_medium	ENVO:00001998
GOLDTERMS:5244	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:5244	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5244	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5244	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Riparian soil
GOLDTERMS:4418	mixs:env_broad	ENVO:01000254
GOLDTERMS:4418	mixs:env_local	ENVO:00000446
GOLDTERMS:4418	mixs:env_medium	ENVO:00001998
GOLDTERMS:4418	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4418	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4418	rdfs:label	Environmental > Terrestrial > Soil > Fossil
GOLDTERMS:4229	mixs:env_broad	ENVO:01000254
GOLDTERMS:4229	mixs:env_local	ENVO:00000446
GOLDTERMS:4229	mixs:env_medium	ENVO:00002982
GOLDTERMS:4229	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4229	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: clay; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4229	rdfs:label	Environmental > Terrestrial > Soil > Clay
GOLDTERMS:4229	skos:exactMatch	ENVO:00002262
GOLDTERMS:5420	mixs:env_broad	ENVO:01000254
GOLDTERMS:5420	mixs:env_local	ENVO:00000108
GOLDTERMS:5420	mixs:env_medium	ENVO:00001998
GOLDTERMS:5420	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:5420	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5420	rdfs:comment	env_broad: environmental system; env_local: meadow ecosystem; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5420	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Meadow
GOLDTERMS:4214	mixs:env_broad	ENVO:01000254
GOLDTERMS:4214	mixs:env_local	ENVO:00000300
GOLDTERMS:4214	mixs:env_medium	ENVO:00001998
GOLDTERMS:4214	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:4214	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4214	rdfs:comment	env_broad: environmental system; env_local: scrubland area; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4214	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Shrubland
GOLDTERMS:4214	skos:exactMatch	ENVO:00000300
GOLDTERMS:5768	mixs:env_broad	ENVO:00000077
GOLDTERMS:5768	mixs:env_local	ENVO:01001177
GOLDTERMS:5768	mixs:env_medium	ENVO:00005742
GOLDTERMS:5768	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5768	rdfs:comment	env_broad: agricultural ecosystem; env_local: arable land; env_medium: arable soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5768	rdfs:label	Environmental > Terrestrial > Soil > Arable > Agricultural land
GOLDTERMS:4234	mixs:env_broad	ENVO:01001209
GOLDTERMS:4234	mixs:env_local	ENVO:00000446
GOLDTERMS:4234	mixs:env_medium	ENVO:00000134
GOLDTERMS:4234	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4234	rdfs:comment	env_broad: wetland ecosystem; env_local: terrestrial biome; env_medium: permafrost; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4234	rdfs:label	Environmental > Terrestrial > Soil > Wetlands > Permafrost
GOLDTERMS:4220	mixs:env_broad	ENVO:01000254
GOLDTERMS:4220	mixs:env_local	ENVO:00002061
GOLDTERMS:4220	mixs:env_medium	ENVO:00001998
GOLDTERMS:4220	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:4220	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4220	rdfs:comment	env_broad: environmental system; env_local: oil spill; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4220	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Oil-contaminated
GOLDTERMS:4711	mixs:env_broad	ENVO:01000254
GOLDTERMS:4711	mixs:env_local	ENVO:01000910
GOLDTERMS:4711	mixs:env_medium	ENVO:00001998
GOLDTERMS:4711	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4711	mixs:other	ENVO:01000909
GOLDTERMS:4711	rdfs:comment	env_broad: environmental system; env_local: soil biocrust; env_medium: soil; mixs_extension: MIXS:Soil; other: biocrust; partial
GOLDTERMS:4711	rdfs:label	Environmental > Terrestrial > Soil > Biocrust
GOLDTERMS:4711	skos:exactMatch	ENVO:01000910
GOLDTERMS:5589	mixs:env_broad	ENVO:01000254
GOLDTERMS:5589	mixs:env_local	ENVO:00000446
GOLDTERMS:5589	mixs:env_medium	ENVO:00002261
GOLDTERMS:5589	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5589	mixs:other	ENVO:03600011
GOLDTERMS:5589	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: forest soil; mixs_extension: MIXS:Soil; other: mineral horizon; partial
GOLDTERMS:5589	rdfs:label	Environmental > Terrestrial > Soil > Mineral horizon > Forest soil
GOLDTERMS:5822	mixs:env_broad	ENVO:01000254
GOLDTERMS:5822	mixs:env_local	ENVO:00000446
GOLDTERMS:5822	mixs:env_medium	ENVO:00001998
GOLDTERMS:5822	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5822	mixs:other	ENVO:03600018
GOLDTERMS:5822	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; other: organic horizon; partial
GOLDTERMS:5822	rdfs:label	Environmental > Terrestrial > Soil > Organic layer
GOLDTERMS:5822	skos:exactMatch	ENVO:03600018
GOLDTERMS:5800	mixs:env_broad	ENVO:01000254
GOLDTERMS:5800	mixs:env_local	ENVO:00000446
GOLDTERMS:5800	mixs:env_medium	ENVO:02000138
GOLDTERMS:5800	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5800	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: mangrove biome soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5800	rdfs:label	Environmental > Terrestrial > Soil > Mangrove soil
GOLDTERMS:4235	mixs:env_broad	ENVO:01001209
GOLDTERMS:4235	mixs:env_local	ENVO:00000446
GOLDTERMS:4235	mixs:env_medium	ENVO:00001998
GOLDTERMS:4235	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4235	rdfs:comment	env_broad: wetland ecosystem; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4235	rdfs:label	Environmental > Terrestrial > Soil > Wetlands
GOLDTERMS:4203	mixs:env_broad	ENVO:01000254
GOLDTERMS:4203	mixs:env_local	ENVO:00000446
GOLDTERMS:4203	mixs:env_medium	ENVO:01000017
GOLDTERMS:4203	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4203	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: sand; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4203	rdfs:label	Environmental > Terrestrial > Soil > Sand
GOLDTERMS:4203	skos:exactMatch	ENVO:01000017
GOLDTERMS:Environmental-Terrestrial-Soil-Unclassified	mixs:env_broad	ENVO:01000254
GOLDTERMS:Environmental-Terrestrial-Soil-Unclassified	mixs:env_local	ENVO:00000446
GOLDTERMS:Environmental-Terrestrial-Soil-Unclassified	mixs:env_medium	ENVO:00001998
GOLDTERMS:Environmental-Terrestrial-Soil-Unclassified	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:Environmental-Terrestrial-Soil-Unclassified	mixs:mixs_extension	mixs:Soil
GOLDTERMS:Environmental-Terrestrial-Soil-Unclassified	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:Environmental-Terrestrial-Soil-Unclassified	rdfs:label	Environmental > Terrestrial > Soil > Unclassified
GOLDTERMS:5804	mixs:env_broad	ENVO:00000232
GOLDTERMS:5804	mixs:env_local	ENVO:00000446
GOLDTERMS:5804	mixs:env_medium	ENVO:00005774
GOLDTERMS:5804	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5804	rdfs:comment	env_broad: fen; env_local: terrestrial biome; env_medium: peat soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5804	rdfs:label	Environmental > Terrestrial > Soil > Peat > Fen
GOLDTERMS:4241	mixs:env_broad	ENVO:01000254
GOLDTERMS:4241	mixs:env_local	ENVO:00000446
GOLDTERMS:4241	mixs:env_medium	ENVO:00002258
GOLDTERMS:4241	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4241	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: loam; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4241	rdfs:label	Environmental > Terrestrial > Soil > Loam
GOLDTERMS:4241	skos:exactMatch	ENVO:00002258
GOLDTERMS:4209	mixs:env_broad	ENVO:01000254
GOLDTERMS:4209	mixs:env_local	ENVO:01000177
GOLDTERMS:4209	mixs:env_medium	ENVO:00001998
GOLDTERMS:4209	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:4209	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4209	rdfs:comment	env_broad: environmental system; env_local: grassland biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4209	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Grasslands
