sub	pred	object_or_value
GOLDTERMS:5615	rdfs:comment	env_broad: environmental system; env_local: watershed; env_medium: soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5615	rdfs:label	Environmental > Terrestrial > Soil > Watershed
GOLDTERMS:5615	skos:exactMatch	ENVO:00000292
GOLDTERMS:5729	mixs:env_broad	ENVO:00000077
GOLDTERMS:5729	mixs:env_local	ENVO:00000266
GOLDTERMS:5729	mixs:env_medium	ENVO:00005773
GOLDTERMS:5729	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5729	rdfs:comment	env_broad: agricultural ecosystem; env_local: pasture; env_medium: pasture soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5729	rdfs:label	Environmental > Terrestrial > Soil > Pasture > Agricultural land
GOLDTERMS:4228	mixs:env_broad	ENVO:01000254
GOLDTERMS:4228	mixs:env_local	ENVO:01000177
GOLDTERMS:4228	mixs:env_medium	ENVO:00002982
GOLDTERMS:4228	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4228	rdfs:comment	env_broad: environmental system; env_local: grassland biome; env_medium: clay; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4228	rdfs:label	Environmental > Terrestrial > Soil > Clay > Grasslands
GOLDTERMS:4216	mixs:env_broad	ENVO:01000254
GOLDTERMS:4216	mixs:env_local	ENVO:00000446
GOLDTERMS:4216	mixs:env_medium	ENVO:00001998
GOLDTERMS:4216	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:4216	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4216	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4216	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Tropical rainforest
GOLDTERMS:5621	mixs:env_broad	ENVO:01001209
GOLDTERMS:5621	mixs:env_local	ENVO:00000446
GOLDTERMS:5621	mixs:env_medium	ENVO:00005774
GOLDTERMS:5621	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5621	rdfs:comment	env_broad: wetland ecosystem; env_local: terrestrial biome; env_medium: peat soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5621	rdfs:label	Environmental > Terrestrial > Soil > Peat > Bog
GOLDTERMS:5777	mixs:env_broad	ENVO:01000254
GOLDTERMS:5777	mixs:env_local	ENVO:03600087
GOLDTERMS:5777	mixs:env_medium	ENVO:00001998
GOLDTERMS:5777	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5777	rdfs:comment	env_broad: environmental system; env_local: greenhouse; env_medium: soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5777	rdfs:label	Environmental > Terrestrial > Soil > Greenhouse
GOLDTERMS:5777	skos:exactMatch	ENVO:03600087
GOLDTERMS:4212	mixs:env_broad	ENVO:01000254
GOLDTERMS:4212	mixs:env_local	ENVO:00000446
GOLDTERMS:4212	mixs:env_medium	ENVO:00001998
GOLDTERMS:4212	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4212	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4212	rdfs:label	Environmental > Terrestrial > Soil
GOLDTERMS:4210	mixs:env_broad	ENVO:01000254
GOLDTERMS:4210	mixs:env_local	ENVO:01001357
GOLDTERMS:4210	mixs:env_medium	ENVO:00001998
GOLDTERMS:4210	mixs:host_taxon	NCBITaxon:12908
GOLDTERMS:4210	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4210	rdfs:comment	env_broad: environmental system; env_local: desert; env_medium: soil; host_taxon: unclassified sequences; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4210	rdfs:label	Environmental > Terrestrial > Soil > Unclassified > Desert
GOLDTERMS:4243	mixs:env_broad	ENVO:01000254
GOLDTERMS:4243	mixs:env_local	ENVO:00000446
GOLDTERMS:4243	mixs:env_medium	ENVO:00002258
GOLDTERMS:4243	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4243	mixs:other	PATO:0015032
GOLDTERMS:4243	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: loam; mixs_extension: MIXS:Soil; other: increased contamination; partial
GOLDTERMS:4243	rdfs:label	Environmental > Terrestrial > Soil > Loam > Contaminated
GOLDTERMS:5803	mixs:env_broad	ENVO:01000254
GOLDTERMS:5803	mixs:env_local	ENVO:00000446
GOLDTERMS:5803	mixs:env_medium	ENVO:00005774
GOLDTERMS:5803	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5803	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: peat soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5803	rdfs:label	Environmental > Terrestrial > Soil > Peat
GOLDTERMS:5803	skos:exactMatch	ENVO:00005774
GOLDTERMS:4223	mixs:env_broad	ENVO:01000254
GOLDTERMS:4223	mixs:env_local	ENVO:01000177
GOLDTERMS:4223	mixs:env_medium	ENVO:01000017
GOLDTERMS:4223	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4223	rdfs:comment	env_broad: environmental system; env_local: grassland biome; env_medium: sand; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4223	rdfs:label	Environmental > Terrestrial > Soil > Sand > Grasslands
GOLDTERMS:5818	mixs:env_broad	ENVO:01000254
GOLDTERMS:5818	mixs:env_local	ENVO:03000085
GOLDTERMS:5818	mixs:env_medium	ENVO:00005774
GOLDTERMS:5818	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5818	rdfs:comment	env_broad: environmental system; env_local: thermokarst; env_medium: peat soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5818	rdfs:label	Environmental > Terrestrial > Soil > Peat > Thermokarst pond
GOLDTERMS:5823	mixs:env_broad	ENVO:01000254
GOLDTERMS:5823	mixs:env_local	ENVO:00000446
GOLDTERMS:5823	mixs:env_medium	ENVO:00005802
GOLDTERMS:5823	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5823	mixs:other	ENVO:03600045
GOLDTERMS:5823	rdfs:comment	env_broad: environmental system; env_local: terrestrial biome; env_medium: bulk soil; mixs_extension: MIXS:Soil; other: plant pot; partial
GOLDTERMS:5823	rdfs:label	Environmental > Terrestrial > Soil > Bulk soil > Plant pot
GOLDTERMS:5823	skos:closeMatch	ENVO:03600045
GOLDTERMS:5424	mixs:env_broad	ENVO:00000077
GOLDTERMS:5424	mixs:env_local	ENVO:00000446
GOLDTERMS:5424	mixs:env_medium	ENVO:00005802
GOLDTERMS:5424	mixs:mixs_extension	mixs:Soil
GOLDTERMS:5424	rdfs:comment	env_broad: agricultural ecosystem; env_local: terrestrial biome; env_medium: bulk soil; mixs_extension: MIXS:Soil; partial
GOLDTERMS:5424	rdfs:label	Environmental > Terrestrial > Soil > Bulk soil > Agricultural land
GOLDTERMS:4204	mixs:env_broad	ENVO:01000254
GOLDTERMS:4204	mixs:env_local	ENVO:00002061
GOLDTERMS:4204	mixs:env_medium	ENVO:01000017
GOLDTERMS:4204	mixs:mixs_extension	mixs:Soil
GOLDTERMS:4204	rdfs:comment	env_broad: environmental system; env_local: oil spill; env_medium: sand; mixs_extension: MIXS:Soil; partial
GOLDTERMS:4204	rdfs:label	Environmental > Terrestrial > Soil > Sand > Oil-contaminated
GOLDTERMS:5754	mixs:env_broad	ENVO:01000254
GOLDTERMS:5754	mixs:env_local	ENVO:00000446
GOLDTERMS:5754	mixs:env_medium	ENVO:00001998
GOLDTERMS:5754	mixs:mixs_extension	mixs:Soil
