id	label
ENVO:00000519	agricultural terrace
ENVO:00000258	alluvial plain
ENVO:01000752	area of barren land
ENVO:01000892	area of cropland
ENVO:01000816	area of deciduous forest
ENVO:01000883	area of developed open space
ENVO:01000886	area of developed space with high usage intensity
ENVO:01000884	area of developed space with low usage intensity
ENVO:01000885	area of developed space with medium usage intensity
ENVO:01000861	area of dwarf scrub
ENVO:01000894	area of emergent herbaceous wetland
ENVO:01000843	area of evergreen forest
ENVO:01000888	area of gramanoid or herbaceous vegetation
ENVO:01000889	area of lichen-dominated vegetation
ENVO:01000855	area of mixed forest
ENVO:01000890	area of moss-dominated vegetation
ENVO:01000666	area of open water
ENVO:01000746	area of perennial ice or snow
ENVO:01000745	area of perennial snow
ENVO:01000740	area of perennial water ice
ENVO:01000869	area of scrub
ENVO:01000887	area of sedge- and forb-dominated herbaceous vegetation
ENVO:01000893	area of woody wetland
ENVO:00000091	beach
ENVO:00010624	botanical garden
ENVO:00000087	cliff
ENVO:01000687	coast
ENVO:01001241	crop canopy
ENVO:01001357	desert
ENVO:00000170	dune
ENVO:00000078	farm
ENVO:01001582	forest floor
ENVO:00000011	garden
ENVO:03600087	greenhouse
ENVO:00000463	harbour
ENVO:01000337	herb and fern layer
ENVO:00000083	hill
ENVO:01000417	house
ENVO:00000098	island
ENVO:01001406	laboratory facility
ENVO:01000338	litter layer
ENVO:01000987	market
ENVO:00000081	mountain
ENVO:01001304	oasis
ENVO:00000015	ocean
ENVO:01000302	outcrop
ENVO:00000117	plantation
ENVO:00000182	plateau
ENVO:00000033	pond
ENVO:00000260	prairie
ENVO:03500002	public park
ENVO:00000469	research facility
ENVO:00000143	river bank
ENVO:00000171	river valley
ENVO:00000064	road
ENVO:01000059	sea grass bed
ENVO:00000304	shore
ENVO:01000336	shrub layer
ENVO:00000501	submerged bed
ENVO:01000335	understory
ENVO:00000100	valley
ENVO:01001240	woodland canopy
